Distance_(pixels),Gray_Value
0,0.16121
1,0.18821
2,0.19337
3,0.16628
4,0.17524
5,0.17310
6,0.15526
7,0.14630
8,0.16228
9,0.18928
10,0.18606
11,0.17836
12,0.16365
13,0.15877
14,0.14639
15,0.14678
16,0.15916
17,0.16238
18,0.16979
19,0.15205
20,0.16033
21,0.16696
22,0.14542
23,0.14766
24,0.16374
25,0.18070
26,0.18733
27,0.17710
28,0.15799
29,0.15039
30,0.14532
31,0.15848
32,0.15858
33,0.16423
34,0.16979
35,0.14327
36,0.13021
37,0.13294
38,0.13177
39,0.13489
40,0.14776
41,0.16140
42,0.18304
43,0.13782
44,0.13470
45,0.14405
46,0.14922
47,0.13811
48,0.14834
49,0.14396
50,0.18363
51,0.17242
52,0.16228
53,0.15000
54,0.12797
55,0.12710
56,0.15097
57,0.17018
58,0.20624
59,0.18743
60,0.18752
61,0.18226
62,0.15156
63,0.14376
64,0.15224
65,0.17135
66,0.19834
67,0.16598
68,0.14864
69,0.13041
70,0.12212
71,0.12836
72,0.16920
73,0.17534
74,0.17758
75,0.16413
76,0.15117
77,0.14396
78,0.13655
79,0.13821
80,0.14493
81,0.15877
82,0.16404
83,0.14142
84,0.13402
85,0.13928
86,0.14825
87,0.14298
88,0.14610
89,0.17096
90,0.17719
91,0.16384
92,0.13811
93,0.14805
94,0.15945
95,0.14844
96,0.13928
97,0.16803
98,0.14678
99,0.12817
100,0.15556
101,0.16930
102,0.14045
103,0.13743
104,0.16832
105,0.18733
106,0.18908
107,0.15750
108,0.14942
109,0.14025
110,0.12924
111,0.14444
112,0.14191
113,0.15975
114,0.17963
115,0.16852
116,0.14864
117,0.15331
118,0.15341
119,0.14425
120,0.15643
121,0.17271
122,0.19084
123,0.16326
124,0.14191
125,0.14191
126,0.12992
127,0.12865
128,0.15283
129,0.16179
130,0.16111
131,0.15292
132,0.12875
133,0.12788
134,0.13723
135,0.14103
136,0.14873
137,0.15682
138,0.17018
139,0.14064
140,0.13411
141,0.14854
142,0.14825
143,0.13957
144,0.14659
145,0.14669
146,0.15536
147,0.13723
148,0.14844
149,0.13528
150,0.12924
151,0.11881
152,0.12924
153,0.15107
154,0.16491
155,0.14795
156,0.14172
157,0.14805
158,0.13450
159,0.13879
160,0.15205
161,0.15156
162,0.18655
163,0.15565
164,0.15107
165,0.17018
166,0.17066
167,0.15936
168,0.16754
169,0.18294
170,0.17924
171,0.13899
172,0.12827
173,0.13060
174,0.13324
175,0.13694
176,0.13977
177,0.14513
178,0.14513
179,0.12144
180,0.12973
181,0.13353
182,0.12982
183,0.14094
184,0.15497
185,0.17710
186,0.19639
187,0.14942
188,0.14133
189,0.15409
190,0.15789
191,0.16598
192,0.17700
193,0.19142
194,0.18207
195,0.14737
196,0.14649
197,0.14834
198,0.13421
199,0.13977
200,0.15556
201,0.17115
202,0.18441
203,0.16901
204,0.15448
205,0.15078
206,0.12164
207,0.13138
208,0.14425
209,0.15936
210,0.15439
211,0.13392
212,0.13187
213,0.12953
214,0.13567
215,0.13012
216,0.16394
217,0.17758
218,0.19708
219,0.15770
220,0.15263
221,0.15107
222,0.12193
223,0.12505
224,0.15097
225,0.16735
226,0.16053
227,0.11491
228,0.12573
229,0.14152
230,0.12583
231,0.13002
232,0.14571
233,0.15273
234,0.17573
235,0.14376
236,0.13860
237,0.13148
238,0.14230
239,0.15331
240,0.16199
241,0.17290
242,0.17797
243,0.14932
244,0.15712
245,0.16004
246,0.13743
247,0.13480
248,0.15643
249,0.17008
250,0.18314
251,0.15789
252,0.14864
253,0.13967
254,0.14025
255,0.15263
256,0.16218
257,0.17797
258,0.17251
259,0.16014
260,0.15673
261,0.15400
262,0.13665
263,0.13070
264,0.13138
265,0.16267
266,0.17281
267,0.14337
268,0.13441
269,0.14055
270,0.13528
271,0.13304
272,0.13908
273,0.17797
274,0.18148
275,0.13558
276,0.13889
277,0.13080
278,0.11764
279,0.12281
280,0.15000
281,0.16277
282,0.19201
283,0.16326
284,0.16277
285,0.15653
286,0.16745
287,0.16404
288,0.18548
289,0.19084
290,0.17057
291,0.16170
292,0.16725
293,0.16023
294,0.15097
295,0.15019
296,0.17310
297,0.16784
298,0.16306
299,0.13772
300,0.13041
301,0.13480
302,0.13889
303,0.14513
304,0.15185
305,0.17096
306,0.19903
307,0.15614
308,0.17427
309,0.17300
310,0.13226
311,0.13363
312,0.15322
313,0.14659
314,0.17066
315,0.14883
316,0.13674
317,0.14542
318,0.16033
319,0.15702
320,0.14922
321,0.16043
322,0.16852
323,0.16404
324,0.17203
325,0.15604
326,0.13996
327,0.14825
328,0.17398
329,0.17008
330,0.16326
331,0.13879
332,0.13616
333,0.13275
334,0.13041
335,0.14766
336,0.17710
337,0.17222
338,0.16715
339,0.14747
340,0.16871
341,0.16101
342,0.13246
343,0.14795
344,0.15692
345,0.15770
346,0.14094
347,0.15390
348,0.14649
349,0.12671
350,0.11803
351,0.13626
352,0.15000
353,0.16023
354,0.17700
355,0.14844
356,0.15234
357,0.14620
358,0.14113
359,0.13177
360,0.13928
361,0.16793
362,0.20234
363,0.17144
364,0.16014
365,0.16296
366,0.16715
367,0.15721
368,0.15614
369,0.17778
370,0.18090
371,0.15673
372,0.16121
373,0.16335
374,0.15653
375,0.12632
376,0.14298
377,0.16082
378,0.20029
379,0.20517
380,0.17368
381,0.16784
382,0.15692
383,0.16326
384,0.16462
385,0.18314
386,0.20556
387,0.16823
388,0.16803
389,0.16774
390,0.14903
391,0.15828
392,0.18635
393,0.17797
394,0.18255
395,0.14678
396,0.13265
397,0.13665
398,0.13499
399,0.13519
400,0.15380
401,0.15107
402,0.17583
403,0.15283
404,0.14513
405,0.13548
406,0.13665
407,0.14513
408,0.17154
409,0.17700
410,0.20994
411,0.18587
412,0.18275
413,0.17719
414,0.16355
415,0.16608
416,0.18051
417,0.18285
418,0.18616
419,0.15244
420,0.15331
421,0.16657
422,0.17563
