Distance_(pixels),Gray_Value
0,0.16022
1,0.14792
2,0.15749
3,0.18336
4,0.17711
5,0.16676
6,0.15270
7,0.14792
8,0.14001
9,0.13933
10,0.14743
11,0.15700
12,0.17624
13,0.15144
14,0.14860
15,0.16032
16,0.14343
17,0.15134
18,0.16686
19,0.17965
20,0.17545
21,0.17096
22,0.15251
23,0.14812
24,0.13738
25,0.14470
26,0.15720
27,0.16989
28,0.18336
29,0.14743
30,0.13640
31,0.13816
32,0.13611
33,0.13767
34,0.14870
35,0.15807
36,0.17858
37,0.13464
38,0.13249
39,0.14753
40,0.15534
41,0.13952
42,0.14607
43,0.14812
44,0.17360
45,0.18200
46,0.16354
47,0.14753
48,0.12751
49,0.12947
50,0.15407
51,0.17545
52,0.19840
53,0.18278
54,0.17741
55,0.17272
56,0.14392
57,0.13689
58,0.14860
59,0.16110
60,0.19059
61,0.16052
62,0.14470
63,0.12419
64,0.11707
65,0.12693
66,0.16091
67,0.17165
68,0.16823
69,0.15319
70,0.14304
71,0.14157
72,0.13728
73,0.13357
74,0.14177
75,0.15407
76,0.15065
77,0.13279
78,0.13122
79,0.13484
80,0.14401
81,0.13454
82,0.13894
83,0.15934
84,0.16247
85,0.15104
86,0.12830
87,0.13484
88,0.15192
89,0.14392
90,0.13845
91,0.15280
92,0.14646
93,0.12107
94,0.14265
95,0.16237
96,0.14548
97,0.13669
98,0.16471
99,0.17604
100,0.18112
101,0.15417
102,0.14890
103,0.13777
104,0.13640
105,0.14353
106,0.14079
107,0.16501
108,0.17087
109,0.15739
110,0.14362
111,0.14109
112,0.14714
113,0.13669
114,0.15524
115,0.17467
116,0.18717
117,0.16501
118,0.13933
119,0.13894
120,0.12615
121,0.13191
122,0.15026
123,0.16276
124,0.15866
125,0.14899
126,0.12546
127,0.12556
128,0.13396
129,0.13533
130,0.14636
131,0.14948
132,0.17116
133,0.15065
134,0.13884
135,0.14773
136,0.14694
137,0.13816
138,0.14948
139,0.14890
140,0.14880
141,0.13952
142,0.14899
143,0.14138
144,0.12185
145,0.11560
146,0.12937
147,0.14733
148,0.16725
149,0.14802
150,0.13933
151,0.15563
152,0.13747
153,0.13698
154,0.14314
155,0.14831
156,0.19332
157,0.15729
158,0.14929
159,0.16989
160,0.16940
161,0.15690
162,0.16022
163,0.17887
164,0.17135
165,0.13425
166,0.12498
167,0.12917
168,0.12908
169,0.13493
170,0.13376
171,0.13982
172,0.14792
173,0.12449
174,0.12546
175,0.13191
176,0.13093
177,0.13786
178,0.14997
179,0.17194
180,0.18268
181,0.14499
182,0.13698
183,0.15690
184,0.16901
185,0.16999
186,0.17780
187,0.19039
188,0.18561
189,0.15104
190,0.15104
191,0.14538
192,0.13005
193,0.13523
194,0.15690
195,0.17584
196,0.19527
197,0.17467
198,0.15183
199,0.14714
200,0.12234
201,0.13562
202,0.14450
203,0.15944
204,0.15720
205,0.13083
206,0.13044
207,0.12419
208,0.12947
209,0.13083
210,0.16257
211,0.18658
212,0.19039
213,0.15280
214,0.15173
215,0.15173
216,0.12273
217,0.12459
218,0.14987
219,0.16198
220,0.15681
221,0.11570
222,0.12761
223,0.14157
224,0.12654
225,0.12293
226,0.14343
227,0.14401
228,0.17213
229,0.14733
230,0.14372
231,0.13279
232,0.13279
233,0.14489
234,0.15563
235,0.16667
236,0.17624
237,0.15085
238,0.15700
239,0.15681
240,0.13298
241,0.13074
242,0.15202
243,0.15993
244,0.17584
245,0.15563
246,0.14421
247,0.13923
248,0.13464
249,0.15114
250,0.16305
251,0.17350
252,0.16706
253,0.16540
254,0.16296
255,0.15847
256,0.14167
257,0.13454
258,0.13201
259,0.15690
260,0.17741
261,0.14577
262,0.13308
263,0.14050
264,0.14089
265,0.13650
266,0.13855
267,0.17194
268,0.17897
269,0.13367
270,0.14177
271,0.13142
272,0.12498
273,0.12654
274,0.15563
275,0.16979
276,0.20055
277,0.16178
278,0.15495
279,0.15007
280,0.15768
281,0.16774
282,0.17985
283,0.18717
284,0.17438
285,0.15759
286,0.16286
287,0.16325
288,0.14782
289,0.14372
290,0.16989
291,0.17340
292,0.16862
293,0.14528
294,0.13230
295,0.13357
296,0.13259
297,0.14265
298,0.14509
299,0.17057
300,0.19352
301,0.15856
302,0.17282
303,0.16921
304,0.13347
305,0.13181
306,0.15349
307,0.13864
308,0.17126
309,0.15212
310,0.14138
311,0.13503
312,0.14401
313,0.15593
314,0.14148
315,0.15534
316,0.16276
317,0.16100
318,0.16657
319,0.15358
320,0.14050
321,0.14401
322,0.16120
323,0.17682
324,0.15866
325,0.12488
326,0.12830
327,0.13103
328,0.13454
329,0.14099
330,0.16696
331,0.17243
332,0.17204
333,0.14011
334,0.15388
335,0.15973
336,0.12859
337,0.14421
338,0.15261
339,0.15007
340,0.14733
341,0.15358
342,0.14714
343,0.12839
344,0.12107
345,0.13728
346,0.15739
347,0.16110
348,0.17985
349,0.15925
350,0.16481
351,0.15241
352,0.14441
353,0.13406
354,0.15095
355,0.17848
356,0.20963
