Distance_(pixels),Gray_Value
0,0.16510
1,0.18656
2,0.19263
3,0.16441
4,0.17166
5,0.17392
6,0.16049
7,0.14540
8,0.16167
9,0.19234
10,0.17460
11,0.16676
12,0.15354
13,0.14972
14,0.14002
15,0.14168
16,0.14433
17,0.15060
18,0.17441
19,0.15168
20,0.15383
21,0.16324
22,0.14188
23,0.15295
24,0.16451
25,0.17607
26,0.18029
27,0.17284
28,0.15834
29,0.15011
30,0.14433
31,0.15834
32,0.16774
33,0.17421
34,0.18205
35,0.14442
36,0.13453
37,0.13688
38,0.13845
39,0.13962
40,0.14854
41,0.16539
42,0.18391
43,0.13727
44,0.13169
45,0.14335
46,0.15461
47,0.14462
48,0.15324
49,0.14403
50,0.17402
51,0.17245
52,0.15814
53,0.14374
54,0.13296
55,0.13267
56,0.15775
57,0.17578
58,0.20096
59,0.17901
60,0.17931
61,0.17225
62,0.14286
63,0.14109
64,0.15226
65,0.16716
66,0.19263
67,0.15481
68,0.14129
69,0.12522
70,0.12140
71,0.13032
72,0.16304
73,0.16931
74,0.17108
75,0.15687
76,0.14119
77,0.13933
78,0.14070
79,0.13570
80,0.14060
81,0.15834
82,0.16040
83,0.14090
84,0.13668
85,0.13355
86,0.14746
87,0.14276
88,0.14266
89,0.17255
90,0.17402
91,0.15079
92,0.13394
93,0.14805
94,0.15942
95,0.14776
96,0.14883
97,0.16255
98,0.14903
99,0.12796
100,0.14864
101,0.16324
102,0.14433
103,0.13953
104,0.16745
105,0.18763
106,0.18381
107,0.15883
108,0.14501
109,0.13365
110,0.13139
111,0.14697
112,0.13953
113,0.16157
114,0.17421
115,0.15226
116,0.13580
117,0.14629
118,0.14785
119,0.13864
120,0.14962
121,0.16823
122,0.19263
123,0.16353
124,0.13884
125,0.13541
126,0.12346
127,0.12885
128,0.14658
129,0.16275
130,0.16196
131,0.15001
132,0.12355
133,0.12150
134,0.13002
135,0.13188
136,0.14149
137,0.15158
138,0.17010
139,0.15148
140,0.14296
141,0.14795
142,0.15324
143,0.14452
144,0.15030
145,0.15932
146,0.15226
147,0.14433
148,0.15256
149,0.13551
150,0.12160
151,0.12257
152,0.13806
153,0.15657
154,0.18127
155,0.15677
156,0.14923
157,0.15315
158,0.14100
159,0.14550
160,0.15011
161,0.15746
162,0.19204
163,0.16177
164,0.14864
165,0.16794
166,0.16774
167,0.15716
168,0.15912
169,0.17372
170,0.16559
171,0.13551
172,0.12375
173,0.12973
174,0.12914
175,0.12777
176,0.12953
177,0.14413
178,0.14335
179,0.11915
180,0.12669
181,0.13335
182,0.13286
183,0.13678
184,0.15373
185,0.17549
186,0.18930
187,0.15246
188,0.13953
189,0.15060
190,0.16236
191,0.17059
192,0.18009
193,0.19371
194,0.18489
195,0.15168
196,0.15177
197,0.14932
198,0.13551
199,0.13874
200,0.16637
201,0.18185
202,0.19165
203,0.16843
204,0.14472
205,0.14452
206,0.12091
207,0.12992
208,0.13864
209,0.15716
210,0.16892
211,0.13296
212,0.13002
213,0.12395
214,0.12816
215,0.12943
216,0.16657
217,0.17940
218,0.18724
219,0.16098
220,0.15158
221,0.14570
222,0.11993
223,0.12777
224,0.15177
225,0.16539
226,0.15951
227,0.11699
228,0.12620
229,0.13668
230,0.12130
231,0.12052
232,0.14374
233,0.14991
234,0.16843
235,0.14188
236,0.13688
237,0.13090
238,0.13737
239,0.14962
240,0.16324
241,0.16755
242,0.18411
243,0.15697
244,0.16196
245,0.16774
246,0.13659
247,0.13482
248,0.15442
249,0.16872
250,0.18852
251,0.15706
252,0.14482
253,0.13678
254,0.13894
255,0.14903
256,0.15971
257,0.17460
258,0.17049
259,0.16383
260,0.16441
261,0.15618
262,0.14002
263,0.13541
264,0.13698
265,0.16481
266,0.17451
267,0.14002
268,0.12787
269,0.13933
270,0.14217
271,0.14021
272,0.13855
273,0.17010
274,0.18274
275,0.13561
276,0.13698
277,0.12934
278,0.11709
279,0.13022
280,0.15236
281,0.16686
282,0.19851
283,0.15932
284,0.15618
285,0.15804
286,0.16265
287,0.16716
288,0.17882
289,0.18803
290,0.17931
291,0.15746
292,0.15197
293,0.15393
294,0.14727
295,0.14393
296,0.17558
297,0.16931
298,0.16912
299,0.14746
300,0.13316
301,0.13845
302,0.13188
303,0.13933
304,0.14511
305,0.17225
306,0.19880
307,0.15824
308,0.16833
309,0.16490
310,0.12924
311,0.12561
312,0.14707
313,0.14198
314,0.16774
315,0.14785
316,0.13188
317,0.14041
318,0.15305
319,0.16020
320,0.14805
321,0.15422
322,0.17010
323,0.16010
324,0.16500
325,0.16138
326,0.14511
327,0.15315
328,0.17490
329,0.16343
330,0.15912
331,0.12943
332,0.12728
333,0.13600
334,0.13972
335,0.14707
336,0.16833
337,0.17000
338,0.16510
