Distance_(pixels),Gray_Value
0,0.1029
1,0.0788
2,0.0727
3,0.0721
4,0.0772
5,0.0777
6,0.0805
7,0.0757
8,0.0736
9,0.0765
10,0.0746
11,0.0650
12,0.0585
13,0.0655
14,0.0693
15,0.0567
16,0.0594
17,0.0754
18,0.0721
19,0.0666
20,0.0651
21,0.0676
22,0.0735
23,0.0704
24,0.0705
25,0.0757
26,0.0778
27,0.0770
28,0.0774
29,0.0821
30,0.0863
31,0.0741
32,0.0680
33,0.0826
34,0.0813
35,0.0808
36,0.0766
37,0.0808
38,0.0844
39,0.0727
40,0.0640
41,0.0697
42,0.0656
43,0.0681
44,0.0653
45,0.0629
46,0.0677
47,0.0628
48,0.0733
49,0.0855
50,0.0748
51,0.0737
52,0.0687
53,0.0701
54,0.0713
55,0.0710
56,0.0693
57,0.0786
58,0.0695
59,0.0690
60,0.0721
61,0.0771
62,0.0767
63,0.0650
64,0.0657
65,0.0832
66,0.0745
67,0.0667
68,0.0558
69,0.0592
70,0.0657
71,0.0579
72,0.0649
73,0.0760
74,0.0620
75,0.0500
76,0.0426
77,0.0430
78,0.0523
79,0.0567
80,0.0662
81,0.0702
82,0.0612
83,0.0625
84,0.0632
85,0.0622
86,0.0646
87,0.0589
88,0.0612
89,0.0718
90,0.0561
91,0.0515
92,0.0530
93,0.0581
94,0.0663
95,0.0601
96,0.0636
97,0.0787
98,0.0711
99,0.0688
100,0.0702
101,0.0671
102,0.0702
103,0.0712
104,0.0672
105,0.0696
106,0.0589
107,0.0583
108,0.0529
109,0.0558
110,0.0697
111,0.0651
112,0.0636
113,0.0767
114,0.0657
115,0.0643
116,0.0713
117,0.0731
118,0.0755
119,0.0557
120,0.0554
121,0.0664
122,0.0697
123,0.0693
124,0.0578
125,0.0586
126,0.0595
127,0.0515
128,0.0605
129,0.0896
130,0.0805
131,0.0690
132,0.0556
133,0.0574
134,0.0619
135,0.0569
136,0.0503
137,0.0605
138,0.0508
139,0.0493
140,0.0553
141,0.0671
142,0.0714
143,0.0622
144,0.0612
145,0.0704
146,0.0635
147,0.0610
148,0.0548
149,0.0608
150,0.0632
151,0.0584
152,0.0613
153,0.0710
154,0.0651
155,0.0568
156,0.0518
157,0.0599
158,0.0703
159,0.0559
160,0.0558
161,0.0695
162,0.0680
163,0.0698
164,0.0641
165,0.0558
166,0.0595
167,0.0601
168,0.0634
169,0.0717
170,0.0629
171,0.0572
172,0.0516
173,0.0575
174,0.0637
175,0.0540
176,0.0491
177,0.0530
178,0.0464
179,0.0477
180,0.0538
181,0.0511
182,0.0523
183,0.0458
184,0.0458
185,0.0505
186,0.0590
187,0.0661
188,0.0658
189,0.0608
190,0.0642
191,0.0573
192,0.0565
193,0.0693
194,0.0600
195,0.0577
196,0.0540
197,0.0579
198,0.0632
199,0.0655
200,0.0694
201,0.0737
202,0.0632
203,0.0619
204,0.0611
205,0.0673
206,0.0829
207,0.0767
208,0.0732
209,0.0908
210,0.0762
211,0.0693
212,0.0722
213,0.0718
214,0.0775
215,0.0780
216,0.0793
217,0.0824
218,0.0721
219,0.0747
220,0.0725
221,0.0677
222,0.0738
223,0.0679
224,0.0743
225,0.0902
226,0.0839
227,0.0763
228,0.0756
229,0.0759
230,0.0790
231,0.0731
