Distance_(pixels),Gray_Value
0,0.1068
1,0.0817
2,0.0693
3,0.0676
4,0.0698
5,0.0688
6,0.0701
7,0.0750
8,0.0768
9,0.0785
10,0.0736
11,0.0660
12,0.0550
13,0.0611
14,0.0690
15,0.0570
16,0.0535
17,0.0694
18,0.0707
19,0.0686
20,0.0678
21,0.0699
22,0.0723
23,0.0714
24,0.0685
25,0.0743
26,0.0740
27,0.0736
28,0.0782
29,0.0814
30,0.0850
31,0.0746
32,0.0715
33,0.0829
34,0.0798
35,0.0797
36,0.0779
37,0.0803
38,0.0816
39,0.0750
40,0.0613
41,0.0645
42,0.0658
43,0.0684
44,0.0649
45,0.0656
46,0.0707
47,0.0667
48,0.0736
49,0.0876
50,0.0708
51,0.0666
52,0.0625
53,0.0650
54,0.0652
55,0.0673
56,0.0636
57,0.0732
58,0.0671
59,0.0663
60,0.0743
61,0.0744
62,0.0706
63,0.0654
64,0.0687
65,0.0828
66,0.0742
67,0.0683
68,0.0554
69,0.0632
70,0.0669
71,0.0574
72,0.0591
73,0.0699
74,0.0603
75,0.0496
76,0.0445
77,0.0452
78,0.0550
79,0.0554
80,0.0658
81,0.0726
82,0.0665
83,0.0657
84,0.0638
85,0.0689
86,0.0723
87,0.0632
88,0.0633
89,0.0720
90,0.0571
91,0.0497
92,0.0497
93,0.0556
94,0.0659
95,0.0579
96,0.0603
97,0.0752
98,0.0708
99,0.0708
100,0.0714
101,0.0638
102,0.0667
103,0.0667
104,0.0666
105,0.0649
106,0.0598
107,0.0563
108,0.0477
109,0.0518
110,0.0666
111,0.0626
112,0.0637
113,0.0815
114,0.0691
115,0.0650
116,0.0702
117,0.0730
118,0.0711
119,0.0557
120,0.0544
121,0.0683
122,0.0695
123,0.0670
124,0.0574
125,0.0575
126,0.0568
127,0.0496
128,0.0543
129,0.0839
130,0.0806
131,0.0693
132,0.0596
133,0.0533
134,0.0601
135,0.0501
136,0.0483
137,0.0600
138,0.0535
139,0.0500
140,0.0539
141,0.0600
142,0.0624
143,0.0613
144,0.0606
145,0.0654
146,0.0604
147,0.0583
148,0.0554
149,0.0583
150,0.0641
151,0.0596
152,0.0641
153,0.0752
154,0.0658
155,0.0558
156,0.0497
157,0.0605
158,0.0711
159,0.0566
160,0.0557
161,0.0708
162,0.0664
163,0.0655
164,0.0635
165,0.0587
166,0.0596
167,0.0600
168,0.0638
169,0.0708
170,0.0607
171,0.0529
172,0.0490
173,0.0544
174,0.0588
175,0.0530
176,0.0490
177,0.0527
178,0.0500
179,0.0502
180,0.0536
181,0.0481
182,0.0491
183,0.0456
184,0.0455
185,0.0514
186,0.0571
187,0.0643
188,0.0660
189,0.0609
190,0.0595
191,0.0540
192,0.0539
193,0.0677
194,0.0613
195,0.0561
196,0.0532
197,0.0565
198,0.0583
199,0.0584
200,0.0608
201,0.0682
202,0.0580
203,0.0579
204,0.0575
205,0.0619
206,0.0750
207,0.0668
208,0.0696
209,0.0815
210,0.0699
211,0.0633
212,0.0675
213,0.0678
214,0.0731
215,0.0715
216,0.0729
217,0.0772
218,0.0698
219,0.0731
220,0.0678
221,0.0677
222,0.0776
223,0.0696
224,0.0731
225,0.0887
226,0.0833
227,0.0768
228,0.0794
229,0.0737
230,0.0754
231,0.0738
232,0.0769
233,0.0859
234,0.0818
235,0.0826
236,0.0765
237,0.0760
238,0.0780
239,0.0639
240,0.0639
241,0.0691
242,0.0620
243,0.0620
244,0.0583
245,0.0621
246,0.0614
247,0.0642
248,0.0637
249,0.0639
250,0.0617
251,0.0610
252,0.0651
253,0.0599
254,0.0693
255,0.0625
256,0.0660
257,0.0767
258,0.0741
259,0.0740
260,0.0738
261,0.0661
262,0.0677
263,0.0657
264,0.0720
265,0.0906
266,0.0769
267,0.0742
268,0.0692
269,0.0549
270,0.0517
271,0.0470
272,0.0571
273,0.0616
274,0.0537
275,0.0546
276,0.0590
277,0.0625
278,0.0661
279,0.0639
280,0.0693
281,0.0787
282,0.0765
283,0.0693
284,0.0606
285,0.0610
286,0.0693
287,0.0623
288,0.0680
289,0.0831
290,0.0716
291,0.0643
292,0.0695
293,0.0717
294,0.0711
295,0.0622
296,0.0666
297,0.0759
298,0.0663
299,0.0596
300,0.0599
301,0.0670
302,0.0832
303,0.0812
304,0.0776
305,0.0820
306,0.0730
307,0.0690
308,0.0720
309,0.0740
310,0.0737
311,0.0624
312,0.0726
313,0.0834
314,0.0776
315,0.0665
316,0.0502
317,0.0469
318,0.0555
319,0.0511
320,0.0580
321,0.0656
322,0.0583
323,0.0652
324,0.0630
325,0.0637
326,0.0732
327,0.0744
328,0.0726
329,0.0855
330,0.0811
331,0.0703
332,0.0654
333,0.0650
334,0.0700
335,0.0648
336,0.0653
337,0.0732
338,0.0709
339,0.0738
340,0.0749
341,0.0724
342,0.0633
343,0.0580
344,0.0604
345,0.0687
346,0.0644
347,0.0622
348,0.0593
349,0.0572
350,0.0615
351,0.0588
352,0.0705
353,0.0854
354,0.0733
355,0.0740
356,0.0794
357,0.0821
358,0.0818
359,0.0726
360,0.0728
361,0.0806
362,0.0730
363,0.0616
364,0.0505
365,0.0512
366,0.0574
367,0.0505
368,0.0555
369,0.0693
370,0.0645
371,0.0602
372,0.0574
373,0.0567
374,0.0578
375,0.0602
376,0.0681
377,0.0722
378,0.0748
379,0.0752
380,0.0713
381,0.0690
382,0.0654
383,0.0591
384,0.0657
385,0.0864
386,0.0902
387,0.0847
388,0.0801
389,0.0738
390,0.0702
391,0.0625
392,0.0668
393,0.0762
394,0.0781
395,0.0831
396,0.0870
397,0.0994
398,0.1016
399,0.0872
400,0.0782
401,0.0811
402,0.0692
403,0.0593
404,0.0711
405,0.0814
406,0.0895
407,0.0922
408,0.0941
409,0.1003
410,0.0889
411,0.0802
412,0.0759
413,0.0754
414,0.0772
415,0.0643
416,0.0683
417,0.0760
418,0.0656
419,0.0564
420,0.0545
421,0.0554
422,0.0629
423,0.0567
424,0.0529
425,0.0580
426,0.0550
427,0.0631
428,0.0628
429,0.0643
430,0.0649
431,0.0618
432,0.0615
433,0.0818
434,0.0743
435,0.0645
436,0.0627
437,0.0657
438,0.0700
439,0.0621
440,0.0627
441,0.0744
442,0.0746
443,0.0639
444,0.0482
445,0.0462
446,0.0507
447,0.0474
448,0.0611
449,0.0745
450,0.0692
451,0.0766
452,0.0789
453,0.0802
454,0.0784
455,0.0656
456,0.0640
457,0.0771
458,0.0710
459,0.0725
460,0.0749
461,0.0747
462,0.0787
463,0.0668
464,0.0656
465,0.0794
466,0.0689
467,0.0684
468,0.0666
469,0.0757
470,0.0720
471,0.0645
472,0.0638
473,0.0739
474,0.0697
475,0.0688
476,0.0692
477,0.0781
478,0.0833
479,0.0744
480,0.0805
481,0.0915
482,0.0839
483,0.0794
484,0.0706
485,0.0602
486,0.0550
487,0.0551
488,0.0609
489,0.0691
490,0.0587
491,0.0555
492,0.0548
493,0.0589
494,0.0609
495,0.0594
496,0.0612
497,0.0706
498,0.0646
499,0.0632
500,0.0758
501,0.0841
502,0.0890
503,0.0768
504,0.0733
505,0.0830
506,0.0825
507,0.0777
508,0.0717
509,0.0731
510,0.0752
511,0.0680
512,0.0608
513,0.0624
514,0.0532
515,0.0550
516,0.0527
517,0.0561
518,0.0526
519,0.0438
520,0.0427
521,0.0532
522,0.0506
523,0.0546
524,0.0511
525,0.0581
526,0.0643
527,0.0558
528,0.0519
529,0.0544
530,0.0499
531,0.0553
532,0.0596
533,0.0607
534,0.0547
535,0.0476
536,0.0565
537,0.0640
538,0.0592
539,0.0631
540,0.0647
541,0.0720
542,0.0778
543,0.0670
544,0.0597
545,0.0718
546,0.0663
547,0.0627
548,0.0567
549,0.0557
550,0.0524
551,0.0530
552,0.0630
553,0.0620
554,0.0494
555,0.0490
556,0.0516
557,0.0562
558,0.0631
559,0.0526
560,0.0609
561,0.0811
562,0.0811
563,0.0748
564,0.0734
565,0.0686
566,0.0669
567,0.0629
568,0.0571
569,0.0613
570,0.0634
571,0.0649
572,0.0598
573,0.0522
574,0.0520
575,0.0519
576,0.0545
577,0.0758
578,0.0704
579,0.0698
580,0.0656
581,0.0652
582,0.0661
583,0.0539
584,0.0511
585,0.0665
586,0.0645
587,0.0570
588,0.0644
589,0.0803
590,0.0841
