Distance_(pixels),Gray_Value
0,0.1096
1,0.0834
2,0.0739
3,0.0720
4,0.0756
5,0.0744
6,0.0775
7,0.0732
8,0.0710
9,0.0777
10,0.0721
11,0.0637
12,0.0580
13,0.0671
14,0.0710
15,0.0614
16,0.0638
17,0.0731
18,0.0722
19,0.0691
20,0.0689
21,0.0684
22,0.0708
23,0.0712
24,0.0705
25,0.0786
26,0.0756
27,0.0773
28,0.0790
29,0.0804
30,0.0860
31,0.0788
32,0.0723
33,0.0881
34,0.0856
35,0.0843
36,0.0786
37,0.0803
38,0.0853
39,0.0801
40,0.0682
41,0.0718
42,0.0696
43,0.0694
44,0.0652
45,0.0674
46,0.0721
47,0.0645
48,0.0708
49,0.0840
50,0.0737
51,0.0693
52,0.0648
53,0.0678
54,0.0692
55,0.0704
56,0.0674
57,0.0770
58,0.0663
59,0.0679
60,0.0721
61,0.0765
62,0.0705
63,0.0607
64,0.0665
65,0.0844
66,0.0777
67,0.0677
68,0.0577
69,0.0610
70,0.0701
71,0.0584
72,0.0654
73,0.0797
74,0.0663
75,0.0507
76,0.0425
77,0.0421
78,0.0501
79,0.0543
80,0.0618
81,0.0707
82,0.0621
83,0.0602
84,0.0610
85,0.0676
86,0.0716
87,0.0658
88,0.0668
89,0.0764
90,0.0584
91,0.0545
92,0.0562
93,0.0620
94,0.0684
95,0.0626
96,0.0642
97,0.0804
98,0.0746
99,0.0733
100,0.0734
101,0.0663
102,0.0697
103,0.0709
104,0.0705
105,0.0702
106,0.0651
107,0.0599
108,0.0542
109,0.0528
110,0.0634
111,0.0653
112,0.0691
113,0.0805
114,0.0714
115,0.0641
116,0.0701
117,0.0725
118,0.0736
119,0.0563
120,0.0542
121,0.0658
122,0.0676
123,0.0630
124,0.0536
125,0.0550
126,0.0598
127,0.0517
128,0.0595
129,0.0826
130,0.0806
131,0.0703
132,0.0601
133,0.0571
134,0.0615
135,0.0531
136,0.0477
137,0.0548
138,0.0493
139,0.0515
140,0.0558
141,0.0674
142,0.0689
143,0.0619
144,0.0581
145,0.0678
146,0.0638
147,0.0601
148,0.0547
149,0.0550
150,0.0582
151,0.0567
152,0.0639
153,0.0745
154,0.0677
155,0.0577
156,0.0524
157,0.0616
158,0.0764
159,0.0559
160,0.0545
161,0.0747
162,0.0720
163,0.0648
164,0.0647
165,0.0583
166,0.0599
167,0.0597
168,0.0639
169,0.0698
170,0.0643
171,0.0572
172,0.0505
173,0.0581
174,0.0655
175,0.0533
176,0.0453
177,0.0494
178,0.0454
179,0.0480
180,0.0514
181,0.0457
182,0.0479
183,0.0462
184,0.0465
185,0.0522
186,0.0566
187,0.0618
188,0.0625
189,0.0560
190,0.0581
191,0.0534
192,0.0565
193,0.0693
194,0.0610
195,0.0575
196,0.0508
197,0.0548
198,0.0598
199,0.0577
200,0.0657
201,0.0713
202,0.0651
203,0.0621
204,0.0623
205,0.0685
206,0.0883
207,0.0803
208,0.0774
209,0.0894
210,0.0752
211,0.0693
212,0.0711
213,0.0696
214,0.0729
215,0.0718
216,0.0734
217,0.0811
218,0.0711
219,0.0734
220,0.0728
221,0.0706
222,0.0772
223,0.0704
224,0.0759
225,0.0878
226,0.0813
227,0.0800
228,0.0788
229,0.0753
230,0.0749
231,0.0725
232,0.0770
233,0.0853
234,0.0824
235,0.0844
236,0.0795
237,0.0744
238,0.0781
239,0.0739
240,0.0677
241,0.0729
242,0.0663
243,0.0613
244,0.0590
245,0.0616
246,0.0649
247,0.0654
248,0.0654
249,0.0654
250,0.0669
251,0.0712
252,0.0675
253,0.0618
254,0.0708
255,0.0656
256,0.0658
257,0.0708
258,0.0699
259,0.0737
260,0.0764
261,0.0682
262,0.0691
263,0.0694
264,0.0759
265,0.0905
266,0.0805
267,0.0747
268,0.0693
269,0.0593
270,0.0551
271,0.0505
272,0.0571
273,0.0612
274,0.0526
275,0.0547
276,0.0570
277,0.0581
278,0.0634
279,0.0608
280,0.0632
281,0.0697
282,0.0688
283,0.0665
284,0.0591
285,0.0620
286,0.0699
287,0.0614
288,0.0632
289,0.0784
290,0.0719
291,0.0676
292,0.0699
293,0.0700
294,0.0655
295,0.0584
296,0.0599
297,0.0686
298,0.0648
299,0.0591
300,0.0592
301,0.0631
302,0.0789
303,0.0773
304,0.0776
305,0.0877
306,0.0747
307,0.0717
308,0.0772
309,0.0747
310,0.0734
311,0.0619
312,0.0729
313,0.0847
314,0.0805
315,0.0720
316,0.0574
317,0.0536
318,0.0621
319,0.0567
320,0.0624
321,0.0710
322,0.0653
323,0.0682
324,0.0647
325,0.0665
326,0.0742
327,0.0748
328,0.0720
329,0.0851
330,0.0810
331,0.0669
332,0.0591
333,0.0595
334,0.0653
335,0.0620
336,0.0614
337,0.0745
338,0.0741
339,0.0738
340,0.0782
341,0.0732
342,0.0630
343,0.0591
344,0.0611
345,0.0699
346,0.0622
347,0.0609
348,0.0587
349,0.0597
350,0.0652
351,0.0665
352,0.0709
353,0.0854
354,0.0742
355,0.0791
356,0.0846
357,0.0867
358,0.0875
359,0.0791
360,0.0778
361,0.0832
362,0.0751
363,0.0632
364,0.0519
365,0.0561
366,0.0601
367,0.0549
368,0.0605
369,0.0743
370,0.0667
371,0.0610
372,0.0608
373,0.0565
374,0.0590
375,0.0584
376,0.0662
377,0.0722
378,0.0723
379,0.0710
380,0.0689
381,0.0664
382,0.0627
383,0.0608
384,0.0683
385,0.0852
386,0.0883
387,0.0862
388,0.0782
389,0.0711
390,0.0696
391,0.0630
392,0.0654
393,0.0770
394,0.0774
395,0.0820
396,0.0866
397,0.0975
398,0.1005
399,0.0906
400,0.0816
401,0.0849
402,0.0728
403,0.0611
404,0.0727
405,0.0852
406,0.0908
407,0.0908
408,0.0881
409,0.0944
410,0.0820
411,0.0739
412,0.0724
413,0.0779
414,0.0831
415,0.0722
416,0.0710
417,0.0795
418,0.0689
419,0.0620
420,0.0620
421,0.0658
422,0.0720
423,0.0648
424,0.0562
425,0.0571
426,0.0550
427,0.0581
428,0.0589
429,0.0612
430,0.0608
431,0.0572
432,0.0606
433,0.0842
434,0.0728
435,0.0626
436,0.0603
437,0.0647
438,0.0677
439,0.0624
440,0.0676
441,0.0778
442,0.0810
443,0.0697
444,0.0475
445,0.0475
446,0.0549
447,0.0503
448,0.0627
449,0.0748
450,0.0754
451,0.0812
452,0.0814
453,0.0823
454,0.0735
455,0.0649
456,0.0607
457,0.0749
458,0.0704
459,0.0690
460,0.0713
461,0.0693
462,0.0750
463,0.0681
464,0.0664
465,0.0805
466,0.0714
467,0.0721
468,0.0701
469,0.0801
470,0.0748
471,0.0665
472,0.0712
473,0.0800
474,0.0687
475,0.0674
476,0.0676
477,0.0788
478,0.0819
479,0.0741
480,0.0866
481,0.0985
482,0.0856
483,0.0807
484,0.0731
485,0.0607
486,0.0590
487,0.0595
488,0.0646
489,0.0660
490,0.0579
491,0.0559
492,0.0551
493,0.0560
494,0.0577
495,0.0601
496,0.0586
497,0.0706
498,0.0646
499,0.0664
500,0.0781
501,0.0855
502,0.0889
503,0.0844
504,0.0770
505,0.0863
506,0.0806
507,0.0753
508,0.0702
509,0.0699
510,0.0791
511,0.0719
512,0.0601
513,0.0595
514,0.0505
515,0.0524
516,0.0532
517,0.0571
518,0.0530
519,0.0493
520,0.0466
521,0.0578
522,0.0582
523,0.0585
524,0.0517
525,0.0596
526,0.0675
527,0.0608
528,0.0580
529,0.0585
530,0.0510
531,0.0534
532,0.0591
533,0.0613
534,0.0560
535,0.0503
536,0.0585
537,0.0681
538,0.0609
539,0.0610
540,0.0625
541,0.0720
542,0.0790
543,0.0704
544,0.0587
545,0.0716
546,0.0666
547,0.0619
548,0.0557
549,0.0555
550,0.0545
551,0.0514
552,0.0611
553,0.0644
554,0.0511
555,0.0482
556,0.0500
557,0.0564
558,0.0613
559,0.0542
560,0.0627
561,0.0824
562,0.0789
563,0.0714
564,0.0692
565,0.0685
566,0.0713
567,0.0666
568,0.0566
569,0.0622
570,0.0673
571,0.0643
572,0.0619
573,0.0556
574,0.0548
575,0.0509
576,0.0538
577,0.0733
578,0.0675
579,0.0631
580,0.0623
581,0.0659
582,0.0653
583,0.0531
584,0.0517
585,0.0613
586,0.0541
587,0.0537
588,0.0607
589,0.0714
590,0.0723
591,0.0606
592,0.0591
593,0.0652
594,0.0575
595,0.0568
596,0.0558
597,0.0530
598,0.0529
599,0.0484
600,0.0555
601,0.0715
602,0.0771
603,0.0769
604,0.0716
605,0.0708
606,0.0701
607,0.0571
608,0.0580
609,0.0755
610,0.0746
611,0.0694
612,0.0674
613,0.0673
614,0.0665
615,0.0586
616,0.0580
617,0.0713
618,0.0688
619,0.0639
620,0.0603
621,0.0651
622,0.0724
623,0.0660
624,0.0603
625,0.0640
626,0.0651
627,0.0666
628,0.0691
629,0.0703
630,0.0634
631,0.0524
632,0.0496
633,0.0561
634,0.0566
635,0.0560
636,0.0553
637,0.0561
638,0.0604
639,0.0552
640,0.0546
641,0.0701
642,0.0720
643,0.0666
644,0.0649
645,0.0730
646,0.0902
647,0.0824
648,0.0781
649,0.0812
650,0.0721
651,0.0672
652,0.0682
653,0.0756
654,0.0781
655,0.0670
656,0.0599
657,0.0742
658,0.0704
659,0.0662
660,0.0628
661,0.0654
662,0.0650
663,0.0645
664,0.0636
665,0.0686
666,0.0648
667,0.0619
668,0.0570
669,0.0532
670,0.0606
671,0.0641
672,0.0674
673,0.0653
674,0.0521
675,0.0507
676,0.0592
677,0.0672
678,0.0663
679,0.0670
680,0.0703
681,0.0754
682,0.0714
683,0.0597
684,0.0572
685,0.0703
686,0.0826
687,0.0680
688,0.0630
689,0.0732
690,0.0615
691,0.0524
692,0.0534
693,0.0546
694,0.0580
695,0.0558
696,0.0673
697,0.0910
698,0.0911
699,0.0836
700,0.0772
701,0.0812
702,0.0836
703,0.0694
704,0.0632
705,0.0683
706,0.0542
707,0.0540
708,0.0608
709,0.0637
710,0.0699
711,0.0669
712,0.0718
713,0.0817
714,0.0705
715,0.0604
716,0.0575
717,0.0543
718,0.0607
719,0.0537
720,0.0585
721,0.0761
722,0.0704
723,0.0618
724,0.0652
725,0.0718
726,0.0797
727,0.0772
728,0.0666
729,0.0674
730,0.0597
731,0.0627
732,0.0688
733,0.0700
734,0.0684
735,0.0513
736,0.0535
737,0.0678
738,0.0655
739,0.0676
740,0.0696
741,0.0679
742,0.0655
743,0.0519
744,0.0527
745,0.0670
746,0.0682
747,0.0673
748,0.0606
749,0.0605
750,0.0670
751,0.0614
752,0.0577
753,0.0620
754,0.0628
755,0.0668
756,0.0737
757,0.0675
758,0.0690
759,0.0601
760,0.0624
761,0.0815
762,0.0757
763,0.0680
764,0.0621
765,0.0615
766,0.0676
767,0.0624
768,0.0676
769,0.0807
770,0.0702
771,0.0707
772,0.0726
773,0.0697
774,0.0756
775,0.0673
776,0.0695
777,0.0780
778,0.0751
779,0.0699
780,0.0686
781,0.0718
782,0.0810
783,0.0711
784,0.0636
785,0.0683
786,0.0693
787,0.0683
788,0.0666
789,0.0666
790,0.0670
791,0.0659
792,0.0688
793,0.0675
794,0.0605
795,0.0630
796,0.0630
797,0.0690
798,0.0761
799,0.0730
800,0.0733
801,0.0852
802,0.0657
803,0.0644
804,0.0717
805,0.0737
806,0.0720
807,0.0664
808,0.0707
809,0.0776
810,0.0709
811,0.0758
812,0.0694
813,0.0670
814,0.0715
815,0.0618
816,0.0637
817,0.0746
818,0.0689
819,0.0714
820,0.0676
821,0.0676
822,0.0701
823,0.0653
824,0.0639
825,0.0702
826,0.0634
827,0.0643
828,0.0583
829,0.0630
830,0.0647
831,0.0626
832,0.0720
833,0.0857
834,0.0786
835,0.0776
836,0.0795
837,0.0858
838,0.0925
839,0.0894
840,0.0795
841,0.0785
842,0.0743
843,0.0684
844,0.0574
845,0.0494
846,0.0500
847,0.0479
848,0.0510
849,0.0549
850,0.0512
851,0.0560
852,0.0604
853,0.0569
854,0.0558
855,0.0480
856,0.0454
857,0.0582
858,0.0553
859,0.0520
860,0.0475
861,0.0491
862,0.0641
863,0.0625
864,0.0599
865,0.0677
866,0.0599
867,0.0636
868,0.0608
869,0.0536
870,0.0521
871,0.0490
872,0.0596
873,0.0694
874,0.0570
875,0.0541
876,0.0557
877,0.0601
878,0.0611
879,0.0454
880,0.0375
881,0.0560
882,0.0509
883,0.0574
884,0.0696
885,0.0747
886,0.0776
887,0.0698
888,0.0679
889,0.0791
890,0.0815
891,0.0743
892,0.0668
893,0.0625
894,0.0697
895,0.0560
896,0.0586
897,0.0658
898,0.0548
899,0.0487
900,0.0495
901,0.0559
902,0.0567
903,0.0538
904,0.0610
905,0.0752
906,0.0681
907,0.0675
908,0.0669
909,0.0731
910,0.0807
911,0.0640
912,0.0615
913,0.0698
914,0.0683
915,0.0675
916,0.0610
917,0.0589
918,0.0638
919,0.0654
920,0.0616
921,0.0710
922,0.0701
923,0.0689
924,0.0612
925,0.0528
926,0.0512
927,0.0429
928,0.0495
929,0.0706
930,0.0644
931,0.0620
932,0.0617
933,0.0632
934,0.0747
935,0.0739
936,0.0677
937,0.0753
938,0.0668
939,0.0547
940,0.0454
941,0.0479
942,0.0570
943,0.0531
944,0.0596
945,0.0655
946,0.0587
947,0.0657
948,0.0708
949,0.0698
950,0.0698
951,0.0581
952,0.0586
953,0.0644
954,0.0618
955,0.0667
956,0.0668
957,0.0603
958,0.0636
959,0.0580
960,0.0620
961,0.0781
962,0.0685
963,0.0666
964,0.0650
965,0.0668
966,0.0614
967,0.0495
968,0.0551
969,0.0671
970,0.0611
971,0.0588
972,0.0563
973,0.0596
974,0.0657
975,0.0651
976,0.0647
977,0.0703
978,0.0693
979,0.0736
980,0.0748
981,0.0741
982,0.0738
983,0.0718
984,0.0720
985,0.0801
986,0.0850
987,0.0877
988,0.0771
989,0.0780
990,0.0885
991,0.0886
992,0.0852
993,0.0970
994,0.0870
995,0.0793
996,0.0734
997,0.0658
998,0.0707
999,0.0738
1000,0.0728
