Distance_(pixels),Gray_Value
0,0.1101
1,0.0840
2,0.0718
3,0.0733
4,0.0749
5,0.0720
6,0.0774
7,0.0750
8,0.0743
9,0.0794
10,0.0771
11,0.0692
12,0.0585
13,0.0624
14,0.0663
15,0.0550
16,0.0581
17,0.0718
18,0.0713
19,0.0703
20,0.0710
21,0.0731
22,0.0742
23,0.0704
24,0.0710
25,0.0792
26,0.0783
27,0.0783
28,0.0829
29,0.0820
30,0.0830
31,0.0734
32,0.0727
33,0.0842
34,0.0797
35,0.0796
36,0.0792
37,0.0839
38,0.0906
39,0.0830
40,0.0694
41,0.0712
42,0.0698
43,0.0723
44,0.0649
45,0.0655
46,0.0761
47,0.0638
48,0.0714
49,0.0872
50,0.0764
51,0.0746
52,0.0672
53,0.0674
54,0.0675
55,0.0687
56,0.0713
57,0.0796
58,0.0694
59,0.0699
60,0.0708
61,0.0739
62,0.0690
63,0.0636
64,0.0709
65,0.0884
66,0.0782
67,0.0690
68,0.0566
69,0.0644
70,0.0694
71,0.0589
72,0.0689
73,0.0830
74,0.0669
75,0.0521
76,0.0455
77,0.0443
78,0.0528
79,0.0526
80,0.0611
81,0.0739
82,0.0619
83,0.0590
84,0.0600
85,0.0653
86,0.0700
87,0.0672
88,0.0648
89,0.0712
90,0.0558
91,0.0492
92,0.0505
93,0.0547
94,0.0640
95,0.0581
96,0.0632
97,0.0790
98,0.0733
99,0.0707
100,0.0701
101,0.0651
102,0.0658
103,0.0676
104,0.0693
105,0.0691
106,0.0630
107,0.0601
108,0.0512
109,0.0513
110,0.0650
111,0.0628
112,0.0689
113,0.0832
114,0.0708
115,0.0641
116,0.0722
117,0.0764
118,0.0737
119,0.0548
120,0.0549
121,0.0694
122,0.0752
123,0.0701
124,0.0557
125,0.0565
126,0.0596
127,0.0512
128,0.0604
129,0.0872
130,0.0832
131,0.0704
132,0.0621
133,0.0611
134,0.0663
135,0.0577
136,0.0548
137,0.0655
138,0.0581
139,0.0561
140,0.0601
141,0.0712
142,0.0734
143,0.0653
144,0.0641
145,0.0731
146,0.0661
147,0.0602
148,0.0564
149,0.0587
150,0.0617
151,0.0569
152,0.0586
153,0.0722
154,0.0691
155,0.0539
156,0.0467
157,0.0578
158,0.0705
159,0.0550
160,0.0557
161,0.0710
162,0.0701
163,0.0678
164,0.0674
165,0.0595
166,0.0596
167,0.0588
168,0.0641
169,0.0710
170,0.0636
171,0.0544
172,0.0500
173,0.0573
174,0.0620
175,0.0538
176,0.0479
177,0.0515
178,0.0465
179,0.0466
180,0.0503
181,0.0485
182,0.0520
183,0.0455
184,0.0448
185,0.0526
186,0.0576
187,0.0658
188,0.0662
189,0.0614
190,0.0627
191,0.0596
192,0.0588
193,0.0722
194,0.0621
195,0.0600
196,0.0564
197,0.0611
198,0.0608
199,0.0644
200,0.0718
201,0.0788
202,0.0653
203,0.0613
204,0.0584
205,0.0623
206,0.0847
207,0.0802
208,0.0782
209,0.0922
210,0.0774
211,0.0714
212,0.0757
213,0.0738
214,0.0783
215,0.0755
216,0.0749
217,0.0804
218,0.0710
219,0.0731
220,0.0653
221,0.0634
222,0.0739
223,0.0706
224,0.0751
225,0.0942
226,0.0877
227,0.0816
228,0.0810
229,0.0801
230,0.0840
231,0.0792
232,0.0808
233,0.0843
234,0.0837
235,0.0854
236,0.0814
237,0.0738
238,0.0803
239,0.0740
240,0.0666
241,0.0703
242,0.0625
243,0.0612
244,0.0572
245,0.0547
246,0.0582
247,0.0649
248,0.0678
249,0.0688
250,0.0664
251,0.0700
252,0.0676
253,0.0642
254,0.0699
255,0.0632
256,0.0608
257,0.0718
258,0.0679
259,0.0735
260,0.0740
261,0.0691
262,0.0727
263,0.0715
264,0.0767
265,0.0921
266,0.0775
267,0.0713
268,0.0663
269,0.0615
270,0.0570
271,0.0537
272,0.0584
273,0.0653
274,0.0557
275,0.0556
276,0.0599
277,0.0611
278,0.0666
279,0.0654
280,0.0692
281,0.0775
282,0.0742
283,0.0700
284,0.0590
285,0.0639
286,0.0710
287,0.0614
288,0.0676
289,0.0854
290,0.0763
291,0.0720
292,0.0728
293,0.0733
294,0.0696
295,0.0639
296,0.0682
297,0.0751
298,0.0698
299,0.0608
300,0.0611
301,0.0661
302,0.0788
