Distance_(pixels),Gray_Value
0,0.17178
1,0.14149
2,0.12683
3,0.13185
4,0.12664
5,0.12384
6,0.13667
7,0.15557
8,0.16030
9,0.13223
10,0.12442
11,0.12056
12,0.10851
13,0.11902
14,0.12953
15,0.14699
16,0.16127
17,0.13137
18,0.12191
19,0.13079
20,0.11690
21,0.11265
22,0.13291
23,0.15345
24,0.15201
25,0.14024
26,0.13638
27,0.13474
28,0.13416
29,0.13503
30,0.13995
31,0.15230
32,0.14390
33,0.13050
34,0.12683
35,0.12124
36,0.12220
37,0.12056
38,0.13117
39,0.14516
40,0.14525
41,0.12133
42,0.12105
43,0.11863
44,0.10407
45,0.10484
46,0.11680
47,0.14516
48,0.17477
49,0.13792
50,0.11834
51,0.11757
52,0.10446
53,0.10706
54,0.12924
55,0.14931
56,0.15095
57,0.12018
58,0.11545
59,0.11410
60,0.11555
61,0.12587
62,0.13802
63,0.13744
64,0.16348
65,0.13648
66,0.12635
67,0.12452
68,0.10677
69,0.10783
70,0.13436
71,0.12751
72,0.13445
73,0.13223
74,0.11217
75,0.10475
76,0.09674
77,0.09153
78,0.10359
79,0.13436
80,0.15278
81,0.12317
82,0.10494
83,0.10841
84,0.10764
85,0.10957
86,0.11806
87,0.14053
88,0.15249
89,0.12008
90,0.11082
91,0.09645
92,0.09115
93,0.11661
94,0.14738
95,0.14043
96,0.14574
97,0.13503
98,0.10966
99,0.10909
100,0.10581
101,0.10918
102,0.11323
103,0.14776
104,0.15557
105,0.11863
106,0.11140
107,0.10880
108,0.09346
109,0.10253
110,0.12809
111,0.14072
112,0.14535
113,0.13252
114,0.12008
115,0.10995
116,0.11931
117,0.12394
118,0.13561
119,0.11854
120,0.11844
121,0.10552
122,0.10986
123,0.11294
124,0.10137
125,0.08941
126,0.10947
127,0.11796
128,0.14149
129,0.13397
130,0.13455
131,0.12490
132,0.10600
133,0.10417
134,0.11150
135,0.12182
136,0.13079
137,0.10368
138,0.10340
139,0.10089
140,0.10108
141,0.11265
142,0.11941
143,0.13638
144,0.14439
145,0.12047
146,0.10426
147,0.10648
148,0.10513
149,0.10667
150,0.11564
151,0.13445
152,0.12992
153,0.11960
154,0.12432
155,0.10745
156,0.10204
157,0.10831
158,0.12375
159,0.13927
160,0.14294
161,0.11246
162,0.12085
163,0.13069
164,0.10417
165,0.10340
166,0.12191
167,0.13002
168,0.15529
169,0.11690
170,0.10677
171,0.10947
172,0.09549
173,0.09230
174,0.11757
175,0.12027
176,0.12027
177,0.10233
178,0.08700
179,0.09105
180,0.09742
181,0.09250
182,0.09848
183,0.11111
184,0.11709
185,0.08806
186,0.10137
187,0.11555
188,0.10301
189,0.10098
190,0.11439
191,0.13812
192,0.14776
193,0.11574
194,0.10677
195,0.10185
196,0.09770
197,0.10359
198,0.11092
199,0.12423
200,0.13715
201,0.11902
202,0.11478
203,0.10735
204,0.10388
205,0.10957
206,0.13127
207,0.15673
208,0.16213
209,0.14082
210,0.12172
211,0.11352
212,0.10629
213,0.10677
214,0.12548
215,0.16753
216,0.16397
217,0.12760
218,0.12182
219,0.11970
220,0.10706
221,0.11526
