Distance_(pixels),Gray_Value
0,0.16464
1,0.13879
2,0.12182
3,0.13127
4,0.12905
5,0.12568
6,0.13214
7,0.15085
8,0.15403
9,0.12558
10,0.12404
11,0.12047
12,0.10561
13,0.11642
14,0.12683
15,0.13764
16,0.15442
17,0.12944
18,0.12625
19,0.12770
20,0.12056
21,0.11998
22,0.13725
23,0.14998
24,0.15095
25,0.13754
26,0.13108
27,0.13204
28,0.12963
29,0.13175
30,0.13696
31,0.14757
32,0.14632
33,0.13262
34,0.13513
35,0.12249
36,0.12269
37,0.12259
38,0.13204
39,0.14169
40,0.14255
41,0.12047
42,0.11748
43,0.11169
44,0.10282
45,0.10301
46,0.11208
47,0.14246
48,0.17544
49,0.13686
50,0.12625
51,0.12153
52,0.10436
53,0.10764
54,0.12674
55,0.14207
56,0.15683
57,0.12153
58,0.11941
59,0.12008
60,0.12162
61,0.13011
62,0.13715
63,0.13706
64,0.16773
65,0.14111
66,0.13185
67,0.12799
68,0.10600
69,0.10552
70,0.13436
71,0.13522
72,0.14024
73,0.13117
74,0.10581
75,0.10176
76,0.09471
77,0.09201
78,0.10629
79,0.13175
80,0.15172
81,0.12056
82,0.10397
83,0.10648
84,0.11073
85,0.10938
86,0.11902
87,0.15210
88,0.15972
89,0.11902
90,0.10696
91,0.09761
92,0.09057
93,0.11979
94,0.15422
95,0.14371
96,0.14892
97,0.13850
98,0.11796
99,0.11343
100,0.10831
101,0.11564
102,0.11458
103,0.15162
104,0.15191
105,0.12471
106,0.11294
107,0.10831
108,0.09423
109,0.10397
110,0.12606
111,0.14699
112,0.15336
113,0.13831
114,0.12240
115,0.10870
116,0.12008
117,0.12539
118,0.13223
119,0.12519
120,0.11892
121,0.10465
122,0.11208
123,0.11593
124,0.09819
125,0.08729
126,0.10754
127,0.11584
128,0.14699
129,0.13571
130,0.13590
131,0.12645
132,0.10822
133,0.10870
134,0.11391
135,0.12809
136,0.13272
137,0.10137
138,0.10002
139,0.09983
140,0.09848
141,0.11150
142,0.12297
143,0.13976
144,0.14574
145,0.11709
146,0.10166
147,0.10542
148,0.10426
149,0.10417
150,0.11449
151,0.13648
152,0.13426
153,0.11979
154,0.12037
155,0.10147
156,0.09742
157,0.10918
158,0.12461
159,0.14361
160,0.14246
161,0.11333
162,0.11998
163,0.12191
164,0.10368
165,0.10195
166,0.11815
167,0.12548
168,0.14381
169,0.11198
170,0.10899
171,0.11535
172,0.09742
173,0.09298
174,0.12018
175,0.12201
176,0.12047
177,0.09848
178,0.08816
179,0.09317
180,0.09713
181,0.09443
182,0.10060
183,0.11005
184,0.11815
185,0.09028
186,0.10272
187,0.11429
188,0.10532
189,0.10349
190,0.11690
191,0.13301
192,0.14313
193,0.11429
194,0.10667
195,0.10272
196,0.09230
197,0.09751
198,0.11179
199,0.12461
200,0.13657
201,0.12249
202,0.11429
203,0.11005
204,0.10629
205,0.10986
206,0.12838
207,0.15992
208,0.16474
209,0.14824
210,0.13368
211,0.12105
212,0.11063
213,0.11015
214,0.13040
215,0.16426
216,0.15654
217,0.12770
218,0.12510
219,0.11921
220,0.10561
221,0.11410
222,0.13272
223,0.14525
224,0.16030
225,0.13792
226,0.13860
227,0.13831
228,0.12606
229,0.12529
230,0.13609
231,0.15104
232,0.15480
233,0.11516
234,0.11613
235,0.13648
236,0.12442
237,0.11227
238,0.13098
239,0.15664
240,0.14583
241,0.11603
242,0.10156
243,0.10204
244,0.10590
245,0.09915
246,0.11603
247,0.14709
248,0.13301
249,0.11159
250,0.10494
251,0.11429
252,0.10233
253,0.09905
254,0.12288
255,0.13117
256,0.13735
257,0.12461
258,0.11516
259,0.11748
260,0.11767
261,0.11613
262,0.12693
263,0.13339
264,0.14940
265,0.15220
266,0.13715
267,0.12548
268,0.12645
269,0.10793
270,0.10716
271,0.13349
272,0.13870
273,0.11381
274,0.09491
275,0.09115
276,0.10050
277,0.09973
278,0.10378
279,0.13474
280,0.14294
281,0.11863
282,0.11400
283,0.12539
284,0.10687
285,0.10696
286,0.12240
287,0.13783
288,0.14265
289,0.12828
290,0.12568
291,0.12172
292,0.11989
293,0.11863
294,0.12288
295,0.13503
296,0.14024
297,0.12095
298,0.11709
299,0.11024
300,0.09645
301,0.11478
302,0.13715
303,0.15046
304,0.16406
305,0.14169
306,0.12490
307,0.12008
308,0.12818
309,0.12259
310,0.11719
311,0.15529
312,0.15905
313,0.14786
314,0.13744
315,0.12066
316,0.10050
317,0.09443
318,0.11902
319,0.13764
320,0.14111
321,0.11400
322,0.10619
323,0.10426
324,0.10002
325,0.10368
326,0.12519
327,0.14198
328,0.15123
329,0.12452
330,0.12162
331,0.12056
332,0.09693
333,0.10127
334,0.12915
335,0.13030
336,0.13802
337,0.12018
338,0.11217
339,0.12269
340,0.12635
341,0.11593
342,0.11796
343,0.11767
344,0.13329
345,0.11960
346,0.10841
347,0.09867
348,0.09664
349,0.09066
350,0.11699
351,0.13368
352,0.16107
353,0.14005
354,0.12355
355,0.11651
356,0.14014
357,0.13773
358,0.13281
359,0.15876
360,0.15451
361,0.12442
362,0.12780
363,0.12336
364,0.09587
365,0.09790
366,0.11777
367,0.12230
368,0.14709
369,0.12307
370,0.11902
371,0.11970
372,0.10127
373,0.10291
374,0.11140
375,0.13513
376,0.14796
377,0.11960
378,0.12278
379,0.13166
380,0.12731
381,0.12432
382,0.12847
383,0.13513
384,0.14352
385,0.14217
386,0.14101
387,0.13137
388,0.12133
389,0.11873
390,0.11285
391,0.13108
392,0.15885
393,0.13609
394,0.13783
395,0.13908
396,0.14265
397,0.14535
398,0.16840
399,0.17197
400,0.16020
401,0.13088
402,0.11227
403,0.11034
404,0.11564
405,0.12654
406,0.14323
407,0.16310
408,0.17554
409,0.13773
410,0.13146
411,0.12731
412,0.12066
413,0.12944
414,0.14342
415,0.15278
416,0.15374
417,0.12770
418,0.11236
419,0.10619
420,0.08873
421,0.09626
422,0.11314
423,0.13185
424,0.13223
425,0.10764
426,0.10590
427,0.10388
428,0.11063
429,0.09857
