Distance_(pixels),Gray_Value
0,0.16956
1,0.14506
2,0.12490
3,0.13002
4,0.12799
5,0.12230
6,0.13590
7,0.15509
8,0.15615
9,0.12722
10,0.12336
11,0.11275
12,0.10532
13,0.11420
14,0.13079
15,0.14477
16,0.15403
17,0.13301
18,0.11931
19,0.12876
20,0.12114
21,0.11786
22,0.13397
23,0.15095
24,0.15114
25,0.13484
26,0.13522
27,0.13387
28,0.13127
29,0.13426
30,0.14062
31,0.15451
32,0.14940
33,0.13358
34,0.13272
35,0.12452
36,0.12384
37,0.12355
38,0.13358
39,0.14689
40,0.14699
41,0.11873
42,0.11979
43,0.11256
44,0.10262
45,0.10069
46,0.11439
47,0.14767
48,0.17622
49,0.13397
50,0.11931
51,0.11777
52,0.10214
53,0.11044
54,0.13387
55,0.14660
56,0.15422
57,0.12384
58,0.11873
59,0.11834
60,0.11998
61,0.12384
62,0.13976
63,0.13735
64,0.16676
65,0.14072
66,0.13349
67,0.12799
68,0.10639
69,0.11082
70,0.13436
71,0.13484
72,0.13648
73,0.12355
74,0.10629
75,0.10503
76,0.09375
77,0.09201
78,0.10407
79,0.13059
80,0.15374
81,0.11690
82,0.10204
83,0.10851
84,0.11545
85,0.10938
86,0.11507
87,0.14863
88,0.16204
89,0.11873
90,0.10918
91,0.09809
92,0.08941
93,0.11931
94,0.15123
95,0.14419
96,0.15056
97,0.13744
98,0.11497
99,0.11073
100,0.10513
101,0.11034
102,0.11208
103,0.14805
104,0.15905
105,0.12510
106,0.11265
107,0.10909
108,0.09172
109,0.10224
110,0.12818
111,0.14805
112,0.16146
113,0.14390
114,0.12895
115,0.11767
116,0.12259
117,0.12240
118,0.12741
119,0.12220
120,0.12529
121,0.11140
122,0.11159
123,0.11323
124,0.09684
125,0.09192
126,0.10976
127,0.11661
128,0.14255
129,0.13580
130,0.13243
131,0.11738
132,0.10397
133,0.10831
134,0.11343
135,0.12741
136,0.12944
137,0.10629
138,0.10417
139,0.10108
140,0.10147
141,0.10986
142,0.12133
143,0.13262
144,0.14824
145,0.11535
146,0.10156
147,0.10204
148,0.09828
149,0.10002
150,0.10552
151,0.13571
152,0.13947
153,0.12307
154,0.12423
155,0.10957
156,0.10012
157,0.10947
158,0.12529
159,0.14786
160,0.14564
161,0.11429
162,0.12133
163,0.12596
164,0.10397
165,0.10156
166,0.11757
167,0.13021
168,0.15201
169,0.11285
170,0.10629
171,0.10986
172,0.09809
173,0.09462
174,0.12191
175,0.12182
176,0.12269
177,0.09790
178,0.08661
179,0.09385
180,0.10069
181,0.09684
182,0.09471
183,0.11082
184,0.12384
185,0.09095
186,0.10475
187,0.11892
188,0.10532
189,0.10311
190,0.11709
191,0.13918
192,0.15075
193,0.11728
194,0.10639
195,0.10484
196,0.10214
197,0.10397
198,0.11198
199,0.12789
200,0.13995
201,0.12008
202,0.11478
203,0.11063
204,0.10947
205,0.11468
206,0.13175
207,0.16628
208,0.16204
209,0.14564
210,0.12751
211,0.12355
212,0.11584
213,0.11159
214,0.12809
215,0.15779
216,0.16657
217,0.12905
218,0.12606
219,0.12066
220,0.10658
221,0.10899
222,0.13175
223,0.14082
224,0.15972
225,0.13985
226,0.13976
227,0.13889
228,0.12664
229,0.12461
230,0.13744
231,0.15316
232,0.15596
233,0.11854
234,0.11902
235,0.13301
236,0.12037
237,0.10735
238,0.13040
239,0.15143
240,0.14419
241,0.11892
242,0.10658
243,0.10204
244,0.10031
245,0.09790
246,0.11526
247,0.14892
248,0.12809
249,0.11053
250,0.10214
251,0.11323
