Distance_(pixels),Gray_Value
0,0.16426
1,0.14333
2,0.12625
3,0.13137
4,0.12760
5,0.12336
6,0.13879
7,0.15693
8,0.16040
9,0.13030
10,0.12510
11,0.12259
12,0.10909
13,0.11535
14,0.13339
15,0.14419
16,0.15664
17,0.12606
18,0.12230
19,0.12973
20,0.11699
21,0.11535
22,0.13474
23,0.14950
24,0.15201
25,0.13628
26,0.13358
27,0.13050
28,0.12992
29,0.13301
30,0.13542
31,0.15095
32,0.14863
33,0.13561
34,0.13079
35,0.12490
36,0.12481
37,0.12539
38,0.13870
39,0.14786
40,0.14757
41,0.12114
42,0.12085
43,0.11719
44,0.10378
45,0.10513
46,0.11478
47,0.14554
48,0.17892
49,0.13985
50,0.12548
51,0.11883
52,0.10542
53,0.11053
54,0.13455
55,0.14333
56,0.15326
57,0.12336
58,0.11555
59,0.11400
60,0.12162
61,0.12751
62,0.13956
63,0.13995
64,0.16464
65,0.13995
66,0.12789
67,0.12645
68,0.10397
69,0.10745
70,0.12616
71,0.13339
72,0.14728
73,0.13040
74,0.10899
75,0.10503
76,0.09414
77,0.09356
78,0.10600
79,0.12529
80,0.15509
81,0.12905
82,0.10774
83,0.11121
84,0.11680
85,0.11642
86,0.11941
87,0.14632
88,0.16175
89,0.12066
90,0.10764
91,0.09925
92,0.09066
93,0.11854
94,0.14361
95,0.13860
96,0.15268
97,0.13850
98,0.11227
99,0.10725
100,0.10774
101,0.11208
102,0.11352
103,0.14786
104,0.15750
105,0.12153
106,0.10957
107,0.10272
108,0.09105
109,0.10301
110,0.13079
111,0.14149
112,0.15924
113,0.14564
114,0.13079
115,0.11420
116,0.12076
117,0.12577
118,0.13397
119,0.12182
120,0.12375
121,0.10802
122,0.11352
123,0.11343
124,0.09819
125,0.09066
126,0.10976
127,0.10745
128,0.14622
129,0.14130
130,0.13947
131,0.12635
132,0.10639
133,0.10475
134,0.11159
135,0.12423
136,0.12664
137,0.10610
138,0.10050
139,0.09732
140,0.10301
141,0.11179
142,0.12143
143,0.13407
144,0.15123
145,0.12018
146,0.10475
147,0.10571
148,0.10204
149,0.10696
150,0.11642
151,0.13976
152,0.13532
153,0.12018
154,0.12731
155,0.10918
156,0.09770
157,0.10764
158,0.12683
159,0.14410
160,0.14545
161,0.11468
162,0.11921
163,0.12712
164,0.10629
165,0.10359
166,0.12220
167,0.12654
168,0.15384
169,0.11343
170,0.10812
171,0.11478
172,0.09848
173,0.09568
174,0.12085
175,0.12876
176,0.12510
177,0.10243
178,0.08709
179,0.08835
180,0.09674
181,0.09481
182,0.09770
183,0.11333
184,0.11709
185,0.09211
186,0.10677
187,0.11950
188,0.10532
189,0.10301
190,0.11468
191,0.13706
192,0.14622
193,0.11825
194,0.11044
195,0.10426
196,0.09626
197,0.10311
198,0.11208
199,0.12664
200,0.13792
201,0.12095
202,0.11304
203,0.11236
204,0.10802
205,0.11121
206,0.13137
207,0.16165
208,0.16291
209,0.14824
210,0.13127
211,0.12365
212,0.11449
213,0.11217
214,0.12635
215,0.16213
216,0.15866
217,0.12731
218,0.12037
219,0.11998
220,0.10822
221,0.11574
222,0.13445
223,0.14313
224,0.15934
225,0.13976
226,0.13899
227,0.13985
228,0.12519
229,0.12317
230,0.13976
231,0.15548
232,0.15741
233,0.11786
234,0.12085
235,0.13860
236,0.13040
237,0.11449
238,0.13339
239,0.15789
240,0.15152
241,0.12326
242,0.10696
243,0.10407
244,0.10735
245,0.10127
246,0.11468
247,0.14477
248,0.13397
249,0.11497
250,0.10841
251,0.11584
252,0.10677
253,0.10204
254,0.12336
255,0.13551
256,0.13725
257,0.12519
258,0.11603
259,0.12375
260,0.11931
261,0.11381
262,0.12259
263,0.12712
264,0.15085
265,0.15191
266,0.13493
267,0.12269
268,0.12133
269,0.10311
270,0.10822
271,0.13108
272,0.13677
273,0.11073
274,0.09674
275,0.09028
276,0.09761
277,0.10069
278,0.10860
279,0.13301
280,0.14005
281,0.12220
282,0.11979
283,0.12375
284,0.10407
285,0.10523
286,0.12297
287,0.13966
288,0.14439
289,0.13301
290,0.12326
291,0.12047
292,0.11786
293,0.12114
294,0.12365
295,0.13272
296,0.13532
297,0.12211
298,0.11671
299,0.10995
300,0.09954
301,0.11188
302,0.13214
303,0.14892
304,0.16445
305,0.14313
306,0.12153
307,0.11574
308,0.12818
309,0.12394
310,0.11738
311,0.16098
312,0.15606
313,0.14863
314,0.12847
315,0.11246
316,0.09616
317,0.09230
318,0.11767
319,0.13426
320,0.14169
321,0.11265
322,0.10523
323,0.10475
324,0.09857
325,0.10147
326,0.12664
327,0.14082
328,0.16146
329,0.13175
330,0.12616
331,0.12703
332,0.10484
333,0.10368
334,0.13040
335,0.12568
336,0.13628
337,0.12355
338,0.11564
339,0.12384
340,0.13735
341,0.12413
342,0.11757
343,0.11844
344,0.13927
345,0.12664
346,0.11950
347,0.10716
348,0.09838
349,0.09356
350,0.12066
351,0.13571
352,0.16319
353,0.14140
354,0.12703
355,0.12066
356,0.13802
357,0.13059
358,0.12934
359,0.15143
360,0.15297
361,0.12510
362,0.12731
363,0.11825
364,0.09288
365,0.09915
366,0.11468
367,0.11593
368,0.14207
369,0.12269
370,0.11941
371,0.11661
372,0.10378
373,0.10330
374,0.11169
375,0.13214
376,0.13870
377,0.11507
378,0.12172
379,0.12654
380,0.12095
381,0.12201
382,0.12635
383,0.13484
384,0.14284
385,0.14255
386,0.14275
387,0.13706
388,0.12076
389,0.11912
390,0.11005
391,0.13465
392,0.15548
393,0.13493
394,0.13310
395,0.13571
396,0.13657
397,0.13985
398,0.16194
399,0.16850
400,0.15770
401,0.13484
402,0.11777
403,0.10860
404,0.11642
405,0.12423
406,0.14796
407,0.16088
408,0.17265
409,0.13243
410,0.12490
411,0.12442
412,0.12529
413,0.13137
414,0.14564
415,0.15008
416,0.14998
417,0.12867
418,0.11304
419,0.10561
420,0.09471
421,0.10330
422,0.11941
423,0.13918
424,0.13050
425,0.11073
426,0.10899
427,0.10301
428,0.10687
429,0.09992
430,0.12510
431,0.12394
432,0.15885
433,0.13387
434,0.11931
435,0.11545
436,0.10417
437,0.10465
438,0.13387
439,0.14699
440,0.14072
441,0.12394
442,0.13571
443,0.12191
444,0.09259
445,0.08623
446,0.10696
447,0.13426
448,0.14130
449,0.12548
450,0.11555
451,0.11786
452,0.12924
453,0.11854
454,0.11806
455,0.12191
456,0.14371
457,0.12297
458,0.11892
459,0.10986
460,0.11150
461,0.10696
462,0.13320
463,0.15239
464,0.13561
465,0.11728
466,0.11671
467,0.11458
468,0.11256
469,0.10995
470,0.11883
471,0.12413
472,0.16310
473,0.13387
474,0.12056
475,0.11989
476,0.12249
477,0.12162
478,0.13696
479,0.15644
480,0.15856
481,0.14284
482,0.13156
483,0.12683
484,0.10581
485,0.09481
486,0.10069
487,0.11121
