Distance_(pixels),Gray_Value
0,0.0980
1,0.0775
2,0.0683
3,0.0641
4,0.0686
5,0.0702
6,0.0708
7,0.0652
8,0.0660
9,0.0771
10,0.0747
11,0.0659
12,0.0527
13,0.0621
14,0.0713
15,0.0548
16,0.0544
17,0.0681
18,0.0665
19,0.0657
20,0.0662
21,0.0689
22,0.0711
23,0.0719
24,0.0702
25,0.0799
26,0.0786
27,0.0774
28,0.0822
29,0.0806
30,0.0845
31,0.0712
32,0.0694
33,0.0817
34,0.0784
35,0.0771
36,0.0748
37,0.0777
38,0.0844
39,0.0745
40,0.0656
41,0.0737
42,0.0691
43,0.0662
44,0.0621
45,0.0675
46,0.0745
47,0.0687
48,0.0733
49,0.0835
50,0.0727
51,0.0709
52,0.0670
53,0.0681
54,0.0703
55,0.0721
56,0.0694
57,0.0749
58,0.0669
59,0.0674
60,0.0745
61,0.0774
62,0.0726
63,0.0665
64,0.0683
65,0.0796
66,0.0719
67,0.0617
68,0.0523
69,0.0600
70,0.0663
71,0.0559
72,0.0620
73,0.0735
74,0.0628
75,0.0518
76,0.0454
77,0.0459
78,0.0561
79,0.0547
80,0.0655
81,0.0677
82,0.0576
83,0.0608
84,0.0618
85,0.0661
86,0.0714
87,0.0642
88,0.0639
89,0.0691
90,0.0533
91,0.0493
92,0.0519
93,0.0563
94,0.0663
95,0.0609
96,0.0655
97,0.0802
98,0.0721
99,0.0692
100,0.0684
101,0.0631
102,0.0649
103,0.0657
104,0.0641
105,0.0623
106,0.0602
107,0.0578
108,0.0507
109,0.0513
110,0.0643
111,0.0638
112,0.0669
113,0.0825
114,0.0723
115,0.0653
116,0.0702
117,0.0726
118,0.0729
119,0.0554
120,0.0510
121,0.0650
122,0.0675
123,0.0648
124,0.0566
125,0.0555
126,0.0604
127,0.0547
128,0.0608
129,0.0827
130,0.0773
131,0.0669
132,0.0587
133,0.0561
134,0.0587
135,0.0528
136,0.0448
137,0.0538
138,0.0493
139,0.0505
140,0.0555
141,0.0663
142,0.0679
143,0.0607
144,0.0600
145,0.0654
146,0.0604
147,0.0602
148,0.0584
149,0.0592
150,0.0623
151,0.0578
152,0.0567
153,0.0696
154,0.0632
155,0.0517
156,0.0478
157,0.0593
158,0.0705
159,0.0563
160,0.0551
161,0.0675
162,0.0692
163,0.0677
164,0.0642
165,0.0569
166,0.0567
167,0.0536
168,0.0546
169,0.0684
170,0.0622
171,0.0558
172,0.0480
173,0.0559
174,0.0611
175,0.0528
176,0.0491
177,0.0507
178,0.0458
179,0.0463
180,0.0505
181,0.0464
182,0.0473
183,0.0397
184,0.0407
185,0.0488
186,0.0550
187,0.0623
188,0.0635
189,0.0603
190,0.0619
191,0.0584
192,0.0573
193,0.0654
194,0.0589
195,0.0593
196,0.0584
197,0.0620
198,0.0647
199,0.0644
200,0.0617
201,0.0718
202,0.0651
203,0.0633
204,0.0580
205,0.0634
206,0.0799
207,0.0754
208,0.0711
209,0.0835
210,0.0709
211,0.0644
212,0.0689
213,0.0696
214,0.0780
215,0.0773
216,0.0783
217,0.0835
218,0.0698
219,0.0693
220,0.0710
221,0.0669
222,0.0724
223,0.0671
224,0.0768
225,0.0914
226,0.0847
227,0.0795
228,0.0790
229,0.0790
230,0.0813
231,0.0759
232,0.0719
233,0.0785
234,0.0781
235,0.0830
236,0.0796
237,0.0723
238,0.0758
239,0.0649
240,0.0628
241,0.0664
242,0.0622
243,0.0581
244,0.0540
245,0.0596
246,0.0618
247,0.0629
248,0.0647
249,0.0673
250,0.0636
251,0.0709
252,0.0705
253,0.0644
254,0.0712
255,0.0626
256,0.0612
257,0.0735
258,0.0686
259,0.0692
260,0.0708
261,0.0639
262,0.0679
263,0.0685
264,0.0720
265,0.0900
266,0.0768
267,0.0747
268,0.0684
269,0.0578
270,0.0550
271,0.0516
272,0.0566
273,0.0601
274,0.0524
275,0.0520
276,0.0531
277,0.0552
278,0.0618
279,0.0624
280,0.0667
281,0.0760
282,0.0732
283,0.0688
284,0.0606
285,0.0642
286,0.0720
287,0.0636
288,0.0657
289,0.0799
290,0.0733
291,0.0653
292,0.0710
293,0.0698
294,0.0727
295,0.0648
296,0.0682
297,0.0774
298,0.0686
299,0.0572
300,0.0559
301,0.0597
302,0.0767
303,0.0743
304,0.0763
305,0.0897
306,0.0750
307,0.0704
308,0.0773
309,0.0744
310,0.0753
311,0.0650
312,0.0722
313,0.0841
314,0.0814
315,0.0725
316,0.0580
317,0.0541
318,0.0609
319,0.0570
320,0.0570
321,0.0659
322,0.0609
323,0.0587
324,0.0571
325,0.0609
326,0.0687
327,0.0665
328,0.0671
329,0.0852
330,0.0812
331,0.0685
332,0.0640
333,0.0682
334,0.0715
335,0.0635
336,0.0589
337,0.0673
338,0.0678
339,0.0719
340,0.0780
341,0.0723
342,0.0653
343,0.0591
344,0.0622
345,0.0654
346,0.0574
347,0.0574
348,0.0570
349,0.0577
350,0.0633
351,0.0640
352,0.0695
353,0.0799
354,0.0727
355,0.0767
356,0.0802
357,0.0808
358,0.0856
359,0.0747
360,0.0775
361,0.0817
362,0.0709
363,0.0606
364,0.0475
365,0.0516
366,0.0559
367,0.0509
368,0.0577
369,0.0765
370,0.0684
371,0.0605
372,0.0610
373,0.0559
374,0.0597
375,0.0622
376,0.0734
377,0.0774
378,0.0790
379,0.0731
380,0.0686
381,0.0668
382,0.0664
383,0.0583
384,0.0632
385,0.0816
386,0.0901
387,0.0888
388,0.0819
389,0.0717
390,0.0701
391,0.0598
392,0.0663
393,0.0766
394,0.0793
395,0.0833
396,0.0913
397,0.1020
398,0.1053
399,0.0870
400,0.0804
401,0.0866
402,0.0739
403,0.0648
404,0.0711
405,0.0825
406,0.0924
407,0.0943
408,0.0925
409,0.0994
410,0.0882
411,0.0747
412,0.0680
413,0.0733
414,0.0796
415,0.0693
416,0.0709
417,0.0827
418,0.0683
419,0.0603
420,0.0612
421,0.0642
422,0.0709
423,0.0624
424,0.0567
425,0.0549
426,0.0541
427,0.0608
428,0.0625
429,0.0632
430,0.0626
431,0.0581
432,0.0648
433,0.0856
434,0.0757
435,0.0635
436,0.0613
437,0.0668
438,0.0681
439,0.0595
440,0.0626
441,0.0711
442,0.0736
443,0.0653
444,0.0494
445,0.0499
446,0.0512
447,0.0485
448,0.0580
449,0.0663
450,0.0642
451,0.0711
452,0.0771
453,0.0778
