Distance_(pixels),Gray_Value
0,0.16368
1,0.14072
2,0.12722
3,0.13079
4,0.12326
5,0.11883
6,0.13320
7,0.15162
8,0.15123
9,0.12654
10,0.12307
11,0.11912
12,0.10745
13,0.12056
14,0.12963
15,0.14005
16,0.15336
17,0.12876
18,0.11921
19,0.13059
20,0.11410
21,0.11400
22,0.12596
23,0.14275
24,0.14873
25,0.13841
26,0.13455
27,0.13493
28,0.13156
29,0.12780
30,0.13600
31,0.15384
32,0.14178
33,0.13455
34,0.13272
35,0.12191
36,0.12423
37,0.12654
38,0.13397
39,0.14439
40,0.14516
41,0.12037
42,0.11786
43,0.11236
44,0.09934
45,0.10137
46,0.11420
47,0.14265
48,0.16946
49,0.13387
50,0.11728
51,0.11507
52,0.10031
53,0.10667
54,0.12818
55,0.14371
56,0.15114
57,0.11989
58,0.12066
59,0.11854
60,0.12008
61,0.12847
62,0.13956
63,0.13667
64,0.17052
65,0.13937
66,0.13291
67,0.12828
68,0.10552
69,0.10735
70,0.13648
71,0.13580
72,0.14217
73,0.12963
74,0.10774
75,0.10137
76,0.09115
77,0.09307
78,0.10725
79,0.13243
80,0.15037
81,0.12249
82,0.10224
83,0.10851
84,0.11497
85,0.11478
86,0.12085
87,0.14419
88,0.15799
89,0.11815
90,0.10831
91,0.09867
92,0.09095
93,0.11671
94,0.14738
95,0.13918
96,0.14689
97,0.14053
98,0.11834
99,0.11535
100,0.10658
101,0.10677
102,0.10909
103,0.14622
104,0.15239
105,0.12085
106,0.11294
107,0.10735
108,0.09230
109,0.10118
110,0.12915
111,0.14554
112,0.15249
113,0.13715
114,0.12355
115,0.11159
116,0.11497
117,0.12114
118,0.12731
119,0.11622
120,0.12269
121,0.11256
122,0.11294
123,0.11622
124,0.10272
125,0.09066
126,0.10793
127,0.11429
128,0.14313
129,0.13841
130,0.13792
131,0.12539
132,0.10957
133,0.10610
134,0.11236
135,0.12809
136,0.12944
137,0.10397
138,0.10176
139,0.10176
140,0.10426
141,0.10976
142,0.11806
143,0.13387
144,0.14988
145,0.12432
146,0.10388
147,0.10282
148,0.09867
149,0.10455
150,0.11333
151,0.13802
152,0.12587
153,0.11902
154,0.12529
155,0.10745
156,0.10069
157,0.10841
158,0.12297
159,0.13956
160,0.14352
161,0.11873
162,0.12172
163,0.13156
164,0.10600
165,0.10204
166,0.12056
167,0.12394
168,0.15336
169,0.11015
170,0.10995
171,0.11179
172,0.09558
173,0.09279
174,0.12365
175,0.12731
176,0.11709
177,0.09674
178,0.08777
179,0.09057
180,0.09616
181,0.09134
182,0.09664
183,0.11140
184,0.11950
185,0.09047
186,0.10745
187,0.12269
188,0.10793
189,0.10378
190,0.11449
191,0.13571
192,0.14632
193,0.11854
194,0.10928
195,0.10291
196,0.09761
197,0.10156
198,0.10812
199,0.12249
200,0.13513
201,0.11834
202,0.11690
203,0.11333
204,0.10880
205,0.11179
206,0.12915
207,0.15856
208,0.15905
209,0.14525
210,0.12963
211,0.11921
212,0.11111
213,0.10822
214,0.12510
215,0.15992
216,0.16358
217,0.13040
218,0.12558
219,0.12423
220,0.11015
221,0.11478
222,0.13551
223,0.14535
224,0.15577
225,0.13619
226,0.13735
227,0.13551
228,0.12365
229,0.12288
230,0.13860
231,0.15316
232,0.15992
233,0.11806
234,0.12076
235,0.13706
236,0.12240
237,0.11044
238,0.13040
239,0.15856
240,0.14390
241,0.11574
242,0.10571
243,0.10494
244,0.10889
245,0.10272
246,0.11603
247,0.14776
248,0.13185
249,0.11690
250,0.10629
251,0.11256
252,0.10465
253,0.09664
254,0.11921
255,0.13600
256,0.14632
257,0.13185
258,0.11921
259,0.12654
260,0.11757
261,0.11256
262,0.11767
263,0.12481
264,0.14545
265,0.14699
266,0.13281
267,0.12336
268,0.12432
269,0.10648
270,0.10754
271,0.13281
272,0.13214
273,0.11179
274,0.09877
275,0.09770
276,0.10021
277,0.09809
278,0.10648
279,0.13137
280,0.13802
281,0.11777
282,0.11343
283,0.11844
284,0.09973
285,0.10426
286,0.12124
287,0.13445
288,0.14043
289,0.13088
290,0.12500
291,0.12047
292,0.11632
293,0.11767
294,0.12269
295,0.13850
296,0.13416
297,0.12201
298,0.12085
299,0.10928
300,0.09867
301,0.11314
302,0.13966
303,0.15365
304,0.16300
305,0.14130
306,0.12895
307,0.11979
308,0.12953
309,0.12789
310,0.12018
311,0.15384
312,0.15721
313,0.14718
314,0.13426
315,0.12047
316,0.10098
317,0.09433
318,0.11748
319,0.13696
320,0.14632
321,0.11873
322,0.11362
323,0.10494
324,0.10233
325,0.10204
326,0.12577
327,0.14082
328,0.15635
329,0.13079
330,0.12510
331,0.12596
332,0.10166
333,0.10002
334,0.12587
335,0.12548
336,0.13706
337,0.12568
338,0.11429
339,0.12461
340,0.13320
341,0.12269
342,0.11661
343,0.11863
344,0.13513
345,0.12375
346,0.11661
347,0.10677
348,0.09742
349,0.09221
350,0.11352
351,0.12944
352,0.15596
353,0.13754
354,0.11352
355,0.11535
356,0.14034
357,0.13272
358,0.12741
359,0.15760
360,0.15278
361,0.12539
362,0.12606
363,0.12269
364,0.09221
365,0.09587
366,0.11796
367,0.12037
368,0.14660
369,0.12365
370,0.12317
371,0.11603
372,0.10291
373,0.10600
374,0.11130
375,0.13156
376,0.14458
377,0.11873
378,0.12182
379,0.12857
380,0.12008
381,0.12095
382,0.12799
383,0.13011
384,0.14275
385,0.14458
386,0.14091
387,0.13561
388,0.12249
389,0.11786
390,0.10841
391,0.12857
392,0.15770
393,0.13503
394,0.13349
395,0.13927
396,0.14178
397,0.14545
398,0.16889
399,0.17024
400,0.16001
401,0.13407
402,0.12114
403,0.11468
404,0.11555
405,0.12809
406,0.14680
407,0.16252
408,0.17284
409,0.13358
410,0.13358
411,0.12751
412,0.12355
413,0.13262
414,0.14516
415,0.14660
416,0.15085
417,0.12953
418,0.11535
419,0.10716
420,0.09375
421,0.09780
422,0.11198
423,0.13860
424,0.12982
425,0.10542
426,0.10484
427,0.10320
428,0.10764
429,0.10021
430,0.12442
431,0.12539
432,0.16146
433,0.13368
434,0.11902
435,0.11642
436,0.10243
437,0.10677
438,0.13407
439,0.14072
440,0.14198
441,0.12510
442,0.13503
443,0.12269
444,0.08845
445,0.08546
446,0.11314
447,0.13368
448,0.14313
449,0.12278
450,0.12153
451,0.12375
452,0.13474
453,0.12114
454,0.11671
455,0.12731
456,0.14718
457,0.11806
458,0.11815
459,0.11468
460,0.11034
461,0.10282
462,0.13040
463,0.14834
464,0.14313
465,0.11564
466,0.11314
467,0.11333
468,0.11063
469,0.10841
470,0.11989
471,0.12326
472,0.16107
473,0.13899
474,0.12288
475,0.11738
476,0.12182
477,0.12191
478,0.13349
479,0.15808
480,0.15432
481,0.14140
482,0.13407
483,0.12857
484,0.10581
485,0.09867
486,0.10272
487,0.10503
488,0.14381
489,0.12143
490,0.10224
491,0.09298
492,0.10561
493,0.10532
494,0.10909
495,0.12577
496,0.14410
497,0.13098
498,0.11690
499,0.11767
500,0.12963
501,0.13899
502,0.13976
503,0.14603
504,0.16889
505,0.13291
506,0.13252
507,0.13387
508,0.11535
509,0.11651
510,0.14005
511,0.15606
512,0.13445
513,0.10465
514,0.09153
515,0.09327
516,0.09684
517,0.08970
518,0.09057
519,0.09838
520,0.12452
521,0.11140
522,0.10696
523,0.10041
524,0.09896
525,0.10118
526,0.11690
527,0.14911
528,0.13976
529,0.10648
530,0.09307
531,0.11333
532,0.12278
533,0.10918
534,0.10774
535,0.12085
536,0.14005
537,0.11458
538,0.11111
539,0.11169
540,0.10909
541,0.11314
542,0.13127
543,0.14796
544,0.13918
545,0.12191
546,0.11777
547,0.11651
548,0.10976
549,0.10600
550,0.09443
551,0.12905
552,0.14236
553,0.11265
554,0.09279
555,0.09008
556,0.10272
557,0.11478
558,0.12481
559,0.14236
560,0.15451
561,0.13802
562,0.13426
563,0.12616
564,0.11535
565,0.10774
566,0.12249
567,0.14188
568,0.13358
569,0.10831
570,0.10436
571,0.11256
572,0.09905
573,0.08555
574,0.10340
575,0.11101
576,0.13628
577,0.12124
578,0.11535
579,0.10127
580,0.11015
581,0.11159
582,0.10407
583,0.12500
584,0.12124
585,0.10783
586,0.10484
587,0.09452
588,0.11005
589,0.11892
590,0.12539
591,0.13011
592,0.15567
593,0.11748
594,0.10089
595,0.10330
596,0.10388
597,0.10378
598,0.09655
599,0.11294
600,0.14612
601,0.12731
602,0.13378
603,0.13108
604,0.11410
605,0.12481
606,0.12568
607,0.11883
608,0.13079
609,0.12847
610,0.12481
611,0.11786
612,0.11526
613,0.11622
614,0.11256
615,0.12365
616,0.13378
617,0.11487
618,0.12076
619,0.11970
620,0.10494
621,0.10330
622,0.12519
623,0.14603
624,0.14024
625,0.11593
626,0.11535
627,0.12625
628,0.11719
629,0.11613
630,0.11603
631,0.12760
632,0.11555
633,0.10716
634,0.10368
635,0.10311
636,0.10282
637,0.10089
638,0.12404
639,0.13137
640,0.13513
641,0.12838
642,0.12047
643,0.11372
644,0.10590
645,0.11073
646,0.12915
647,0.15490
648,0.15615
649,0.12384
650,0.11806
651,0.11314
652,0.10696
653,0.11806
654,0.13522
655,0.14525
656,0.15529
657,0.11950
658,0.12876
659,0.11806
660,0.10253
661,0.11198
662,0.13860
663,0.14583
664,0.13657
665,0.11024
666,0.10938
667,0.11082
668,0.09549
669,0.09221
670,0.11198
671,0.13812
672,0.16493
673,0.12162
674,0.09307
675,0.09404
676,0.09867
677,0.10754
678,0.11391
679,0.12944
680,0.15201
681,0.12799
682,0.11690
683,0.10282
684,0.09732
685,0.11208
686,0.12616
687,0.14738
688,0.15490
689,0.13561
690,0.10995
691,0.10455
692,0.09057
693,0.09462
694,0.10947
695,0.13358
696,0.15625
697,0.14149
698,0.14169
699,0.13358
700,0.12259
701,0.12182
702,0.14198
703,0.14969
704,0.16532
705,0.13773
706,0.10716
707,0.10658
708,0.11391
709,0.10330
710,0.12780
711,0.14738
712,0.15152
713,0.13166
714,0.11921
715,0.10745
716,0.10050
717,0.10060
718,0.11757
719,0.12519
720,0.15615
721,0.14014
722,0.11825
723,0.10938
724,0.10619
725,0.12114
726,0.13995
727,0.14043
728,0.13677
729,0.11844
730,0.10166
731,0.11169
732,0.11728
733,0.11902
734,0.12664
735,0.13648
736,0.12789
737,0.10822
738,0.11400
739,0.12413
740,0.12095
741,0.11757
742,0.12162
743,0.12683
744,0.12394
745,0.12452
746,0.11188
747,0.10764
748,0.10918
749,0.10118
750,0.10812
751,0.13301
752,0.13291
753,0.10938
754,0.11053
755,0.11671
756,0.10899
757,0.10127
758,0.11082
759,0.11458
760,0.14815
761,0.12133
762,0.12654
763,0.11314
764,0.10147
765,0.10060
766,0.12240
767,0.12828
768,0.14911
769,0.13040
770,0.12326
771,0.11834
772,0.10947
773,0.11593
774,0.11757
775,0.13937
776,0.17679
777,0.13204
778,0.13571
779,0.12905
780,0.12114
781,0.12924
782,0.14641
783,0.15992
784,0.14815
785,0.11323
786,0.11429
787,0.12201
788,0.11227
789,0.11478
790,0.12973
791,0.14651
792,0.15413
793,0.12211
794,0.11535
795,0.10928
796,0.10571
797,0.12240
798,0.13445
799,0.13985
800,0.16599
801,0.12269
802,0.10542
803,0.10291
804,0.11931
805,0.11333
806,0.11507
807,0.12876
808,0.15972
809,0.13484
810,0.11507
811,0.11825
812,0.12375
813,0.11651
814,0.11844
815,0.14188
816,0.15982
817,0.12461
818,0.12577
819,0.13204
820,0.11632
821,0.12471
822,0.14062
823,0.14390
824,0.13522
825,0.12153
826,0.11082
827,0.11439
828,0.12259
829,0.10407
830,0.11593
831,0.13889
832,0.16975
833,0.13831
834,0.12027
835,0.11593
836,0.12172
837,0.12568
838,0.14853
839,0.14998
840,0.14757
841,0.13002
842,0.12500
843,0.11323
844,0.09742
845,0.09520
846,0.10523
847,0.11863
848,0.11979
849,0.10484
850,0.10012
851,0.10349
852,0.10851
853,0.10368
854,0.09684
855,0.11970
856,0.11487
857,0.10359
858,0.10802
859,0.09394
860,0.08661
861,0.08816
862,0.11680
863,0.14198
864,0.12731
865,0.10561
866,0.11044
867,0.10909
868,0.09780
869,0.09423
870,0.09240
871,0.10995
872,0.13754
873,0.11169
874,0.11372
875,0.10359
876,0.09963
877,0.10378
878,0.11092
879,0.11526
880,0.11912
881,0.10909
882,0.10349
883,0.10359
884,0.12249
885,0.11728
886,0.12481
887,0.14477
888,0.15239
889,0.12500
890,0.13301
891,0.14091
892,0.12307
893,0.10841
894,0.12326
895,0.15017
896,0.13407
897,0.12297
898,0.10802
899,0.09095
900,0.09375
901,0.10388
902,0.11497
903,0.13455
904,0.14130
905,0.12818
906,0.12220
907,0.11516
908,0.10561
909,0.11661
910,0.11970
911,0.12529
912,0.13956
913,0.11632
914,0.11516
915,0.10802
916,0.09905
917,0.10031
918,0.11352
919,0.13812
920,0.15336
921,0.12297
922,0.11671
923,0.12973
924,0.11169
925,0.09934
926,0.10301
927,0.11950
928,0.12645
929,0.11757
930,0.11998
931,0.12288
932,0.11584
933,0.10378
934,0.12481
935,0.14014
936,0.14130
937,0.12317
938,0.12008
939,0.10648
940,0.09500
941,0.08835
942,0.09346
943,0.11468
944,0.14091
945,0.12413
946,0.11121
947,0.10687
948,0.11921
949,0.12404
950,0.12230
951,0.13291
952,0.13021
953,0.10446
954,0.10060
955,0.10696
956,0.10995
957,0.10301
958,0.10397
959,0.11844
960,0.14419
961,0.12857
962,0.11709
963,0.11420
964,0.11970
965,0.11400
966,0.10947
967,0.10986
968,0.13937
969,0.11815
970,0.11352
971,0.11719
972,0.10098
973,0.11101
974,0.12413
975,0.14439
976,0.16184
977,0.10783
978,0.11892
979,0.12568
980,0.12018
981,0.11863
982,0.14709
983,0.14246
984,0.16628
985,0.13609
986,0.13619
987,0.13908
988,0.12664
989,0.12770
990,0.15268
991,0.17930
992,0.17689
993,0.15866
994,0.14005
995,0.12973
996,0.11449
997,0.10523
998,0.12857
999,0.14796
1000,0.15963
1001,0.11979
1002,0.11410
1003,0.12211
