Distance_(pixels),Gray_Value
0,0.0162
1,0.0054
2,0.0054
3,0.0000
4,0.0041
5,0.0027
6,0.0000
7,0.0000
8,0.0027
9,0.0027
10,0.0122
11,0.0149
12,0.0149
13,0.0041
14,0.0081
15,0.0095
16,0.0108
17,0.0149
18,0.0162
19,0.0108
20,0.0135
21,0.0297
22,0.0297
23,0.0216
24,0.0081
25,0.0095
26,0.0149
27,0.0243
28,0.0203
29,0.0122
30,0.0108
31,0.0068
32,0.0122
33,0.0189
34,0.0162
35,0.0135
36,0.0095
37,0.0027
38,0.0027
39,0.0081
40,0.0000
41,0.0027
42,0.0095
43,0.0135
44,0.0162
45,0.0162
46,0.0203
47,0.0189
48,0.0176
49,0.0311
50,0.0284
51,0.0270
52,0.0284
53,0.0176
54,0.0162
55,0.0135
56,0.0068
57,0.0135
58,0.0189
59,0.0149
60,0.0108
61,0.0068
62,0.0081
63,0.0027
64,0.0108
65,0.0135
66,0.0095
67,0.0054
68,0.0054
69,0.0095
70,0.0108
71,0.0095
72,0.0108
73,0.0149
74,0.0095
75,0.0081
76,0.0041
77,0.0041
78,0.0000
79,0.0000
80,0.0027
81,0.0081
82,0.0068
83,0.0000
84,0.0054
85,0.0054
86,0.0041
87,0.0000
88,0.0041
89,0.0027
90,0.0081
91,0.0000
92,0.0014
93,0.0041
94,0.0054
95,0.0027
96,0.0000
97,0.0027
98,0.0095
99,0.0081
100,0.0068
101,0.0027
102,0.0000
103,0.0014
104,0.0027
105,0.0014
106,0.0068
107,0.0189
108,0.0243
109,0.0216
110,0.0108
111,0.0108
112,0.0135
113,0.0189
114,0.0081
115,0.0189
116,0.0270
117,0.0270
118,0.0243
119,0.0216
120,0.0257
121,0.0216
122,0.0216
123,0.0257
124,0.0203
125,0.0149
126,0.0081
127,0.0068
128,0.0122
129,0.0135
130,0.0230
131,0.0243
132,0.0216
133,0.0068
134,0.0122
135,0.0149
136,0.0081
137,0.0122
138,0.0162
139,0.0095
140,0.0135
141,0.0176
142,0.0149
143,0.0095
144,0.0135
145,0.0162
146,0.0135
147,0.0122
148,0.0149
149,0.0149
150,0.0230
151,0.0149
152,0.0149
153,0.0108
154,0.0108
155,0.0095
156,0.0068
157,0.0041
158,0.0014
159,0.0041
160,0.0014
161,0.0054
162,0.0014
163,0.0000
164,0.0000
165,0.0054
166,0.0027
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0014
173,0.0054
174,0.0095
175,0.0068
176,0.0081
177,0.0122
178,0.0068
179,0.0068
180,0.0095
181,0.0068
182,0.0081
183,0.0081
184,0.0041
185,0.0027
186,0.0027
187,0.0108
188,0.0095
189,0.0095
190,0.0108
191,0.0068
192,0.0108
193,0.0189
194,0.0149
195,0.0149
196,0.0216
197,0.0203
198,0.0230
199,0.0162
200,0.0135
201,0.0135
202,0.0122
203,0.0081
204,0.0068
205,0.0135
206,0.0149
207,0.0122
208,0.0135
209,0.0122
210,0.0149
211,0.0108
212,0.0122
213,0.0162
214,0.0162
215,0.0122
216,0.0068
217,0.0068
218,0.0027
