Distance_(pixels),Gray_Value
0,0.0226
1,0.0125
2,0.0088
3,0.0038
4,0.0063
5,0.0025
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0088
11,0.0113
12,0.0075
13,0.0050
14,0.0125
15,0.0113
16,0.0088
17,0.0150
18,0.0150
19,0.0138
20,0.0213
21,0.0263
22,0.0213
23,0.0138
24,0.0100
25,0.0075
26,0.0113
27,0.0213
28,0.0213
29,0.0150
30,0.0163
31,0.0113
32,0.0150
33,0.0188
34,0.0138
35,0.0100
36,0.0088
37,0.0025
38,0.0025
39,0.0050
40,0.0000
41,0.0050
42,0.0075
43,0.0125
44,0.0138
45,0.0125
46,0.0176
47,0.0138
48,0.0213
49,0.0351
50,0.0301
51,0.0213
52,0.0263
53,0.0251
54,0.0176
55,0.0113
56,0.0125
57,0.0213
58,0.0201
59,0.0125
60,0.0138
61,0.0100
62,0.0050
63,0.0025
64,0.0113
65,0.0113
66,0.0113
67,0.0025
68,0.0050
69,0.0088
70,0.0125
71,0.0100
72,0.0063
73,0.0038
74,0.0025
75,0.0063
76,0.0038
77,0.0038
78,0.0063
79,0.0013
80,0.0050
81,0.0138
82,0.0063
83,0.0000
84,0.0038
85,0.0063
86,0.0063
87,0.0100
88,0.0113
89,0.0013
90,0.0000
91,0.0000
92,0.0025
93,0.0063
94,0.0063
95,0.0038
96,0.0000
97,0.0038
98,0.0088
99,0.0063
100,0.0050
101,0.0025
102,0.0075
103,0.0125
104,0.0138
105,0.0100
106,0.0113
107,0.0213
108,0.0226
109,0.0201
110,0.0125
111,0.0113
112,0.0125
113,0.0163
114,0.0100
115,0.0150
116,0.0201
117,0.0188
118,0.0226
119,0.0238
120,0.0251
121,0.0276
122,0.0313
123,0.0301
124,0.0213
125,0.0138
126,0.0138
127,0.0125
128,0.0113
129,0.0176
130,0.0176
131,0.0176
132,0.0075
133,0.0088
134,0.0150
135,0.0138
136,0.0100
137,0.0125
138,0.0100
139,0.0050
140,0.0050
141,0.0088
142,0.0075
143,0.0075
144,0.0150
145,0.0188
146,0.0150
147,0.0088
148,0.0088
149,0.0113
150,0.0100
151,0.0125
152,0.0138
153,0.0138
154,0.0113
155,0.0088
156,0.0063
157,0.0038
158,0.0013
159,0.0025
160,0.0063
161,0.0100
162,0.0063
163,0.0025
164,0.0000
165,0.0050
166,0.0063
167,0.0025
168,0.0000
169,0.0013
170,0.0025
171,0.0000
172,0.0000
173,0.0000
174,0.0063
175,0.0025
176,0.0050
177,0.0025
178,0.0038
179,0.0038
180,0.0050
181,0.0063
182,0.0063
183,0.0063
184,0.0025
185,0.0038
186,0.0063
187,0.0113
188,0.0125
189,0.0125
190,0.0113
191,0.0088
192,0.0063
193,0.0100
194,0.0088
195,0.0125
196,0.0075
197,0.0088
198,0.0176
199,0.0100
200,0.0050
201,0.0038
202,0.0100
203,0.0063
204,0.0063
205,0.0150
206,0.0150
207,0.0088
208,0.0088
209,0.0038
210,0.0050
211,0.0025
212,0.0075
213,0.0125
214,0.0188
215,0.0163
216,0.0075
217,0.0075
218,0.0063
219,0.0038
220,0.0038
221,0.0038
222,0.0050
223,0.0050
224,0.0125
225,0.0190
226,0.0177
227,0.0176
228,0.0201
229,0.0150
230,0.0113
231,0.0113
232,0.0088
233,0.0100
234,0.0088
235,0.0075
236,0.0050
237,0.0025
238,0.0038
239,0.0038
240,0.0063
241,0.0201
242,0.0226
243,0.0176
