Distance_(pixels),Gray_Value
0,0.0275
1,0.0072
2,0.0058
3,0.0000
4,0.0029
5,0.0029
6,0.0000
7,0.0000
8,0.0043
9,0.0058
10,0.0145
11,0.0159
12,0.0145
13,0.0116
14,0.0116
15,0.0072
16,0.0087
17,0.0174
18,0.0203
19,0.0159
20,0.0145
21,0.0231
22,0.0289
23,0.0231
24,0.0087
25,0.0116
26,0.0101
27,0.0217
28,0.0174
29,0.0145
30,0.0130
31,0.0087
32,0.0072
33,0.0130
34,0.0116
35,0.0087
36,0.0072
37,0.0029
38,0.0029
39,0.0058
40,0.0000
41,0.0043
42,0.0116
43,0.0116
44,0.0058
45,0.0101
46,0.0174
47,0.0130
48,0.0174
49,0.0318
50,0.0217
51,0.0203
52,0.0289
53,0.0174
54,0.0101
55,0.0043
56,0.0072
57,0.0188
58,0.0145
59,0.0087
60,0.0029
61,0.0058
62,0.0072
63,0.0043
64,0.0043
65,0.0072
66,0.0101
67,0.0043
68,0.0000
69,0.0014
70,0.0087
71,0.0014
72,0.0014
73,0.0072
74,0.0000
75,0.0000
76,0.0000
77,0.0058
78,0.0072
79,0.0014
80,0.0000
81,0.0029
82,0.0029
83,0.0029
84,0.0014
85,0.0029
86,0.0029
87,0.0014
88,0.0014
89,0.0000
90,0.0029
91,0.0000
92,0.0014
93,0.0043
94,0.0029
95,0.0000
96,0.0014
97,0.0058
98,0.0043
99,0.0029
100,0.0043
101,0.0029
102,0.0000
103,0.0058
104,0.0058
105,0.0029
106,0.0072
107,0.0145
108,0.0159
109,0.0087
110,0.0087
111,0.0116
112,0.0130
113,0.0101
114,0.0058
115,0.0145
116,0.0231
117,0.0217
118,0.0188
119,0.0130
120,0.0116
121,0.0145
122,0.0159
123,0.0203
124,0.0174
125,0.0174
126,0.0145
127,0.0087
128,0.0087
129,0.0159
130,0.0145
131,0.0116
132,0.0072
133,0.0058
134,0.0087
135,0.0043
136,0.0000
137,0.0043
138,0.0058
139,0.0058
140,0.0058
141,0.0101
142,0.0101
143,0.0014
144,0.0043
145,0.0130
146,0.0072
147,0.0072
148,0.0029
149,0.0029
150,0.0029
151,0.0043
152,0.0072
153,0.0072
154,0.0072
155,0.0058
156,0.0058
157,0.0043
158,0.0014
159,0.0043
160,0.0087
161,0.0072
162,0.0029
163,0.0000
164,0.0029
165,0.0058
166,0.0072
167,0.0029
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0000
173,0.0014
174,0.0058
175,0.0029
176,0.0000
177,0.0029
178,0.0000
179,0.0043
180,0.0072
181,0.0043
