Distance_(pixels),Gray_Value
0,0.0113
1,0.0075
2,0.0075
3,0.0050
4,0.0038
5,0.0025
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0075
11,0.0165
12,0.0115
13,0.0050
14,0.0000
15,0.0075
16,0.0125
17,0.0113
18,0.0100
19,0.0125
20,0.0176
21,0.0201
22,0.0138
23,0.0050
24,0.0025
25,0.0088
26,0.0163
27,0.0301
28,0.0276
29,0.0163
30,0.0163
31,0.0088
32,0.0100
33,0.0150
34,0.0113
35,0.0075
36,0.0038
37,0.0025
38,0.0025
39,0.0025
40,0.0000
41,0.0050
42,0.0063
43,0.0100
44,0.0113
45,0.0125
46,0.0163
47,0.0163
48,0.0188
49,0.0376
50,0.0339
51,0.0263
52,0.0315
53,0.0176
54,0.0163
55,0.0176
56,0.0188
57,0.0251
58,0.0263
59,0.0176
60,0.0088
61,0.0088
62,0.0088
63,0.0038
64,0.0088
65,0.0100
66,0.0088
67,0.0075
68,0.0050
69,0.0038
70,0.0050
71,0.0038
72,0.0115
73,0.0152
74,0.0038
75,0.0075
76,0.0075
77,0.0063
78,0.0088
79,0.0025
80,0.0050
81,0.0063
82,0.0063
83,0.0000
84,0.0050
85,0.0075
86,0.0075
87,0.0063
88,0.0063
89,0.0038
90,0.0050
91,0.0000
92,0.0038
93,0.0038
94,0.0063
95,0.0025
96,0.0000
97,0.0050
98,0.0050
99,0.0050
100,0.0025
101,0.0025
102,0.0050
103,0.0100
104,0.0163
105,0.0113
106,0.0075
107,0.0176
108,0.0188
109,0.0163
110,0.0100
111,0.0113
112,0.0125
113,0.0138
114,0.0075
115,0.0075
116,0.0163
117,0.0201
118,0.0226
119,0.0188
120,0.0113
121,0.0150
122,0.0201
123,0.0276
124,0.0226
125,0.0276
126,0.0253
127,0.0163
128,0.0125
129,0.0150
130,0.0150
131,0.0150
132,0.0100
133,0.0025
134,0.0038
135,0.0113
136,0.0113
137,0.0125
138,0.0163
139,0.0063
140,0.0075
141,0.0113
142,0.0100
143,0.0050
144,0.0138
145,0.0188
146,0.0150
147,0.0100
148,0.0100
149,0.0100
150,0.0163
151,0.0100
152,0.0050
153,0.0025
154,0.0050
155,0.0063
156,0.0050
157,0.0038
158,0.0025
159,0.0038
160,0.0088
161,0.0113
162,0.0063
163,0.0025
164,0.0000
165,0.0025
166,0.0038
167,0.0025
168,0.0000
169,0.0000
170,0.0013
171,0.0025
172,0.0013
173,0.0038
174,0.0088
175,0.0038
176,0.0075
177,0.0050
178,0.0025
179,0.0038
180,0.0038
181,0.0063
182,0.0100
183,0.0075
184,0.0038
185,0.0088
186,0.0138
187,0.0188
188,0.0150
189,0.0100
190,0.0100
191,0.0088
192,0.0075
193,0.0075
194,0.0150
195,0.0150
196,0.0163
197,0.0163
198,0.0201
199,0.0125
200,0.0063
201,0.0100
202,0.0138
203,0.0075
204,0.0050
205,0.0113
206,0.0113
207,0.0050
208,0.0125
209,0.0100
210,0.0113
211,0.0088
212,0.0088
213,0.0163
214,0.0263
215,0.0150
216,0.0088
217,0.0125
218,0.0100
219,0.0088
220,0.0075
221,0.0050
222,0.0063
223,0.0063
224,0.0063
225,0.0075
226,0.0025
227,0.0075
228,0.0038
229,0.0113
230,0.0150
231,0.0150
232,0.0075
233,0.0100
234,0.0075
235,0.0100
236,0.0113
237,0.0063
238,0.0100
239,0.0075
240,0.0113
241,0.0201
242,0.0213
243,0.0138
244,0.0125
245,0.0125
246,0.0088
247,0.0038
248,0.0038
249,0.0088
250,0.0100
251,0.0063
252,0.0050
253,0.0088
254,0.0100
255,0.0125
256,0.0188
257,0.0226
258,0.0188
259,0.0075
260,0.0138
261,0.0050
262,0.0050
263,0.0050
264,0.0050
265,0.0125
266,0.0125
267,0.0025
268,0.0075
269,0.0100
270,0.0113
271,0.0075
272,0.0138
273,0.0163
274,0.0088
275,0.0150
276,0.0113
277,0.0100
278,0.0100
279,0.0050
280,0.0050
281,0.0075
282,0.0075
283,0.0050
284,0.0050
285,0.0063
286,0.0050
287,0.0125
288,0.0088
289,0.0075
290,0.0063
291,0.0063
292,0.0063
293,0.0063
294,0.0063
295,0.0038
296,0.0075
297,0.0050
298,0.0025
299,0.0063
300,0.0125
301,0.0176
302,0.0125
303,0.0138
304,0.0100
305,0.0063
306,0.0038
307,0.0063
308,0.0088
309,0.0013
310,0.0025
311,0.0025
312,0.0025
313,0.0000
314,0.0038
315,0.0088
316,0.0063
317,0.0075
318,0.0088
319,0.0125
320,0.0163
321,0.0201
322,0.0138
323,0.0100
324,0.0050
325,0.0050
326,0.0088
327,0.0050
328,0.0100
329,0.0100
330,0.0100
331,0.0125
332,0.0150
333,0.0100
334,0.0113
335,0.0075
336,0.0176
337,0.0125
338,0.0125
339,0.0138
340,0.0163
341,0.0176
342,0.0201
343,0.0163
344,0.0163
345,0.0113
346,0.0075
347,0.0025
348,0.0000
349,0.0038
350,0.0050
351,0.0038
352,0.0050
353,0.0038
354,0.0063
355,0.0050
356,0.0075
357,0.0125
358,0.0100
359,0.0125
360,0.0238
361,0.0326
362,0.0301
363,0.0376
364,0.0378
365,0.0313
366,0.0288
367,0.0226
368,0.0188
369,0.0313
370,0.0213
371,0.0276
372,0.0251
373,0.0213
374,0.0138
375,0.0050
376,0.0025
377,0.0025
378,0.0038
379,0.0038
380,0.0063
381,0.0050
382,0.0063
383,0.0088
384,0.0113
385,0.0125
386,0.0113
387,0.0050
388,0.0075
389,0.0113
390,0.0251
391,0.0213
392,0.0263
393,0.0188
394,0.0125
395,0.0138
396,0.0113
397,0.0125
398,0.0177
399,0.0100
400,0.0125
401,0.0201
402,0.0226
403,0.0226
404,0.0213
405,0.0176
406,0.0125
407,0.0013
408,0.0050
409,0.0176
410,0.0201
411,0.0201
412,0.0138
413,0.0075
414,0.0063
415,0.0075
416,0.0138
417,0.0290
418,0.0288
419,0.0426
420,0.0313
421,0.0263
422,0.0263
423,0.0213
424,0.0263
425,0.0313
426,0.0288
427,0.0263
428,0.0238
429,0.0226
430,0.0238
431,0.0163
432,0.0088
433,0.0088
434,0.0000
435,0.0000
436,0.0000
437,0.0013
438,0.0038
439,0.0113
440,0.0138
441,0.0315
442,0.0378
443,0.0288
444,0.0201
445,0.0213
446,0.0251
447,0.0238
448,0.0226
449,0.0276
450,0.0213
451,0.0288
452,0.0301
453,0.0213
454,0.0276
455,0.0238
456,0.0150
457,0.0188
458,0.0238
459,0.0339
460,0.0313
461,0.0326
462,0.0416
463,0.0288
464,0.0238
465,0.0288
466,0.0226
467,0.0201
468,0.0188
469,0.0188
470,0.0213
471,0.0226
472,0.0263
473,0.0439
474,0.0426
475,0.0530
476,0.0517
477,0.0630
478,0.0705
479,0.0606
480,0.0556
481,0.0681
482,0.0656
483,0.0606
484,0.0706
485,0.0604
486,0.0464
487,0.0313
488,0.0238
489,0.0213
490,0.0213
491,0.0188
492,0.0176
493,0.0201
494,0.0201
495,0.0288
496,0.0439
497,0.0677
498,0.0589
499,0.0514
500,0.0466
501,0.0414
502,0.0389
503,0.0313
504,0.0201
505,0.0313
506,0.0313
507,0.0376
508,0.0414
509,0.0389
510,0.0351
511,0.0213
512,0.0188
513,0.0150
514,0.0075
515,0.0188
516,0.0251
517,0.0227
518,0.0265
519,0.0203
520,0.0213
521,0.0339
522,0.0288
523,0.0188
524,0.0201
525,0.0176
526,0.0339
527,0.0326
528,0.0288
529,0.0313
530,0.0326
531,0.0301
532,0.0163
533,0.0201
534,0.0288
535,0.0301
536,0.0340
537,0.0416
538,0.0451
539,0.0502
540,0.0464
541,0.0627
542,0.0752
543,0.0502
544,0.0552
545,0.0564
546,0.0665
547,0.0627
548,0.0665
549,0.0577
550,0.0552
551,0.0489
552,0.0401
553,0.0439
554,0.0502
555,0.0502
556,0.0439
557,0.0389
558,0.0527
559,0.0489
560,0.0464
561,0.0426
562,0.0351
563,0.0326
564,0.0414
565,0.0451
566,0.0539
567,0.0439
568,0.0376
569,0.0426
570,0.0439
571,0.0439
572,0.0451
573,0.0464
574,0.0614
575,0.0564
576,0.0727
577,0.0815
578,0.0639
579,0.0602
580,0.0564
581,0.0589
582,0.0677
583,0.0426
584,0.0364
585,0.0439
586,0.0464
587,0.0426
588,0.0514
589,0.0702
590,0.0840
591,0.0727
592,0.0702
593,0.0752
594,0.0564
595,0.0564
596,0.0502
597,0.0451
598,0.0464
599,0.0426
600,0.0464
601,0.0715
602,0.0652
603,0.0489
604,0.0426
605,0.0502
606,0.0627
607,0.0489
608,0.0589
609,0.0715
610,0.0577
611,0.0464
612,0.0464
613,0.0414
614,0.0426
615,0.0451
616,0.0464
617,0.0677
618,0.0627
619,0.0639
620,0.0552
621,0.0652
622,0.0752
623,0.0702
624,0.0740
625,0.0740
626,0.0502
627,0.0602
628,0.0703
629,0.0891
630,0.0790
631,0.0602
632,0.0514
633,0.0539
634,0.0476
635,0.0364
636,0.0351
637,0.0414
638,0.0502
639,0.0552
640,0.0527
641,0.0702
642,0.0702
643,0.0627
644,0.0577
645,0.0589
646,0.0652
647,0.0639
648,0.0665
649,0.0652
650,0.0639
651,0.0665
652,0.0728
653,0.0590
654,0.0614
655,0.0577
656,0.0602
657,0.0752
658,0.0702
659,0.0905
660,0.1095
661,0.1334
662,0.1646
663,0.1596
664,0.1508
665,0.1359
666,0.1310
667,0.1083
668,0.0978
669,0.1078
670,0.1355
671,0.1155
672,0.0928
673,0.1003
674,0.0928
675,0.0878
676,0.0802
677,0.1066
678,0.1329
679,0.1254
680,0.1417
681,0.1141
682,0.1078
683,0.0727
684,0.0740
685,0.0802
686,0.0903
687,0.0978
688,0.0853
689,0.0915
690,0.0777
691,0.0878
692,0.1091
693,0.1404
694,0.1329
695,0.1041
696,0.0903
697,0.0978
698,0.1128
699,0.1141
700,0.1229
701,0.1128
702,0.1204
703,0.1103
704,0.1179
705,0.1243
706,0.1066
707,0.1003
708,0.0940
709,0.0917
710,0.0828
711,0.0790
712,0.0853
713,0.1078
714,0.1028
715,0.1080
716,0.0915
717,0.1103
718,0.1218
719,0.0790
720,0.0564
721,0.0765
722,0.0652
723,0.0351
724,0.0439
725,0.0451
726,0.0552
