Distance_(pixels),Gray_Value
0,0.0116
1,0.0069
2,0.0093
3,0.0012
4,0.0035
5,0.0023
6,0.0000
7,0.0012
8,0.0035
9,0.0023
10,0.0093
11,0.0143
12,0.0108
13,0.0106
14,0.0174
15,0.0139
16,0.0104
17,0.0116
18,0.0081
19,0.0081
20,0.0093
21,0.0185
22,0.0243
23,0.0197
24,0.0035
25,0.0069
26,0.0116
27,0.0208
28,0.0231
29,0.0139
30,0.0162
31,0.0127
32,0.0150
33,0.0150
34,0.0139
35,0.0104
36,0.0081
37,0.0023
38,0.0023
39,0.0035
40,0.0000
41,0.0046
42,0.0081
43,0.0104
44,0.0104
45,0.0139
46,0.0154
47,0.0104
48,0.0127
49,0.0278
50,0.0266
51,0.0208
52,0.0243
53,0.0208
54,0.0162
55,0.0162
56,0.0185
57,0.0266
58,0.0208
59,0.0093
60,0.0046
61,0.0081
62,0.0104
63,0.0058
64,0.0081
65,0.0104
66,0.0093
67,0.0058
68,0.0046
69,0.0046
70,0.0081
71,0.0000
72,0.0023
73,0.0046
74,0.0069
75,0.0046
76,0.0046
77,0.0058
78,0.0046
79,0.0023
80,0.0012
81,0.0012
82,0.0000
83,0.0023
84,0.0023
85,0.0046
86,0.0046
87,0.0058
88,0.0035
89,0.0035
90,0.0046
91,0.0000
92,0.0023
93,0.0000
94,0.0023
95,0.0012
96,0.0000
97,0.0035
98,0.0058
99,0.0046
100,0.0046
101,0.0012
102,0.0012
103,0.0046
104,0.0069
105,0.0081
106,0.0058
107,0.0139
108,0.0127
109,0.0150
110,0.0035
111,0.0069
112,0.0093
113,0.0162
114,0.0104
115,0.0139
116,0.0139
117,0.0197
118,0.0208
119,0.0139
120,0.0127
121,0.0127
122,0.0150
123,0.0197
124,0.0174
125,0.0212
126,0.0210
127,0.0185
128,0.0150
129,0.0243
130,0.0280
131,0.0255
132,0.0197
133,0.0139
134,0.0116
135,0.0035
136,0.0046
137,0.0058
138,0.0081
139,0.0069
140,0.0069
141,0.0116
142,0.0116
143,0.0069
144,0.0127
145,0.0185
146,0.0162
147,0.0069
148,0.0046
149,0.0081
150,0.0162
151,0.0104
152,0.0139
153,0.0069
154,0.0023
155,0.0023
156,0.0023
157,0.0012
158,0.0012
159,0.0035
160,0.0081
161,0.0127
162,0.0035
163,0.0000
164,0.0012
165,0.0023
166,0.0000
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0012
173,0.0058
174,0.0081
175,0.0012
176,0.0035
177,0.0104
178,0.0058
179,0.0035
180,0.0058
181,0.0046
182,0.0046
183,0.0023
184,0.0023
185,0.0046
186,0.0069
187,0.0129
188,0.0081
189,0.0116
190,0.0127
191,0.0046
192,0.0046
193,0.0069
194,0.0104
195,0.0127
196,0.0104
197,0.0162
198,0.0174
199,0.0127
200,0.0104
201,0.0118
202,0.0129
203,0.0104
204,0.0069
205,0.0104
206,0.0104
207,0.0081
208,0.0150
209,0.0116
210,0.0127
211,0.0104
212,0.0081
213,0.0081
214,0.0069
215,0.0093
216,0.0069
217,0.0104
218,0.0069
219,0.0081
220,0.0069
221,0.0023
222,0.0023
223,0.0046
224,0.0104
225,0.0166
226,0.0154
227,0.0129
228,0.0152
229,0.0093
230,0.0104
231,0.0093
232,0.0069
233,0.0069
234,0.0116
235,0.0104
236,0.0081
237,0.0058
238,0.0046
239,0.0012
240,0.0035
241,0.0185
242,0.0289
243,0.0266
244,0.0255
245,0.0185
246,0.0162
247,0.0116
248,0.0081
249,0.0069
250,0.0081
251,0.0069
252,0.0069
253,0.0058
254,0.0058
255,0.0046
256,0.0139
257,0.0162
258,0.0150
259,0.0104
260,0.0058
261,0.0035
262,0.0046
263,0.0046
264,0.0069
265,0.0116
266,0.0093
267,0.0012
268,0.0046
269,0.0127
270,0.0150
271,0.0104
272,0.0116
273,0.0127
274,0.0081
275,0.0104
276,0.0058
277,0.0081
278,0.0035
279,0.0023
280,0.0035
281,0.0093
282,0.0116
283,0.0093
284,0.0093
285,0.0046
286,0.0046
287,0.0035
288,0.0059
289,0.0082
290,0.0046
291,0.0012
292,0.0035
293,0.0046
294,0.0046
295,0.0035
296,0.0081
297,0.0081
298,0.0058
299,0.0139
300,0.0174
301,0.0185
302,0.0208
303,0.0093
304,0.0118
305,0.0139
306,0.0116
307,0.0081
308,0.0058
309,0.0000
310,0.0000
311,0.0000
312,0.0012
313,0.0000
314,0.0023
315,0.0023
316,0.0046
317,0.0035
318,0.0104
319,0.0104
320,0.0104
321,0.0150
322,0.0116
323,0.0093
324,0.0046
325,0.0069
326,0.0035
327,0.0023
328,0.0069
329,0.0093
330,0.0118
331,0.0139
332,0.0185
333,0.0104
334,0.0187
335,0.0093
336,0.0104
337,0.0127
338,0.0116
339,0.0104
340,0.0139
341,0.0139
342,0.0093
343,0.0046
344,0.0069
345,0.0035
346,0.0069
347,0.0046
348,0.0012
349,0.0046
350,0.0081
351,0.0058
352,0.0046
353,0.0069
354,0.0104
355,0.0104
356,0.0093
357,0.0139
358,0.0116
359,0.0185
360,0.0174
361,0.0289
362,0.0283
363,0.0318
364,0.0294
365,0.0330
366,0.0319
367,0.0391
368,0.0320
369,0.0401
370,0.0320
371,0.0341
372,0.0248
373,0.0210
374,0.0199
375,0.0104
376,0.0046
377,0.0023
378,0.0023
379,0.0000
380,0.0012
381,0.0046
382,0.0058
383,0.0104
384,0.0151
385,0.0235
386,0.0179
387,0.0106
388,0.0130
389,0.0153
390,0.0164
391,0.0116
392,0.0150
393,0.0150
394,0.0174
395,0.0162
396,0.0116
397,0.0093
398,0.0127
399,0.0023
400,0.0046
401,0.0162
402,0.0150
403,0.0174
404,0.0139
405,0.0150
406,0.0164
407,0.0093
408,0.0081
409,0.0141
410,0.0176
411,0.0187
412,0.0117
413,0.0141
414,0.0153
415,0.0105
416,0.0081
417,0.0104
418,0.0127
419,0.0139
420,0.0116
421,0.0127
422,0.0185
423,0.0197
424,0.0197
425,0.0338
426,0.0233
427,0.0141
428,0.0058
429,0.0069
430,0.0116
431,0.0058
432,0.0023
433,0.0046
434,0.0000
435,0.0000
436,0.0000
437,0.0000
438,0.0012
439,0.0058
440,0.0093
441,0.0245
442,0.0366
443,0.0349
444,0.0281
445,0.0327
446,0.0386
447,0.0303
448,0.0258
449,0.0283
450,0.0233
451,0.0316
452,0.0280
453,0.0258
454,0.0234
455,0.0163
456,0.0116
457,0.0127
458,0.0150
459,0.0197
460,0.0187
461,0.0317
462,0.0356
463,0.0341
464,0.0234
465,0.0281
466,0.0270
467,0.0282
468,0.0327
469,0.0360
470,0.0409
471,0.0444
472,0.0456
473,0.0516
474,0.0479
475,0.0445
476,0.0470
477,0.0565
478,0.0576
479,0.0434
480,0.0375
481,0.0375
482,0.0328
483,0.0282
484,0.0234
485,0.0186
486,0.0150
487,0.0104
488,0.0162
489,0.0116
490,0.0185
491,0.0243
492,0.0347
493,0.0468
494,0.0459
495,0.0332
496,0.0401
497,0.0567
498,0.0626
499,0.0520
500,0.0448
501,0.0434
502,0.0503
503,0.0434
504,0.0325
505,0.0476
506,0.0524
507,0.0487
508,0.0486
509,0.0532
510,0.0511
511,0.0347
512,0.0324
513,0.0303
514,0.0187
515,0.0245
516,0.0268
517,0.0247
518,0.0283
519,0.0202
520,0.0199
521,0.0268
522,0.0291
523,0.0281
524,0.0211
525,0.0223
526,0.0327
527,0.0337
528,0.0337
529,0.0348
530,0.0220
531,0.0139
532,0.0139
533,0.0197
534,0.0220
535,0.0221
536,0.0316
537,0.0409
538,0.0477
539,0.0525
540,0.0464
541,0.0548
542,0.0581
543,0.0511
544,0.0651
545,0.0744
546,0.0674
547,0.0568
548,0.0590
549,0.0463
550,0.0428
551,0.0324
552,0.0430
553,0.0656
554,0.0621
555,0.0625
556,0.0579
557,0.0555
558,0.0696
559,0.0599
560,0.0561
561,0.0680
562,0.0503
563,0.0444
564,0.0530
565,0.0507
566,0.0457
567,0.0360
568,0.0336
569,0.0405
570,0.0405
571,0.0486
572,0.0523
573,0.0546
574,0.0567
575,0.0532
576,0.0605
577,0.0771
578,0.0676
579,0.0641
580,0.0724
581,0.0793
582,0.0733
583,0.0548
584,0.0411
585,0.0515
586,0.0620
587,0.0548
588,0.0534
589,0.0674
590,0.0864
591,0.0650
592,0.0649
593,0.0756
594,0.0594
595,0.0535
596,0.0572
597,0.0593
598,0.0534
599,0.0500
600,0.0573
601,0.0759
602,0.0712
603,0.0594
604,0.0546
605,0.0686
606,0.0720
607,0.0617
608,0.0773
609,0.1077
610,0.1065
611,0.0969
612,0.1026
613,0.1061
614,0.1046
615,0.1084
616,0.0937
617,0.0923
618,0.0762
619,0.0550
620,0.0467
621,0.0394
622,0.0568
623,0.0487
624,0.0521
625,0.0613
626,0.0440
627,0.0465
628,0.0607
629,0.0782
630,0.0792
631,0.0510
632,0.0476
633,0.0631
634,0.0701
635,0.0748
636,0.0740
637,0.0678
638,0.0723
639,0.0618
640,0.0619
641,0.0796
642,0.0732
643,0.0662
644,0.0686
645,0.0712
646,0.0726
647,0.0772
648,0.0774
649,0.0864
650,0.0781
651,0.0651
652,0.0629
653,0.0664
654,0.0656
655,0.0517
656,0.0584
657,0.0712
658,0.0786
659,0.0975
660,0.1088
661,0.1083
662,0.1399
663,0.1441
664,0.1345
665,0.1214
666,0.1052
667,0.1018
668,0.0996
669,0.1009
670,0.1044
671,0.1053
672,0.1065
673,0.1171
674,0.1101
675,0.0976
676,0.0924
677,0.1223
678,0.1436
679,0.1323
680,0.1331
681,0.1291
682,0.1117
683,0.0670
684,0.0672
685,0.0683
686,0.0654
687,0.0580
688,0.0545
689,0.0642
690,0.0690
691,0.0730
692,0.0760
693,0.0772
694,0.1063
695,0.1017
696,0.1018
697,0.1232
698,0.1388
699,0.1356
700,0.1292
701,0.1143
702,0.1056
703,0.1028
704,0.1268
705,0.1580
706,0.1486
707,0.1367
708,0.1319
709,0.1248
710,0.1166
711,0.0862
712,0.0659
713,0.0857
714,0.0872
715,0.0860
716,0.0860
717,0.0898
718,0.1051
719,0.0759
720,0.0830
721,0.0885
722,0.0705
723,0.0421
724,0.0444
725,0.0516
726,0.0685
727,0.0747
728,0.0890
729,0.1062
730,0.1044
731,0.1165
732,0.1116
733,0.1207
734,0.1550
735,0.1592
736,0.1652
737,0.1791
738,0.1872
739,0.1748
740,0.1705
741,0.1525
742,0.1419
743,0.1000
744,0.0951
745,0.0952
746,0.0985
747,0.1114
748,0.1024
749,0.1291
750,0.1522
751,0.1721
752,0.1774
753,0.2022
754,0.1861
755,0.1883
756,0.2072
757,0.2045
758,0.1774
759,0.1636
760,0.1457
761,0.1395
762,0.1357
763,0.1408
764,0.1307
765,0.1359
766,0.1458
767,0.1517
768,0.1703
769,0.1780
770,0.1508
771,0.1271
772,0.1206
773,0.1336
774,0.1502
775,0.1528
776,0.1401
777,0.1477
778,0.1588
779,0.1310
780,0.1125
781,0.1292
782,0.1785
783,0.1548
784,0.1530
785,0.1529
786,0.1693
787,0.1739
788,0.1597
789,0.1705
790,0.1543
791,0.1498
792,0.1572
793,0.1760
794,0.1616
795,0.1487
796,0.1551
797,0.1890
798,0.1834
799,0.1667
800,0.1998
801,0.2262
802,0.2477
803,0.2626
804,0.2763
805,0.2961
806,0.3116
807,0.2591
808,0.2511
809,0.2431
810,0.2609
811,0.2293
812,0.1997
813,0.2086
814,0.2391
815,0.2338
816,0.2355
817,0.2437
818,0.2082
819,0.2105
820,0.2278
821,0.2724
822,0.2904
823,0.3261
824,0.3703
825,0.4270
826,0.4466
827,0.4203
828,0.3948
829,0.3512
830,0.3380
831,0.3252
832,0.3442
833,0.3573
834,0.3228
835,0.2603
836,0.2378
837,0.2617
838,0.2933
839,0.2975
840,0.2894
841,0.3060
842,0.3299
843,0.3323
844,0.3125
845,0.3411
846,0.4045
847,0.3630
848,0.3622
849,0.3546
850,0.3888
851,0.3744
852,0.3739
853,0.3745
854,0.3640
855,0.3477
856,0.3258
857,0.2961
858,0.3084
859,0.3248
860,0.3843
861,0.4798
862,0.5512
863,0.5666
864,0.5593
865,0.5568
866,0.5583
867,0.5425
868,0.5490
869,0.5582
870,0.5553
871,0.4841
872,0.4251
873,0.4303
874,0.4462
875,0.4719
876,0.4878
877,0.5478
878,0.5779
879,0.5721
880,0.5832
881,0.5771
882,0.5478
883,0.4723
884,0.4412
885,0.4837
886,0.5113
887,0.5370
888,0.5393
889,0.5856
890,0.6051
891,0.6143
892,0.6475
893,0.7287
894,0.7666
895,0.7445
896,0.7302
897,0.7307
898,0.7097
899,0.6962
900,0.7528
901,0.8055
902,0.8492
903,0.8995
904,0.9433
905,0.9625
906,0.9345
907,0.8989
908,0.8342
909,0.8256
910,0.8234
911,0.8194
912,0.8395
913,0.9034
914,0.8996
915,0.9645
916,1.0305
917,1.0599
918,1.1228
919,1.1751
920,1.2194
921,1.2533
922,1.2453
923,1.2675
924,1.2145
925,1.2248
926,1.2649
927,1.2722
928,1.2919
929,1.3356
930,1.3299
931,1.2918
932,1.3090
933,1.3046
934,1.3317
935,1.3717
936,1.3953
937,1.4196
938,1.4723
939,1.4906
940,1.4094
941,1.3417
942,1.2976
943,1.2093
944,1.2053
945,1.2725
946,1.2677
947,1.2535
948,1.2688
949,1.2790
950,1.3116
951,1.3653
952,1.4536
953,1.4985
954,1.5387
955,1.5746
956,1.5550
957,1.6108
958,1.7163
959,1.7269
960,1.7577
961,1.8024
962,1.7153
963,1.6708
964,1.6311
965,1.5009
966,1.3814
967,1.3771
968,1.4810
969,1.6481
970,1.7364
971,1.8043
972,1.7454
973,1.7405
974,1.7640
975,1.8337
976,1.8769
977,1.8915
978,1.8477
979,1.8504
980,1.8432
981,1.7975
982,1.8381
983,1.8735
984,1.9062
985,2.0411
986,2.2049
987,2.2973
988,2.2811
989,2.2719
990,2.3374
991,2.4138
992,2.4305
993,2.3997
994,2.2630
995,2.1692
996,2.0919
997,2.0239
998,2.1372
999,2.2604
1000,2.3626
1001,2.4465
1002,2.3698
1003,2.3258
1004,2.2608
1005,2.3220
1006,2.3912
1007,2.4847
1008,2.5661
1009,2.7224
1010,2.8798
1011,2.9262
1012,2.8327
1013,2.7114
1014,2.6277
1015,2.5437
1016,2.5601
1017,2.6000
1018,2.6752
1019,2.7935
1020,2.8642
1021,2.9549
1022,3.1465
1023,3.3619
1024,3.5132
1025,3.5133
1026,3.5111
1027,3.6074
1028,3.7011
1029,3.6429
1030,3.5116
1031,3.3533
1032,3.2893
1033,3.2128
1034,3.1884
1035,3.1058
1036,2.9669
1037,2.9114
1038,2.9361
1039,3.0487
1040,3.0141
1041,3.0204
1042,2.8844
1043,2.7936
1044,2.6979
1045,2.7602
1046,2.8114
1047,2.9144
1048,2.9419
1049,3.0152
1050,2.9716
1051,3.0685
1052,3.1657
1053,3.4220
1054,3.7230
1055,3.9151
1056,4.1453
1057,4.2537
1058,4.3047
1059,4.1626
1060,3.9223
1061,3.7375
1062,3.7343
1063,3.6962
1064,3.7534
1065,3.6527
1066,3.5103
1067,3.3098
1068,3.1473
1069,3.1181
1070,3.1236
1071,3.2912
1072,3.4936
1073,3.7057
1074,3.6901
1075,3.6915
1076,3.7321
1077,3.8020
1078,3.9916
1079,3.9849
1080,3.9183
1081,3.7422
1082,3.6252
1083,3.6478
1084,3.7117
1085,3.9192
1086,3.8905
1087,3.6645
1088,3.3309
1089,3.1741
1090,3.0546
1091,3.1840
1092,3.4657
1093,3.6607
1094,3.7745
1095,3.8928
1096,3.9951
1097,3.9163
1098,3.8667
1099,3.9850
1100,4.0929
1101,4.2568
1102,4.4646
1103,4.3914
1104,4.2554
1105,4.2146
1106,4.1385
1107,4.1108
1108,4.1426
1109,4.0374
1110,3.8682
1111,3.8343
1112,3.7949
1113,3.7968
1114,4.0131
1115,4.2289
1116,4.4809
1117,4.6598
1118,4.7399
1119,4.6762
1120,4.9717
1121,4.9171
1122,4.9611
1123,5.0532
1124,5.1459
1125,5.1793
1126,5.1230
1127,5.1399
1128,5.2024
1129,5.3373
1130,5.2534
1131,5.0861
1132,4.9871
1133,5.3053
1134,5.5661
1135,5.4545
1136,5.5271
1137,5.5007
1138,5.3744
1139,5.2036
1140,5.2081
1141,5.1527
1142,5.3352
1143,5.3614
1144,5.4719
1145,5.4786
1146,5.6142
1147,5.5671
1148,5.6887
1149,5.8055
1150,5.9013
1151,5.9568
1152,5.8129
1153,5.6986
1154,5.4332
1155,5.4180
1156,5.6834
1157,6.0969
1158,6.4258
1159,6.7890
1160,6.8560
1161,6.8742
1162,6.6318
1163,6.5514
1164,6.5149
1165,6.4420
1166,6.3540
1167,6.1287
1168,5.9417
1169,5.8805
1170,6.1022
1171,6.3291
1172,6.5882
1173,6.8628
1174,6.9485
1175,6.6706
1176,6.4119
1177,6.4018
1178,6.5426
1179,6.2949
1180,6.0296
1181,5.9177
1182,6.0856
1183,5.9276
1184,5.5759
1185,5.7147
1186,5.9964
1187,6.4373
1188,6.4456
1189,6.3010
1190,6.5623
1191,6.4587
1192,6.4044
1193,6.1064
1194,5.9530
1195,5.7501
1196,5.7069
1197,5.8573
1198,5.8368
1199,6.0716
1200,6.2237
1201,6.5348
1202,6.6726
1203,6.6078
1204,6.5836
1205,6.7316
1206,6.9562
1207,7.2113
1208,7.1617
1209,6.9672
1210,6.7596
1211,6.6700
1212,6.4827
1213,6.7264
1214,6.9629
1215,7.0113
1216,6.9789
1217,6.7383
1218,6.3672
1219,6.4018
1220,6.8120
1221,7.1691
1222,7.4586
1223,7.9028
1224,7.7866
1225,7.7381
1226,7.8792
1227,7.8043
1228,7.5333
1229,7.7437
1230,7.8545
1231,7.8381
1232,7.7736
1233,7.4504
1234,6.9560
1235,6.6132
1236,6.5214
1237,6.7339
1238,6.8585
1239,7.2823
1240,7.6261
1241,7.7840
1242,7.8113
1243,7.7107
1244,7.4640
1245,7.3674
1246,6.8420
1247,6.7214
1248,6.4670
1249,6.5122
1250,6.4996
1251,6.9780
1252,7.4156
1253,7.6231
1254,7.1449
1255,7.0242
1256,7.1979
1257,7.6672
1258,7.9853
1259,8.1668
1260,8.6601
1261,8.9631
1262,9.4422
1263,9.4768
1264,9.1702
1265,9.0985
1266,8.9252
1267,8.9915
1268,8.7512
1269,8.5614
1270,8.8140
1271,9.4021
1272,9.3318
1273,9.4273
1274,8.8329
1275,8.3706
1276,8.2063
1277,8.2307
1278,8.1196
1279,8.3596
1280,8.9750
1281,9.0127
1282,8.1425
1283,7.9182
1284,8.2346
1285,8.6397
1286,8.5763
1287,8.6701
1288,9.2279
1289,9.8981
1290,9.8526
1291,9.6109
1292,9.5785
1293,9.9172
1294,10.1861
1295,10.2932
1296,9.9008
1297,10.0088
1298,10.1777
1299,10.3976
1300,10.1396
1301,9.9226
1302,9.1365
1303,8.8240
1304,8.5876
1305,9.2788
1306,9.9400
1307,10.6050
1308,10.9290
1309,10.8094
1310,10.9393
1311,10.9043
1312,10.1960
1313,9.6688
1314,9.5435
1315,10.1744
1316,10.6820
1317,11.2772
1318,11.0989
1319,11.2469
1320,11.4101
1321,11.6040
1322,11.0497
1323,10.8682
1324,10.5738
1325,10.7957
1326,10.6360
1327,10.8546
1328,10.9542
1329,11.0231
1330,11.0080
1331,11.1658
1332,11.5319
1333,11.1182
1334,10.5039
1335,10.1798
1336,10.3472
1337,10.3444
1338,9.7832
1339,9.3822
1340,9.6884
1341,10.1932
1342,10.7994
1343,11.7748
1344,11.9845
1345,12.3655
