Distance_(pixels),Gray_Value
0,0.0324
1,0.0101
2,0.0122
3,0.0081
4,0.0061
5,0.0020
6,0.0000
7,0.0000
8,0.0081
9,0.0101
10,0.0162
11,0.0203
12,0.0204
13,0.0101
14,0.0122
15,0.0122
16,0.0203
17,0.0344
18,0.0263
19,0.0223
20,0.0223
21,0.0365
22,0.0527
23,0.0405
24,0.0162
25,0.0203
26,0.0203
27,0.0466
28,0.0466
29,0.0324
30,0.0344
31,0.0243
32,0.0203
33,0.0284
34,0.0243
35,0.0162
36,0.0142
37,0.0041
38,0.0061
39,0.0041
40,0.0000
41,0.0041
42,0.0041
43,0.0061
44,0.0142
45,0.0203
46,0.0265
47,0.0182
48,0.0263
49,0.0506
50,0.0547
51,0.0506
52,0.0587
53,0.0304
54,0.0243
55,0.0162
56,0.0203
57,0.0405
58,0.0405
59,0.0223
60,0.0122
61,0.0182
62,0.0162
63,0.0061
64,0.0243
65,0.0263
66,0.0142
67,0.0020
68,0.0041
69,0.0081
70,0.0101
71,0.0041
72,0.0101
73,0.0142
74,0.0061
75,0.0142
76,0.0122
77,0.0101
78,0.0122
79,0.0000
80,0.0081
81,0.0122
82,0.0081
83,0.0041
84,0.0081
85,0.0122
86,0.0101
87,0.0122
88,0.0101
89,0.0081
90,0.0081
91,0.0000
92,0.0020
93,0.0081
94,0.0061
95,0.0000
96,0.0000
97,0.0061
98,0.0101
99,0.0041
100,0.0081
101,0.0020
102,0.0041
103,0.0041
104,0.0000
105,0.0061
106,0.0142
107,0.0263
108,0.0306
109,0.0263
110,0.0162
111,0.0101
112,0.0203
113,0.0263
114,0.0182
115,0.0304
116,0.0385
117,0.0263
118,0.0243
119,0.0284
120,0.0284
121,0.0284
122,0.0263
123,0.0344
124,0.0263
125,0.0263
126,0.0223
127,0.0223
128,0.0182
129,0.0223
130,0.0284
131,0.0243
132,0.0142
133,0.0122
134,0.0182
135,0.0101
136,0.0061
137,0.0101
138,0.0162
139,0.0142
140,0.0162
141,0.0263
142,0.0263
143,0.0122
144,0.0162
145,0.0203
146,0.0284
147,0.0101
148,0.0162
149,0.0142
150,0.0223
151,0.0203
152,0.0243
153,0.0182
154,0.0081
155,0.0041
156,0.0081
157,0.0020
158,0.0020
159,0.0061
160,0.0101
161,0.0142
162,0.0081
163,0.0000
164,0.0041
165,0.0041
166,0.0081
167,0.0000
168,0.0000
169,0.0020
170,0.0041
171,0.0020
172,0.0000
173,0.0020
174,0.0061
175,0.0061
176,0.0081
177,0.0101
178,0.0101
179,0.0101
180,0.0142
181,0.0081
182,0.0122
183,0.0101
184,0.0061
185,0.0162
186,0.0162
187,0.0223
188,0.0243
189,0.0203
190,0.0142
191,0.0061
192,0.0081
193,0.0182
194,0.0223
195,0.0284
196,0.0385
197,0.0365
198,0.0365
199,0.0263
200,0.0203
201,0.0223
202,0.0223
203,0.0101
204,0.0041
205,0.0142
206,0.0223
207,0.0182
208,0.0223
209,0.0223
210,0.0162
211,0.0142
212,0.0122
213,0.0122
214,0.0142
215,0.0101
216,0.0101
217,0.0182
218,0.0122
219,0.0101
220,0.0061
221,0.0061
222,0.0061
223,0.0081
224,0.0182
225,0.0245
226,0.0245
227,0.0243
228,0.0223
229,0.0304
230,0.0203
231,0.0203
232,0.0122
233,0.0203
234,0.0182
235,0.0162
236,0.0182
237,0.0122
238,0.0122
239,0.0122
240,0.0203
241,0.0344
242,0.0344
243,0.0284
244,0.0243
245,0.0263
246,0.0263
247,0.0304
248,0.0263
249,0.0203
250,0.0122
251,0.0081
252,0.0020
253,0.0000
254,0.0122
255,0.0203
256,0.0243
257,0.0223
258,0.0223
259,0.0122
260,0.0122
261,0.0041
262,0.0041
263,0.0061
264,0.0142
265,0.0122
266,0.0101
267,0.0041
268,0.0122
269,0.0182
270,0.0203
271,0.0081
272,0.0122
273,0.0203
274,0.0182
275,0.0182
276,0.0162
277,0.0203
278,0.0182
279,0.0061
280,0.0061
281,0.0142
282,0.0162
283,0.0061
284,0.0101
285,0.0101
286,0.0081
287,0.0081
288,0.0142
289,0.0182
290,0.0101
291,0.0101
292,0.0162
293,0.0081
294,0.0041
295,0.0081
296,0.0162
297,0.0203
298,0.0203
299,0.0223
300,0.0284
301,0.0324
302,0.0466
303,0.0284
304,0.0263
305,0.0182
