Distance_(pixels),Gray_Value
0,0.0607
1,0.0410
2,0.0361
3,0.0246
4,0.0279
5,0.0295
6,0.0197
7,0.0197
8,0.0164
9,0.0213
10,0.0279
11,0.0459
12,0.0377
13,0.0557
14,0.0672
15,0.0574
16,0.0574
17,0.0590
18,0.0476
19,0.0426
20,0.0312
21,0.0262
22,0.0328
23,0.0312
24,0.0361
25,0.0459
26,0.0492
27,0.0590
28,0.0705
29,0.0689
30,0.0508
31,0.0328
32,0.0312
33,0.0541
34,0.0492
35,0.0443
36,0.0361
37,0.0328
38,0.0443
39,0.0344
40,0.0213
41,0.0197
42,0.0197
43,0.0164
44,0.0197
45,0.0279
46,0.0230
47,0.0262
48,0.0213
49,0.0197
50,0.0131
51,0.0148
52,0.0148
53,0.0213
54,0.0197
55,0.0148
56,0.0115
57,0.0049
58,0.0098
59,0.0098
60,0.0098
61,0.0164
62,0.0262
63,0.0148
64,0.0279
65,0.0492
66,0.0508
67,0.0574
68,0.0377
69,0.0377
70,0.0246
71,0.0213
72,0.0230
73,0.0312
74,0.0295
75,0.0246
76,0.0131
77,0.0131
78,0.0262
79,0.0180
80,0.0148
81,0.0148
82,0.0115
83,0.0148
84,0.0148
85,0.0098
86,0.0049
87,0.0082
88,0.0098
89,0.0098
90,0.0066
91,0.0033
92,0.0016
93,0.0066
94,0.0082
95,0.0115
96,0.0148
97,0.0246
98,0.0262
99,0.0230
100,0.0230
101,0.0262
102,0.0377
103,0.0295
104,0.0262
105,0.0230
106,0.0213
107,0.0230
108,0.0164
109,0.0115
110,0.0131
111,0.0115
112,0.0131
113,0.0295
114,0.0246
115,0.0180
116,0.0164
117,0.0082
118,0.0131
119,0.0148
120,0.0279
121,0.0344
122,0.0230
123,0.0262
124,0.0262
125,0.0246
126,0.0246
127,0.0148
128,0.0213
129,0.0164
130,0.0180
131,0.0197
132,0.0197
133,0.0197
134,0.0230
135,0.0312
136,0.0180
137,0.0148
138,0.0115
139,0.0049
140,0.0098
141,0.0066
142,0.0115
143,0.0131
144,0.0115
145,0.0131
146,0.0115
147,0.0131
148,0.0148
149,0.0098
150,0.0180
151,0.0164
152,0.0066
153,0.0066
154,0.0082
155,0.0098
156,0.0082
157,0.0131
158,0.0131
159,0.0115
160,0.0148
161,0.0164
162,0.0131
163,0.0049
164,0.0016
165,0.0033
166,0.0033
167,0.0033
168,0.0066
169,0.0115
170,0.0262
171,0.0328
172,0.0230
173,0.0344
174,0.0377
175,0.0312
176,0.0180
177,0.0164
178,0.0115
179,0.0115
180,0.0033
181,0.0033
182,0.0033
183,0.0000
184,0.0098
185,0.0131
186,0.0049
187,0.0049
188,0.0049
189,0.0033
190,0.0098
191,0.0082
192,0.0148
193,0.0213
194,0.0197
195,0.0197
196,0.0279
197,0.0279
198,0.0213
199,0.0213
200,0.0246
201,0.0213
202,0.0164
203,0.0180
204,0.0246
205,0.0230
206,0.0131
207,0.0131
208,0.0131
209,0.0180
210,0.0164
211,0.0230
212,0.0164
213,0.0066
214,0.0066
215,0.0049
216,0.0049
217,0.0082
218,0.0066
219,0.0066
220,0.0082
221,0.0262
222,0.0344
223,0.0279
224,0.0230
225,0.0295
226,0.0213
227,0.0131
228,0.0131
229,0.0098
230,0.0131
231,0.0115
232,0.0098
233,0.0164
234,0.0131
235,0.0115
236,0.0082
237,0.0131
238,0.0082
239,0.0066
240,0.0148
241,0.0246
242,0.0328
243,0.0312
244,0.0213
245,0.0213
246,0.0197
247,0.0180
248,0.0361
249,0.0410
250,0.0361
251,0.0312
252,0.0279
253,0.0230
254,0.0246
255,0.0164
256,0.0148
257,0.0262
258,0.0213
259,0.0180
260,0.0131
261,0.0164
262,0.0213
263,0.0230
264,0.0180
265,0.0180
266,0.0131
267,0.0098
268,0.0066
269,0.0049
270,0.0016
271,0.0000
272,0.0033
273,0.0082
274,0.0082
275,0.0082
276,0.0066
277,0.0131
278,0.0230
279,0.0230
280,0.0262
281,0.0262
282,0.0180
283,0.0082
284,0.0082
285,0.0131
286,0.0180
287,0.0180
288,0.0197
289,0.0410
290,0.0984
291,0.1066
292,0.1066
293,0.0918
294,0.0525
295,0.0148
296,0.0033
297,0.0049
298,0.0213
299,0.0164
300,0.0115
301,0.0115
302,0.0115
303,0.0016
304,0.0049
305,0.0049
306,0.0016
307,0.0000
308,0.0066
309,0.0098
310,0.0213
311,0.0262
312,0.0262
313,0.0230
314,0.0213
315,0.0115
316,0.0049
317,0.0033
318,0.0049
319,0.0000
320,0.0000
321,0.0066
322,0.0098
323,0.0164
324,0.0148
325,0.0082
326,0.0033
327,0.0049
328,0.0082
329,0.0213
330,0.0279
331,0.0262
332,0.0098
333,0.0066
334,0.0082
335,0.0082
336,0.0066
337,0.0164
338,0.0148
339,0.0098
340,0.0131
341,0.0213
342,0.0148
343,0.0098
344,0.0115
345,0.0131
346,0.0115
347,0.0180
348,0.0148
349,0.0246
350,0.0295
351,0.0295
352,0.0180
353,0.0164
354,0.0164
355,0.0115
356,0.0098
357,0.0049
358,0.0016
359,0.0066
360,0.0148
361,0.0246
362,0.0197
363,0.0066
364,0.0000
365,0.0016
366,0.0000
367,0.0082
368,0.0197
369,0.0312
370,0.0312
371,0.0344
372,0.0246
373,0.0197
374,0.0098
375,0.0082
376,0.0131
377,0.0148
378,0.0164
379,0.0098
380,0.0016
381,0.0000
382,0.0033
383,0.0033
384,0.0098
385,0.0164
386,0.0213
387,0.0213
388,0.0230
389,0.0246
390,0.0148
391,0.0213
392,0.0115
393,0.0066
394,0.0115
395,0.0098
396,0.0098
397,0.0098
398,0.0115
399,0.0049
400,0.0000
401,0.0098
402,0.0131
403,0.0148
404,0.0115
405,0.0082
406,0.0049
407,0.0049
408,0.0033
409,0.0033
410,0.0033
411,0.0033
412,0.0033
413,0.0033
414,0.0049
415,0.0066
416,0.0082
417,0.0131
418,0.0098
419,0.0016
420,0.0115
421,0.0197
422,0.0180
423,0.0197
424,0.0148
425,0.0098
426,0.0098
427,0.0148
428,0.0164
429,0.0148
430,0.0131
431,0.0049
432,0.0049
433,0.0033
434,0.0000
435,0.0000
436,0.0000
437,0.0033
438,0.0049
439,0.0082
440,0.0098
441,0.0164
442,0.0180
443,0.0148
444,0.0082
445,0.0098
446,0.0164
447,0.0000
448,0.0033
449,0.0131
450,0.0230
451,0.0295
452,0.0213
453,0.0262
454,0.0246
455,0.0148
456,0.0066
457,0.0082
458,0.0148
459,0.0148
460,0.0115
461,0.0049
462,0.0033
463,0.0033
464,0.0033
465,0.0082
466,0.0082
467,0.0033
468,0.0033
469,0.0049
470,0.0115
471,0.0115
472,0.0148
473,0.0148
474,0.0115
475,0.0098
476,0.0082
477,0.0033
478,0.0115
479,0.0066
480,0.0098
481,0.0115
482,0.0098
483,0.0049
484,0.0082
485,0.0098
486,0.0098
487,0.0066
488,0.0066
489,0.0180
