Distance_(pixels),Gray_Value
0,0.0776
1,0.0466
2,0.0421
3,0.0421
4,0.0377
5,0.0444
6,0.0222
7,0.0244
8,0.0288
9,0.0355
10,0.0510
11,0.0621
12,0.0555
13,0.0776
14,0.0821
15,0.0954
16,0.1109
17,0.0998
18,0.0821
19,0.0555
20,0.0244
21,0.0244
22,0.0466
23,0.0666
24,0.0643
25,0.0621
26,0.0732
27,0.0732
28,0.0688
29,0.0666
30,0.0621
31,0.0599
32,0.0643
33,0.0932
34,0.0910
35,0.0754
36,0.0754
37,0.0799
38,0.0666
39,0.0510
40,0.0311
41,0.0266
42,0.0266
43,0.0266
44,0.0333
45,0.0311
46,0.0288
47,0.0266
48,0.0244
49,0.0089
50,0.0067
51,0.0067
52,0.0089
53,0.0155
54,0.0089
55,0.0111
56,0.0111
57,0.0155
58,0.0222
59,0.0222
60,0.0177
61,0.0288
62,0.0333
63,0.0266
64,0.0333
65,0.0488
66,0.0621
67,0.0643
68,0.0399
69,0.0311
70,0.0266
71,0.0333
72,0.0532
73,0.0488
74,0.0532
75,0.0333
76,0.0333
77,0.0288
78,0.0266
79,0.0089
80,0.0200
81,0.0266
82,0.0266
83,0.0244
84,0.0200
85,0.0133
86,0.0089
87,0.0133
88,0.0044
89,0.0089
90,0.0044
91,0.0089
92,0.0067
93,0.0089
94,0.0044
95,0.0089
96,0.0333
97,0.0421
98,0.0399
99,0.0377
100,0.0466
101,0.0555
102,0.0555
103,0.0421
104,0.0355
105,0.0377
106,0.0421
107,0.0444
108,0.0244
109,0.0155
110,0.0200
111,0.0044
112,0.0044
113,0.0200
114,0.0089
115,0.0089
116,0.0111
117,0.0155
118,0.0177
119,0.0111
120,0.0177
121,0.0399
122,0.0399
123,0.0421
124,0.0488
125,0.0421
126,0.0333
127,0.0355
128,0.0421
129,0.0399
130,0.0288
131,0.0266
132,0.0266
133,0.0421
134,0.0532
135,0.0488
136,0.0288
137,0.0333
138,0.0377
139,0.0355
140,0.0311
141,0.0266
142,0.0244
143,0.0288
144,0.0311
145,0.0377
146,0.0355
147,0.0333
148,0.0355
149,0.0288
150,0.0311
151,0.0266
152,0.0133
153,0.0111
154,0.0111
155,0.0067
156,0.0044
157,0.0155
158,0.0200
159,0.0200
160,0.0177
161,0.0155
162,0.0089
163,0.0067
164,0.0044
165,0.0067
166,0.0000
167,0.0000
168,0.0044
169,0.0111
170,0.0177
171,0.0399
172,0.0399
173,0.0488
174,0.0466
175,0.0355
176,0.0266
177,0.0244
178,0.0155
179,0.0155
180,0.0133
181,0.0155
182,0.0000
183,0.0067
184,0.0067
185,0.0266
186,0.0089
187,0.0089
188,0.0067
189,0.0089
190,0.0133
191,0.0111
192,0.0266
193,0.0466
194,0.0399
195,0.0399
196,0.0421
197,0.0399
198,0.0421
199,0.0288
200,0.0311
201,0.0288
202,0.0333
203,0.0421
204,0.0333
205,0.0311
206,0.0244
207,0.0266
208,0.0200
209,0.0155
210,0.0111
211,0.0200
212,0.0067
213,0.0044
214,0.0089
215,0.0089
216,0.0044
217,0.0133
218,0.0044
219,0.0000
220,0.0067
221,0.0399
222,0.0377
223,0.0399
224,0.0288
225,0.0311
226,0.0355
227,0.0266
228,0.0266
229,0.0288
230,0.0333
231,0.0177
232,0.0111
233,0.0244
234,0.0222
235,0.0222
236,0.0177
237,0.0288
238,0.0244
239,0.0200
240,0.0222
241,0.0355
242,0.0421
243,0.0355
244,0.0200
245,0.0222
246,0.0311
247,0.0333
248,0.0421
249,0.0466
250,0.0466
251,0.0444
252,0.0311
253,0.0355
254,0.0421
255,0.0244
256,0.0244
257,0.0399
258,0.0288
259,0.0333
260,0.0311
261,0.0333
262,0.0333
263,0.0355
264,0.0222
265,0.0244
266,0.0133
267,0.0089
268,0.0022
269,0.0089
270,0.0022
271,0.0000
272,0.0022
273,0.0177
274,0.0266
275,0.0311
276,0.0333
277,0.0311
278,0.0355
279,0.0377
280,0.0421
281,0.0377
282,0.0355
283,0.0200
284,0.0200
285,0.0266
286,0.0333
287,0.0333
288,0.0399
289,0.0714
290,0.1204
291,0.1250
292,0.1139
293,0.0938
294,0.0670
295,0.0178
296,0.0067
297,0.0111
298,0.0200
299,0.0111
300,0.0067
301,0.0111
302,0.0044
303,0.0000
304,0.0044
305,0.0000
306,0.0022
307,0.0044
308,0.0155
309,0.0200
310,0.0244
311,0.0355
312,0.0222
313,0.0266
314,0.0200
315,0.0177
316,0.0089
317,0.0044
318,0.0111
319,0.0067
320,0.0111
321,0.0155
322,0.0155
323,0.0177
324,0.0177
325,0.0067
326,0.0067
327,0.0155
328,0.0133
329,0.0222
330,0.0311
331,0.0311
332,0.0155
333,0.0155
334,0.0200
335,0.0067
336,0.0022
337,0.0067
338,0.0133
339,0.0111
340,0.0133
341,0.0089
342,0.0067
343,0.0067
344,0.0111
345,0.0177
346,0.0155
347,0.0222
348,0.0177
349,0.0266
350,0.0288
351,0.0266
352,0.0222
353,0.0200
354,0.0133
355,0.0133
356,0.0044
357,0.0089
358,0.0089
359,0.0155
360,0.0222
361,0.0288
362,0.0266
363,0.0133
364,0.0022
365,0.0067
366,0.0177
367,0.0177
368,0.0244
369,0.0421
370,0.0444
371,0.0421
372,0.0333
373,0.0244
374,0.0111
375,0.0133
376,0.0133
377,0.0222
378,0.0244
379,0.0133
380,0.0044
381,0.0111
382,0.0155
383,0.0133
384,0.0111
385,0.0421
386,0.0355
387,0.0288
388,0.0377
389,0.0421
390,0.0333
391,0.0266
392,0.0111
393,0.0044
394,0.0067
395,0.0089
396,0.0067
397,0.0089
398,0.0133
399,0.0067
400,0.0000
401,0.0067
402,0.0089
403,0.0111
404,0.0067
405,0.0111
406,0.0155
407,0.0111
408,0.0067
409,0.0089
410,0.0022
411,0.0044
412,0.0044
413,0.0089
414,0.0022
415,0.0067
416,0.0111
417,0.0222
418,0.0133
419,0.0000
420,0.0111
421,0.0155
422,0.0266
423,0.0288
424,0.0266
425,0.0067
426,0.0133
427,0.0244
428,0.0222
429,0.0155
430,0.0311
431,0.0089
432,0.0044
433,0.0067
434,0.0044
435,0.0000
436,0.0000
437,0.0044
438,0.0067
439,0.0044
440,0.0022
441,0.0089
442,0.0177
443,0.0155
444,0.0067
445,0.0044
446,0.0200
447,0.0089
448,0.0222
449,0.0288
450,0.0288
451,0.0333
452,0.0288
453,0.0244
454,0.0266
455,0.0177
456,0.0111
457,0.0067
458,0.0089
459,0.0022
460,0.0000
461,0.0000
462,0.0000
463,0.0044
464,0.0067
465,0.0111
466,0.0067
467,0.0044
468,0.0067
469,0.0089
470,0.0177
471,0.0355
472,0.0355
473,0.0355
474,0.0311
475,0.0155
476,0.0067
477,0.0089
478,0.0089
479,0.0089
480,0.0111
481,0.0244
482,0.0222
483,0.0089
484,0.0089
485,0.0111
486,0.0133
487,0.0089
488,0.0089
489,0.0222
490,0.0311
491,0.0311
492,0.0244
493,0.0200
494,0.0421
495,0.0266
496,0.0044
497,0.0089
498,0.0089
499,0.0133
500,0.0155
501,0.0155
502,0.0133
503,0.0155
504,0.0111
505,0.0089
506,0.0089
507,0.0177
508,0.0155
509,0.0333
510,0.0355
511,0.0244
512,0.0089
513,0.0067
514,0.0044
515,0.0089
516,0.0133
517,0.0155
518,0.0311
519,0.0222
520,0.0288
521,0.0288
522,0.0288
523,0.0311
524,0.0266
525,0.0377
526,0.0510
527,0.0288
528,0.0133
529,0.0067
530,0.0133
531,0.0067
532,0.0089
533,0.0155
534,0.0222
535,0.0177
536,0.0177
537,0.0200
538,0.0266
539,0.0244
540,0.0333
541,0.0355
542,0.0355
543,0.0333
544,0.0355
545,0.0555
546,0.0355
547,0.0311
548,0.0266
549,0.0222
550,0.0155
551,0.0133
552,0.0377
553,0.0621
554,0.0688
555,0.0666
556,0.0732
557,0.0754
558,0.0910
559,0.0910
560,0.1087
561,0.1242
562,0.0910
