Distance_(pixels),Gray_Value
0,0.0163
1,0.0113
2,0.0088
3,0.0038
4,0.0063
5,0.0038
6,0.0063
7,0.0038
8,0.0125
9,0.0188
10,0.0100
11,0.0113
12,0.0176
13,0.0201
14,0.0163
15,0.0088
16,0.0063
17,0.0063
18,0.0025
19,0.0025
20,0.0050
21,0.0063
22,0.0075
23,0.0050
24,0.0100
25,0.0100
26,0.0075
27,0.0088
28,0.0113
29,0.0125
30,0.0113
31,0.0050
32,0.0038
33,0.0050
34,0.0038
35,0.0038
36,0.0038
37,0.0038
38,0.0088
39,0.0038
40,0.0038
41,0.0063
42,0.0075
43,0.0100
44,0.0100
45,0.0075
46,0.0025
47,0.0025
48,0.0013
49,0.0038
50,0.0063
51,0.0100
52,0.0113
53,0.0125
54,0.0163
55,0.0163
56,0.0176
57,0.0176
58,0.0100
59,0.0075
60,0.0088
61,0.0138
62,0.0163
63,0.0150
64,0.0100
65,0.0113
66,0.0088
67,0.0025
68,0.0050
69,0.0050
70,0.0025
71,0.0025
72,0.0025
73,0.0050
74,0.0000
75,0.0000
76,0.0025
77,0.0025
78,0.0038
79,0.0063
80,0.0050
81,0.0000
82,0.0000
83,0.0038
84,0.0050
85,0.0050
86,0.0075
87,0.0025
88,0.0025
89,0.0025
90,0.0063
91,0.0000
92,0.0000
93,0.0000
94,0.0013
95,0.0050
96,0.0075
97,0.0113
98,0.0150
99,0.0138
100,0.0201
101,0.0125
102,0.0100
103,0.0050
104,0.0025
105,0.0025
106,0.0013
107,0.0000
108,0.0000
109,0.0025
110,0.0063
111,0.0013
112,0.0050
113,0.0088
114,0.0075
115,0.0038
116,0.0000
117,0.0000
118,0.0000
119,0.0025
120,0.0000
121,0.0000
122,0.0013
123,0.0000
124,0.0000
125,0.0088
126,0.0075
127,0.0025
128,0.0050
129,0.0100
130,0.0113
131,0.0038
132,0.0025
133,0.0038
134,0.0038
135,0.0050
136,0.0075
137,0.0138
138,0.0150
139,0.0125
140,0.0063
141,0.0088
142,0.0063
143,0.0038
144,0.0013
145,0.0088
146,0.0050
147,0.0013
148,0.0000
149,0.0000
150,0.0025
151,0.0038
152,0.0025
153,0.0138
154,0.0226
155,0.0150
156,0.0201
157,0.0238
158,0.0201
159,0.0100
160,0.0050
161,0.0050
162,0.0050
163,0.0025
164,0.0038
165,0.0075
166,0.0063
167,0.0050
168,0.0050
169,0.0025
170,0.0000
171,0.0025
172,0.0025
173,0.0038
174,0.0075
175,0.0063
176,0.0025
177,0.0013
178,0.0025
179,0.0038
180,0.0050
181,0.0050
182,0.0025
183,0.0025
184,0.0025
185,0.0000
186,0.0125
187,0.0125
188,0.0138
189,0.0150
190,0.0213
191,0.0150
192,0.0113
193,0.0163
194,0.0100
195,0.0138
196,0.0188
197,0.0176
198,0.0163
199,0.0100
200,0.0100
201,0.0163
202,0.0100
203,0.0050
204,0.0063
205,0.0113
206,0.0150
207,0.0088
208,0.0113
209,0.0213
210,0.0176
211,0.0226
212,0.0301
213,0.0251
214,0.0188
215,0.0113
216,0.0150
217,0.0188
218,0.0125
219,0.0113
220,0.0038
221,0.0088
222,0.0163
223,0.0150
224,0.0176
225,0.0113
226,0.0088
227,0.0100
228,0.0063
229,0.0000
230,0.0050
231,0.0138
232,0.0226
233,0.0476
234,0.0502
235,0.0516
236,0.0364
237,0.0339
238,0.0313
239,0.0163
240,0.0088
241,0.0050
242,0.0013
243,0.0063
244,0.0088
245,0.0150
246,0.0163
247,0.0226
248,0.0251
249,0.0263
250,0.0251
251,0.0251
252,0.0263
253,0.0226
254,0.0201
255,0.0215
256,0.0113
257,0.0050
258,0.0113
259,0.0138
260,0.0113
261,0.0163
262,0.0088
263,0.0088
264,0.0063
265,0.0075
266,0.0125
267,0.0150
268,0.0150
269,0.0100
270,0.0075
271,0.0075
272,0.0113
273,0.0100
274,0.0113
275,0.0138
276,0.0125
277,0.0113
278,0.0113
279,0.0100
280,0.0125
281,0.0138
282,0.0138
283,0.0088
284,0.0050
285,0.0025
286,0.0063
287,0.0125
288,0.0150
289,0.0213
290,0.0138
291,0.0113
292,0.0138
293,0.0150
294,0.0176
295,0.0163
296,0.0163
297,0.0201
298,0.0201
299,0.0113
300,0.0113
301,0.0100
302,0.0100
303,0.0150
304,0.0176
305,0.0238
306,0.0201
307,0.0226
308,0.0176
309,0.0088
310,0.0075
311,0.0075
312,0.0063
313,0.0063
314,0.0063
315,0.0063
316,0.0063
317,0.0063
318,0.0038
319,0.0050
320,0.0050
321,0.0100
322,0.0088
323,0.0063
324,0.0050
325,0.0038
326,0.0038
327,0.0038
328,0.0038
329,0.0038
330,0.0063
331,0.0088
332,0.0113
333,0.0138
334,0.0125
335,0.0100
336,0.0075
337,0.0163
338,0.0201
339,0.0125
340,0.0125
341,0.0190
342,0.0138
343,0.0138
344,0.0088
345,0.0038
346,0.0013
347,0.0000
348,0.0000
349,0.0000
350,0.0000
351,0.0000
352,0.0050
353,0.0163
354,0.0100
355,0.0088
356,0.0150
357,0.0188
358,0.0213
359,0.0228
360,0.0203
361,0.0188
362,0.0176
363,0.0125
364,0.0075
365,0.0100
366,0.0176
367,0.0125
368,0.0125
369,0.0125
370,0.0113
371,0.0075
372,0.0038
373,0.0000
374,0.0000
375,0.0000
376,0.0038
377,0.0050
378,0.0025
379,0.0000
380,0.0050
381,0.0075
382,0.0038
383,0.0038
384,0.0088
385,0.0150
386,0.0251
387,0.0238
388,0.0226
389,0.0226
390,0.0188
391,0.0100
392,0.0113
393,0.0138
394,0.0163
395,0.0163
396,0.0150
397,0.0201
398,0.0313
399,0.0313
400,0.0351
401,0.0339
402,0.0226
403,0.0213
404,0.0276
405,0.0339
406,0.0376
407,0.0251
408,0.0088
409,0.0075
410,0.0100
411,0.0088
412,0.0100
413,0.0113
414,0.0100
415,0.0063
416,0.0113
417,0.0176
418,0.0100
419,0.0100
420,0.0075
421,0.0075
422,0.0113
423,0.0063
424,0.0063
425,0.0088
426,0.0088
427,0.0063
428,0.0113
429,0.0113
430,0.0100
431,0.0050
432,0.0063
433,0.0075
434,0.0063
435,0.0050
436,0.0025
437,0.0000
438,0.0025
439,0.0025
440,0.0000
441,0.0000
442,0.0000
443,0.0050
444,0.0038
445,0.0038
446,0.0038
447,0.0038
448,0.0013
449,0.0000
450,0.0063
451,0.0113
452,0.0138
453,0.0138
454,0.0163
455,0.0100
456,0.0100
457,0.0075
458,0.0063
459,0.0075
460,0.0100
461,0.0075
462,0.0075
463,0.0075
464,0.0088
465,0.0088
466,0.0063
467,0.0063
468,0.0075
469,0.0075
470,0.0050
471,0.0050
472,0.0113
473,0.0188
474,0.0138
475,0.0201
476,0.0238
477,0.0238
478,0.0263
479,0.0150
480,0.0138
481,0.0138
482,0.0138
483,0.0201
484,0.0176
485,0.0113
486,0.0125
487,0.0125
488,0.0113
489,0.0125
490,0.0088
491,0.0000
492,0.0038
493,0.0050
494,0.0063
495,0.0025
496,0.0088
497,0.0226
498,0.0138
499,0.0113
500,0.0075
501,0.0063
502,0.0100
503,0.0113
504,0.0125
505,0.0088
506,0.0075
507,0.0063
508,0.0025
509,0.0025
510,0.0038
511,0.0013
512,0.0000
513,0.0025
514,0.0050
515,0.0075
516,0.0088
517,0.0063
518,0.0050
519,0.0025
520,0.0000
521,0.0000
522,0.0000
523,0.0000
524,0.0000
525,0.0000
526,0.0000
527,0.0000
528,0.0000
529,0.0000
530,0.0013
531,0.0038
532,0.0025
533,0.0050
534,0.0025
535,0.0025
536,0.0025
537,0.0050
538,0.0075
539,0.0100
540,0.0125
541,0.0163
542,0.0213
543,0.0113
544,0.0113
545,0.0088
546,0.0125
547,0.0088
548,0.0050
549,0.0063
550,0.0063
551,0.0013
552,0.0050
553,0.0075
554,0.0113
555,0.0088
556,0.0075
557,0.0038
558,0.0038
559,0.0013
560,0.0050
561,0.0038
562,0.0025
563,0.0050
564,0.0075
565,0.0050
566,0.0025
567,0.0050
568,0.0063
569,0.0038
570,0.0000
571,0.0000
572,0.0025
573,0.0050
574,0.0050
575,0.0013
576,0.0025
577,0.0025
578,0.0025
579,0.0050
580,0.0050
581,0.0050
582,0.0075
583,0.0075
584,0.0075
585,0.0063
586,0.0038
587,0.0025
588,0.0013
589,0.0075
590,0.0088
591,0.0050
592,0.0050
593,0.0088
594,0.0088
595,0.0075
596,0.0075
597,0.0075
598,0.0113
599,0.0088
600,0.0088
601,0.0063
602,0.0063
603,0.0075
604,0.0025
605,0.0038
606,0.0088
607,0.0038
608,0.0050
609,0.0075
610,0.0088
611,0.0025
612,0.0000
613,0.0000
614,0.0013
615,0.0063
616,0.0050
617,0.0025
618,0.0025
619,0.0025
620,0.0063
621,0.0100
622,0.0100
623,0.0038
624,0.0025
625,0.0038
626,0.0038
627,0.0038
628,0.0025
629,0.0000
630,0.0000
631,0.0025
632,0.0050
633,0.0075
634,0.0038
635,0.0000
636,0.0000
637,0.0050
638,0.0050
639,0.0075
640,0.0075
641,0.0050
642,0.0038
643,0.0050
644,0.0025
645,0.0050
646,0.0075
647,0.0075
648,0.0125
649,0.0125
650,0.0113
651,0.0088
652,0.0100
653,0.0100
654,0.0125
655,0.0063
656,0.0075
657,0.0038
658,0.0038
659,0.0125
660,0.0176
661,0.0213
662,0.0163
663,0.0138
664,0.0138
665,0.0163
666,0.0113
667,0.0125
668,0.0088
669,0.0113
670,0.0100
671,0.0113
672,0.0113
673,0.0163
674,0.0125
675,0.0063
676,0.0088
677,0.0125
678,0.0075
679,0.0075
680,0.0100
681,0.0038
682,0.0000
683,0.0013
684,0.0025
685,0.0113
686,0.0213
687,0.0163
688,0.0138
689,0.0088
690,0.0050
691,0.0025
692,0.0025
693,0.0050
694,0.0000
695,0.0025
696,0.0150
697,0.0251
698,0.0326
699,0.0351
700,0.0376
701,0.0301
702,0.0238
703,0.0125
704,0.0150
705,0.0125
706,0.0025
707,0.0000
708,0.0025
709,0.0050
710,0.0088
711,0.0100
712,0.0188
713,0.0238
714,0.0150
715,0.0050
716,0.0013
717,0.0013
718,0.0050
719,0.0063
720,0.0100
721,0.0163
722,0.0238
723,0.0188
724,0.0150
725,0.0150
726,0.0176
727,0.0100
728,0.0075
729,0.0013
730,0.0000
731,0.0013
732,0.0038
733,0.0025
734,0.0000
735,0.0000
736,0.0063
737,0.0100
738,0.0063
739,0.0025
740,0.0050
741,0.0075
742,0.0088
743,0.0088
744,0.0113
745,0.0100
746,0.0063
747,0.0038
748,0.0013
749,0.0063
750,0.0150
751,0.0100
752,0.0125
753,0.0150
754,0.0138
755,0.0113
756,0.0150
757,0.0176
758,0.0176
759,0.0150
760,0.0150
761,0.0138
762,0.0100
763,0.0088
764,0.0038
765,0.0038
766,0.0025
767,0.0050
768,0.0113
769,0.0100
770,0.0088
771,0.0088
772,0.0113
773,0.0100
774,0.0113
775,0.0063
776,0.0088
777,0.0100
778,0.0188
779,0.0213
780,0.0201
781,0.0150
782,0.0201
783,0.0163
784,0.0138
785,0.0138
786,0.0150
787,0.0088
788,0.0063
789,0.0038
790,0.0025
791,0.0000
792,0.0025
793,0.0050
794,0.0038
795,0.0075
796,0.0075
797,0.0050
798,0.0050
799,0.0050
800,0.0050
801,0.0075
802,0.0113
803,0.0125
804,0.0088
805,0.0075
806,0.0063
807,0.0000
808,0.0000
809,0.0000
810,0.0025
811,0.0038
812,0.0038
813,0.0050
814,0.0113
815,0.0075
816,0.0075
817,0.0125
818,0.0113
819,0.0063
820,0.0088
821,0.0100
822,0.0100
823,0.0075
824,0.0075
825,0.0088
826,0.0088
827,0.0038
828,0.0038
829,0.0025
830,0.0013
831,0.0050
832,0.0050
833,0.0163
834,0.0188
835,0.0201
836,0.0213
837,0.0201
838,0.0163
839,0.0125
840,0.0138
841,0.0063
842,0.0063
843,0.0088
844,0.0038
845,0.0025
846,0.0025
847,0.0000
848,0.0038
849,0.0050
850,0.0050
851,0.0050
852,0.0025
853,0.0088
854,0.0100
855,0.0088
856,0.0113
857,0.0125
858,0.0088
859,0.0050
860,0.0050
861,0.0038
862,0.0025
863,0.0025
864,0.0025
865,0.0063
866,0.0063
867,0.0113
868,0.0088
869,0.0050
870,0.0025
871,0.0025
872,0.0000
873,0.0000
874,0.0000
875,0.0050
876,0.0038
877,0.0050
878,0.0050
879,0.0025
880,0.0000
881,0.0000
882,0.0013
883,0.0100
884,0.0088
885,0.0075
886,0.0075
887,0.0163
888,0.0226
889,0.0288
890,0.0263
891,0.0213
892,0.0201
893,0.0176
894,0.0125
895,0.0075
896,0.0000
897,0.0013
898,0.0025
899,0.0038
900,0.0050
901,0.0050
902,0.0038
903,0.0013
904,0.0000
905,0.0013
906,0.0038
907,0.0050
908,0.0050
909,0.0038
910,0.0013
911,0.0000
912,0.0000
913,0.0038
914,0.0075
915,0.0088
916,0.0063
917,0.0075
918,0.0150
919,0.0163
920,0.0138
921,0.0188
922,0.0213
923,0.0213
924,0.0125
925,0.0075
926,0.0050
927,0.0088
928,0.0100
929,0.0125
930,0.0125
931,0.0100
932,0.0138
933,0.0125
934,0.0113
935,0.0113
936,0.0150
937,0.0163
938,0.0125
939,0.0050
940,0.0038
941,0.0038
942,0.0038
943,0.0050
944,0.0163
945,0.0238
946,0.0201
947,0.0150
948,0.0150
949,0.0138
950,0.0150
951,0.0050
952,0.0050
953,0.0063
954,0.0063
955,0.0063
956,0.0100
957,0.0100
958,0.0088
959,0.0088
960,0.0088
961,0.0100
962,0.0150
963,0.0075
964,0.0050
965,0.0000
966,0.0000
967,0.0000
968,0.0000
969,0.0000
970,0.0000
971,0.0000
972,0.0013
973,0.0038
974,0.0038
975,0.0050
976,0.0113
977,0.0113
978,0.0138
979,0.0125
980,0.0125
981,0.0088
982,0.0125
983,0.0100
984,0.0088
985,0.0138
986,0.0100
987,0.0075
988,0.0063
989,0.0063
990,0.0176
991,0.0188
992,0.0150
993,0.0150
994,0.0150
995,0.0163
996,0.0163
997,0.0176
998,0.0163
999,0.0100
1000,0.0038
1001,0.0013
1002,0.0050
1003,0.0050
1004,0.0075
1005,0.0100
1006,0.0100
1007,0.0000
1008,0.0000
1009,0.0025
1010,0.0075
1011,0.0100
1012,0.0063
1013,0.0063
1014,0.0063
1015,0.0063
1016,0.0025
1017,0.0088
1018,0.0113
1019,0.0125
1020,0.0113
1021,0.0088
1022,0.0113
1023,0.0050
1024,0.0038
1025,0.0075
1026,0.0075
1027,0.0050
1028,0.0050
1029,0.0050
1030,0.0075
1031,0.0075
1032,0.0050
1033,0.0025
1034,0.0025
1035,0.0025
1036,0.0038
1037,0.0038
1038,0.0025
1039,0.0000
1040,0.0025
1041,0.0075
1042,0.0050
1043,0.0088
1044,0.0050
1045,0.0038
1046,0.0025
1047,0.0025
1048,0.0038
1049,0.0125
1050,0.0188
1051,0.0176
1052,0.0138
1053,0.0176
1054,0.0176
1055,0.0138
1056,0.0226
1057,0.0188
1058,0.0100
1059,0.0100
1060,0.0113
1061,0.0125
1062,0.0188
1063,0.0213
1064,0.0163
1065,0.0150
1066,0.0138
1067,0.0113
1068,0.0213
1069,0.0276
1070,0.0351
1071,0.0313
1072,0.0238
1073,0.0176
1074,0.0113
1075,0.0050
1076,0.0063
1077,0.0013
1078,0.0063
1079,0.0100
1080,0.0125
1081,0.0150
1082,0.0100
1083,0.0088
1084,0.0063
1085,0.0063
1086,0.0025
1087,0.0063
1088,0.0176
1089,0.0313
1090,0.0313
1091,0.0326
1092,0.0326
1093,0.0364
1094,0.0426
1095,0.0489
1096,0.0552
1097,0.0665
1098,0.0665
1099,0.0740
1100,0.0890
1101,0.0928
1102,0.0828
1103,0.0790
1104,0.0589
1105,0.0652
1106,0.0552
1107,0.0514
1108,0.0527
1109,0.0552
1110,0.0426
1111,0.0476
1112,0.0502
1113,0.0489
1114,0.0539
1115,0.0539
1116,0.0502
1117,0.0502
1118,0.0652
1119,0.0677
1120,0.0489
1121,0.0527
1122,0.0439
1123,0.0451
1124,0.0376
1125,0.0301
1126,0.0326
1127,0.0351
1128,0.0364
1129,0.0516
1130,0.0616
1131,0.0564
1132,0.0426
1133,0.0514
1134,0.0577
1135,0.0577
1136,0.0451
1137,0.0514
1138,0.0589
1139,0.0539
1140,0.0502
1141,0.0476
1142,0.0552
1143,0.0426
1144,0.0552
1145,0.0564
1146,0.0589
1147,0.0614
1148,0.0740
1149,0.0790
1150,0.0917
1151,0.0905
1152,0.0940
1153,0.1066
1154,0.0840
1155,0.0702
1156,0.0752
1157,0.0853
1158,0.0853
1159,0.0777
1160,0.0829
1161,0.1032
1162,0.1096
1163,0.0880
1164,0.0854
1165,0.0856
1166,0.0756
1167,0.0679
1168,0.0464
1169,0.0491
1170,0.0541
1171,0.0502
1172,0.0702
1173,0.0777
1174,0.0790
1175,0.0614
1176,0.0665
1177,0.0878
1178,0.0903
1179,0.0777
1180,0.0727
1181,0.0890
1182,0.1056
1183,0.1071
1184,0.1158
1185,0.1094
1186,0.1046
1187,0.0896
1188,0.0946
1189,0.0893
1190,0.0716
1191,0.0765
1192,0.0854
1193,0.1131
1194,0.1307
1195,0.1456
1196,0.1569
1197,0.1669
1198,0.1844
1199,0.1959
1200,0.2292
1201,0.2534
1202,0.2203
1203,0.2102
1204,0.1978
1205,0.1915
1206,0.2054
1207,0.1776
1208,0.1788
1209,0.1700
1210,0.1690
1211,0.1490
1212,0.1323
1213,0.1158
1214,0.1196
1215,0.1246
1216,0.1526
1217,0.1689
1218,0.1606
1219,0.1707
1220,0.1832
1221,0.1776
1222,0.1903
1223,0.1891
1224,0.1800
1225,0.1648
1226,0.1418
1227,0.1241
1228,0.1041
1229,0.0978
1230,0.1116
1231,0.0928
1232,0.1004
1233,0.1293
1234,0.1304
1235,0.1469
1236,0.1608
1237,0.2063
