Distance_(pixels),Gray_Value
0,0.0251
1,0.0138
2,0.0113
3,0.0088
4,0.0125
5,0.0113
6,0.0088
7,0.0063
8,0.0100
9,0.0138
10,0.0050
11,0.0113
12,0.0163
13,0.0176
14,0.0163
15,0.0088
16,0.0038
17,0.0063
18,0.0050
19,0.0100
20,0.0125
21,0.0088
22,0.0088
23,0.0063
24,0.0088
25,0.0088
26,0.0050
27,0.0075
28,0.0100
29,0.0088
30,0.0063
31,0.0013
32,0.0000
33,0.0025
34,0.0038
35,0.0038
36,0.0038
37,0.0050
38,0.0088
39,0.0025
40,0.0063
41,0.0088
42,0.0113
43,0.0138
44,0.0113
45,0.0088
46,0.0038
47,0.0025
48,0.0050
49,0.0150
50,0.0150
51,0.0163
52,0.0125
53,0.0125
54,0.0201
55,0.0163
56,0.0201
57,0.0251
58,0.0150
59,0.0100
60,0.0088
61,0.0150
62,0.0213
63,0.0226
64,0.0201
65,0.0201
66,0.0113
67,0.0063
68,0.0038
69,0.0025
70,0.0025
71,0.0000
72,0.0025
73,0.0050
74,0.0025
75,0.0025
76,0.0025
77,0.0025
78,0.0025
79,0.0050
80,0.0038
81,0.0000
82,0.0025
83,0.0050
84,0.0050
85,0.0038
86,0.0025
87,0.0013
88,0.0025
89,0.0025
90,0.0063
91,0.0000
92,0.0000
93,0.0000
94,0.0013
95,0.0038
96,0.0113
97,0.0150
98,0.0213
99,0.0150
100,0.0163
101,0.0100
102,0.0088
103,0.0050
104,0.0025
105,0.0025
106,0.0013
107,0.0000
108,0.0000
109,0.0025
110,0.0025
111,0.0000
112,0.0050
113,0.0100
114,0.0088
115,0.0038
116,0.0000
117,0.0000
118,0.0000
119,0.0025
120,0.0025
121,0.0025
122,0.0013
123,0.0013
124,0.0000
125,0.0050
126,0.0025
127,0.0000
128,0.0050
129,0.0113
130,0.0125
131,0.0075
132,0.0050
133,0.0050
134,0.0063
135,0.0063
136,0.0025
137,0.0075
138,0.0113
139,0.0088
140,0.0088
141,0.0088
142,0.0063
143,0.0050
144,0.0038
145,0.0075
146,0.0050
147,0.0025
148,0.0013
149,0.0000
150,0.0025
151,0.0063
152,0.0075
153,0.0150
154,0.0188
155,0.0125
156,0.0138
157,0.0201
158,0.0201
159,0.0075
160,0.0050
161,0.0100
162,0.0100
163,0.0050
164,0.0000
165,0.0025
166,0.0050
167,0.0050
168,0.0013
169,0.0000
170,0.0000
171,0.0025
172,0.0025
173,0.0025
174,0.0038
175,0.0013
176,0.0000
177,0.0013
178,0.0025
179,0.0038
180,0.0025
181,0.0025
182,0.0000
183,0.0025
184,0.0025
185,0.0000
186,0.0113
187,0.0113
188,0.0113
189,0.0150
190,0.0163
191,0.0100
192,0.0075
193,0.0113
194,0.0138
195,0.0201
196,0.0226
197,0.0176
198,0.0176
199,0.0125
200,0.0113
201,0.0163
202,0.0100
203,0.0075
204,0.0075
205,0.0138
206,0.0201
207,0.0150
208,0.0188
209,0.0251
210,0.0213
211,0.0238
212,0.0251
213,0.0238
214,0.0188
215,0.0125
216,0.0213
217,0.0238
218,0.0150
219,0.0050
220,0.0050
221,0.0113
222,0.0188
223,0.0176
224,0.0213
225,0.0163
226,0.0113
227,0.0113
228,0.0063
229,0.0075
230,0.0088
231,0.0150
232,0.0201
233,0.0389
234,0.0464
235,0.0516
236,0.0401
237,0.0401
238,0.0313
239,0.0163
240,0.0075
241,0.0063
242,0.0013
243,0.0050
244,0.0063
245,0.0138
246,0.0176
247,0.0226
248,0.0238
249,0.0251
250,0.0213
251,0.0226
252,0.0263
253,0.0251
254,0.0201
255,0.0188
256,0.0063
257,0.0050
258,0.0088
259,0.0113
260,0.0088
261,0.0163
262,0.0113
263,0.0088
264,0.0088
265,0.0088
266,0.0100
267,0.0113
268,0.0088
269,0.0063
270,0.0025
271,0.0050
272,0.0100
273,0.0163
274,0.0125
275,0.0150
276,0.0163
277,0.0113
278,0.0125
279,0.0113
280,0.0138
281,0.0113
282,0.0138
283,0.0138
284,0.0075
285,0.0025
286,0.0063
287,0.0100
288,0.0100
289,0.0188
290,0.0150
291,0.0100
292,0.0188
293,0.0188
294,0.0226
295,0.0188
296,0.0150
297,0.0150
298,0.0125
299,0.0075
300,0.0113
301,0.0113
302,0.0163
303,0.0188
304,0.0226
305,0.0263
306,0.0238
307,0.0213
308,0.0176
309,0.0113
310,0.0075
311,0.0063
312,0.0050
313,0.0063
314,0.0025
315,0.0038
316,0.0050
317,0.0063
318,0.0050
319,0.0050
320,0.0038
321,0.0075
322,0.0075
323,0.0063
324,0.0075
325,0.0075
326,0.0038
327,0.0038
328,0.0038
329,0.0013
330,0.0013
331,0.0075
332,0.0113
333,0.0100
334,0.0100
335,0.0063
336,0.0025
337,0.0075
338,0.0063
339,0.0050
340,0.0150
341,0.0203
342,0.0125
343,0.0138
344,0.0063
345,0.0038
346,0.0013
347,0.0000
348,0.0000
349,0.0000
350,0.0000
351,0.0000
352,0.0088
353,0.0188
354,0.0150
355,0.0113
356,0.0163
357,0.0188
358,0.0213
359,0.0240
360,0.0203
361,0.0125
362,0.0150
363,0.0125
364,0.0088
365,0.0088
366,0.0113
367,0.0075
368,0.0063
369,0.0075
370,0.0050
371,0.0038
372,0.0025
373,0.0000
374,0.0000
375,0.0000
376,0.0050
377,0.0063
378,0.0038
379,0.0025
380,0.0038
381,0.0063
382,0.0025
383,0.0000
384,0.0025
385,0.0113
386,0.0176
387,0.0163
388,0.0201
389,0.0251
390,0.0213
391,0.0138
392,0.0100
393,0.0138
394,0.0150
395,0.0150
396,0.0113
397,0.0238
398,0.0288
399,0.0263
400,0.0276
401,0.0301
402,0.0226
403,0.0213
404,0.0276
405,0.0339
406,0.0364
407,0.0276
408,0.0100
409,0.0088
410,0.0100
411,0.0075
412,0.0050
413,0.0063
414,0.0063
415,0.0038
416,0.0100
417,0.0163
418,0.0100
419,0.0075
420,0.0063
421,0.0063
422,0.0088
423,0.0050
424,0.0050
425,0.0088
426,0.0075
427,0.0100
428,0.0138
429,0.0150
430,0.0125
431,0.0050
432,0.0088
433,0.0050
434,0.0025
435,0.0000
436,0.0000
437,0.0000
438,0.0025
439,0.0025
440,0.0000
441,0.0025
442,0.0025
443,0.0050
444,0.0025
445,0.0000
446,0.0000
447,0.0000
448,0.0000
449,0.0000
450,0.0063
451,0.0113
452,0.0138
453,0.0213
454,0.0188
455,0.0138
456,0.0075
457,0.0050
458,0.0050
459,0.0050
460,0.0063
461,0.0038
462,0.0063
463,0.0063
464,0.0075
465,0.0088
466,0.0063
467,0.0063
468,0.0075
469,0.0075
470,0.0050
471,0.0075
472,0.0150
473,0.0226
474,0.0238
475,0.0276
476,0.0213
477,0.0251
478,0.0238
479,0.0176
480,0.0176
481,0.0176
482,0.0113
483,0.0176
484,0.0138
485,0.0100
486,0.0113
487,0.0113
488,0.0063
489,0.0075
490,0.0050
491,0.0000
492,0.0038
493,0.0050
494,0.0038
495,0.0000
496,0.0050
497,0.0150
498,0.0088
499,0.0100
500,0.0113
501,0.0075
502,0.0163
503,0.0163
