Distance_(pixels),Gray_Value
0,0.1082
1,0.0802
2,0.0717
3,0.0709
4,0.0738
5,0.0743
6,0.0778
7,0.0762
8,0.0715
9,0.0758
10,0.0731
11,0.0651
12,0.0577
13,0.0650
14,0.0680
15,0.0557
16,0.0569
17,0.0681
18,0.0718
19,0.0693
20,0.0648
21,0.0630
22,0.0691
23,0.0676
24,0.0708
25,0.0816
26,0.0794
27,0.0782
28,0.0829
29,0.0830
30,0.0821
31,0.0753
32,0.0711
33,0.0846
34,0.0804
35,0.0791
36,0.0760
37,0.0760
38,0.0803
39,0.0745
40,0.0633
41,0.0701
42,0.0666
43,0.0675
44,0.0616
45,0.0639
46,0.0704
47,0.0632
48,0.0693
49,0.0856
50,0.0714
51,0.0681
52,0.0660
53,0.0677
54,0.0672
55,0.0659
56,0.0659
57,0.0730
58,0.0663
59,0.0673
60,0.0743
61,0.0757
62,0.0722
63,0.0665
64,0.0689
65,0.0838
66,0.0760
67,0.0692
68,0.0601
69,0.0672
70,0.0720
71,0.0583
72,0.0625
73,0.0764
74,0.0623
75,0.0506
76,0.0444
77,0.0437
78,0.0506
79,0.0507
80,0.0569
81,0.0663
82,0.0601
83,0.0590
84,0.0626
85,0.0626
86,0.0672
87,0.0653
88,0.0665
89,0.0773
90,0.0597
91,0.0520
92,0.0534
93,0.0580
94,0.0649
95,0.0582
96,0.0669
97,0.0817
98,0.0728
99,0.0713
100,0.0739
101,0.0706
102,0.0719
103,0.0697
104,0.0669
105,0.0631
106,0.0589
107,0.0593
108,0.0492
109,0.0506
110,0.0611
111,0.0557
112,0.0597
113,0.0806
114,0.0725
115,0.0636
116,0.0693
117,0.0746
118,0.0783
119,0.0600
120,0.0530
121,0.0648
122,0.0694
123,0.0681
124,0.0580
125,0.0590
126,0.0617
127,0.0530
128,0.0605
129,0.0842
130,0.0802
131,0.0678
132,0.0608
133,0.0558
134,0.0588
135,0.0507
136,0.0472
137,0.0582
138,0.0498
139,0.0505
140,0.0579
141,0.0660
142,0.0700
143,0.0632
144,0.0570
145,0.0650
146,0.0651
147,0.0584
148,0.0572
149,0.0596
150,0.0604
151,0.0570
152,0.0609
153,0.0732
154,0.0692
155,0.0552
156,0.0470
157,0.0598
158,0.0712
159,0.0569
160,0.0560
161,0.0710
162,0.0691
163,0.0646
164,0.0619
165,0.0578
166,0.0615
167,0.0566
168,0.0589
169,0.0629
170,0.0609
171,0.0561
172,0.0490
173,0.0536
174,0.0612
175,0.0530
176,0.0475
177,0.0517
178,0.0472
179,0.0470
180,0.0498
181,0.0430
182,0.0472
183,0.0395
184,0.0389
185,0.0459
186,0.0546
187,0.0629
188,0.0665
189,0.0648
190,0.0671
191,0.0605
192,0.0589
193,0.0666
194,0.0585
195,0.0554
196,0.0541
197,0.0571
198,0.0600
199,0.0589
200,0.0626
201,0.0697
202,0.0609
203,0.0591
204,0.0584
205,0.0647
206,0.0824
207,0.0754
208,0.0685
209,0.0851
210,0.0705
211,0.0654
212,0.0690
213,0.0713
214,0.0785
215,0.0734
216,0.0749
217,0.0775
218,0.0687
219,0.0715
220,0.0723
221,0.0695
222,0.0709
223,0.0655
224,0.0693
225,0.0876
226,0.0831
227,0.0799
228,0.0764
229,0.0767
230,0.0829
231,0.0733
232,0.0702
233,0.0743
234,0.0734
235,0.0757
236,0.0709
237,0.0705
238,0.0739
239,0.0702
240,0.0662
241,0.0664
242,0.0630
243,0.0561
244,0.0559
245,0.0604
246,0.0642
247,0.0650
248,0.0643
249,0.0660
250,0.0645
251,0.0662
252,0.0636
253,0.0621
254,0.0678
255,0.0616
256,0.0640
257,0.0751
258,0.0720
259,0.0743
260,0.0754
261,0.0690
262,0.0674
263,0.0715
264,0.0736
265,0.0889
266,0.0764
267,0.0725
268,0.0687
269,0.0603
270,0.0546
271,0.0478
272,0.0526
273,0.0593
274,0.0521
275,0.0515
276,0.0552
277,0.0557
278,0.0595
279,0.0586
280,0.0624
281,0.0735
282,0.0716
283,0.0649
284,0.0635
285,0.0639
286,0.0706
287,0.0608
288,0.0611
289,0.0773
290,0.0718
291,0.0666
292,0.0705
293,0.0732
294,0.0744
295,0.0640
296,0.0666
297,0.0738
298,0.0662
299,0.0606
300,0.0585
301,0.0571
302,0.0724
303,0.0743
304,0.0731
305,0.0818
306,0.0723
307,0.0683
308,0.0711
309,0.0715
310,0.0678
311,0.0583
312,0.0742
313,0.0836
314,0.0837
315,0.0737
316,0.0557
317,0.0498
318,0.0583
319,0.0503
320,0.0592
321,0.0684
322,0.0633
323,0.0648
324,0.0610
