Distance_(pixels),Gray_Value
0,0.1126
1,0.0823
2,0.0724
3,0.0711
4,0.0706
5,0.0720
6,0.0783
7,0.0798
8,0.0778
9,0.0836
10,0.0746
11,0.0696
12,0.0549
13,0.0620
14,0.0686
15,0.0584
16,0.0617
17,0.0725
18,0.0714
19,0.0693
20,0.0677
21,0.0671
22,0.0746
23,0.0710
24,0.0731
25,0.0810
26,0.0825
27,0.0795
28,0.0794
29,0.0824
30,0.0877
31,0.0772
32,0.0717
33,0.0823
34,0.0793
35,0.0767
36,0.0775
37,0.0808
38,0.0850
39,0.0825
40,0.0677
41,0.0717
42,0.0662
43,0.0697
44,0.0633
45,0.0668
46,0.0708
47,0.0654
48,0.0733
49,0.0846
50,0.0736
51,0.0706
52,0.0689
53,0.0692
54,0.0705
55,0.0747
56,0.0693
57,0.0748
58,0.0649
59,0.0685
60,0.0752
61,0.0756
62,0.0740
63,0.0629
64,0.0624
65,0.0795
66,0.0738
67,0.0718
68,0.0610
69,0.0671
70,0.0671
71,0.0532
72,0.0608
73,0.0778
74,0.0632
75,0.0516
76,0.0453
77,0.0453
78,0.0522
79,0.0538
80,0.0627
81,0.0694
82,0.0639
83,0.0625
84,0.0631
85,0.0694
86,0.0723
87,0.0661
88,0.0650
89,0.0722
90,0.0598
91,0.0566
92,0.0558
93,0.0618
94,0.0678
95,0.0604
96,0.0672
97,0.0798
98,0.0741
99,0.0719
100,0.0693
101,0.0667
102,0.0689
103,0.0676
104,0.0682
105,0.0668
106,0.0600
107,0.0572
108,0.0482
109,0.0516
110,0.0646
111,0.0602
112,0.0651
113,0.0792
114,0.0714
115,0.0654
116,0.0691
117,0.0705
118,0.0709
119,0.0529
120,0.0508
121,0.0654
122,0.0679
123,0.0649
124,0.0539
125,0.0526
126,0.0563
127,0.0513
128,0.0556
129,0.0835
130,0.0786
131,0.0708
132,0.0602
133,0.0601
134,0.0633
135,0.0551
136,0.0468
137,0.0568
138,0.0532
139,0.0540
140,0.0553
141,0.0666
142,0.0694
143,0.0590
144,0.0561
145,0.0637
146,0.0601
147,0.0576
148,0.0525
149,0.0554
150,0.0621
151,0.0542
152,0.0543
153,0.0663
154,0.0637
155,0.0546
156,0.0495
157,0.0639
158,0.0757
159,0.0554
160,0.0561
161,0.0717
162,0.0700
163,0.0686
164,0.0652
165,0.0580
166,0.0600
167,0.0546
168,0.0573
169,0.0705
170,0.0655
171,0.0609
172,0.0522
173,0.0578
174,0.0637
175,0.0538
176,0.0472
177,0.0482
178,0.0468
179,0.0497
180,0.0534
181,0.0476
182,0.0505
183,0.0443
184,0.0453
185,0.0530
186,0.0584
187,0.0636
188,0.0657
189,0.0618
190,0.0633
191,0.0577
192,0.0563
193,0.0661
194,0.0612
195,0.0579
196,0.0550
197,0.0573
198,0.0623
199,0.0604
200,0.0648
201,0.0737
202,0.0653
203,0.0622
204,0.0618
205,0.0664
206,0.0804
207,0.0779
208,0.0771
209,0.0920
210,0.0754
211,0.0694
212,0.0707
213,0.0716
214,0.0803
215,0.0751
216,0.0764
217,0.0786
218,0.0687
219,0.0723
220,0.0692
221,0.0672
222,0.0723
223,0.0651
224,0.0747
225,0.0936
226,0.0873
227,0.0795
228,0.0784
229,0.0771
230,0.0774
231,0.0745
232,0.0748
233,0.0817
234,0.0809
235,0.0828
236,0.0791
237,0.0748
238,0.0796
239,0.0750
240,0.0726
241,0.0748
242,0.0668
243,0.0588
244,0.0538
245,0.0582
246,0.0622
247,0.0628
248,0.0635
249,0.0686
250,0.0672
251,0.0685
252,0.0672
253,0.0609
254,0.0653
255,0.0592
256,0.0605
257,0.0737
258,0.0699
259,0.0726
260,0.0721
261,0.0652
262,0.0680
263,0.0622
264,0.0685
265,0.0861
266,0.0762
267,0.0719
268,0.0680
269,0.0564
270,0.0548
271,0.0535
272,0.0618
273,0.0639
274,0.0523
275,0.0538
276,0.0584
277,0.0619
278,0.0641
279,0.0651
280,0.0660
281,0.0759
282,0.0765
283,0.0709
284,0.0646
285,0.0659
286,0.0709
287,0.0650
288,0.0671
289,0.0781
290,0.0700
291,0.0667
292,0.0706
293,0.0724
294,0.0741
295,0.0633
296,0.0681
297,0.0780
298,0.0654
299,0.0582
300,0.0584
301,0.0638
302,0.0817
303,0.0807
304,0.0794
305,0.0896
306,0.0743
307,0.0720
308,0.0755
309,0.0782
310,0.0766
311,0.0662
312,0.0735
313,0.0841
314,0.0775
315,0.0702
316,0.0570
317,0.0526
318,0.0590
319,0.0544
320,0.0576
321,0.0707
322,0.0630
323,0.0640
324,0.0611
325,0.0657
326,0.0761
327,0.0770
328,0.0715
329,0.0848
330,0.0813
331,0.0689
332,0.0624
333,0.0647
334,0.0718
335,0.0676
336,0.0610
337,0.0696
338,0.0695
339,0.0724
340,0.0730
341,0.0700
342,0.0641
343,0.0561
344,0.0603
345,0.0682
346,0.0616
347,0.0604
348,0.0594
349,0.0603
350,0.0664
351,0.0675
352,0.0771
353,0.0872
354,0.0774
355,0.0798
356,0.0839
357,0.0829
358,0.0835
359,0.0720
360,0.0747
361,0.0808
362,0.0763
363,0.0670
364,0.0551
365,0.0570
366,0.0609
367,0.0578
368,0.0579
369,0.0710
370,0.0659
371,0.0626
372,0.0611
373,0.0568
374,0.0605
375,0.0603
376,0.0644
377,0.0693
378,0.0736
379,0.0712
380,0.0705
381,0.0683
382,0.0681
383,0.0597
384,0.0646
385,0.0820
386,0.0858
387,0.0856
388,0.0780
389,0.0711
390,0.0671
391,0.0593
392,0.0613
393,0.0784
394,0.0791
395,0.0801
396,0.0855
397,0.0979
398,0.1046
399,0.0930
400,0.0879
401,0.0892
402,0.0744
403,0.0640
404,0.0707
405,0.0822
406,0.0883
407,0.0903
408,0.0876
409,0.0978
410,0.0857
411,0.0756
412,0.0746
413,0.0798
414,0.0830
415,0.0697
416,0.0727
417,0.0823
418,0.0667
419,0.0564
420,0.0581
421,0.0622
422,0.0661
423,0.0620
424,0.0579
425,0.0550
426,0.0534
427,0.0641
428,0.0644
429,0.0635
430,0.0638
431,0.0589
432,0.0612
433,0.0821
434,0.0757
435,0.0613
436,0.0603
437,0.0686
438,0.0729
439,0.0617
440,0.0656
441,0.0789
442,0.0797
443,0.0675
444,0.0452
445,0.0460
446,0.0551
447,0.0522
448,0.0606
449,0.0729
450,0.0697
451,0.0779
452,0.0811
453,0.0841
454,0.0795
455,0.0659
456,0.0625
457,0.0751
458,0.0699
459,0.0677
460,0.0692
461,0.0691
462,0.0762
463,0.0652
464,0.0680
465,0.0806
466,0.0699
467,0.0673
468,0.0659
469,0.0757
470,0.0720
471,0.0626
472,0.0640
473,0.0758
474,0.0664
475,0.0688
476,0.0708
477,0.0754
478,0.0788
479,0.0743
480,0.0790
481,0.0873
482,0.0793
483,0.0761
484,0.0663
485,0.0565
486,0.0542
487,0.0531
488,0.0602
489,0.0658
490,0.0586
491,0.0571
492,0.0570
493,0.0605
494,0.0615
495,0.0583
496,0.0555
497,0.0672
498,0.0633
499,0.0639
500,0.0800
501,0.0862
502,0.0876
503,0.0796
504,0.0779
505,0.0923
506,0.0855
507,0.0767
508,0.0699
509,0.0720
510,0.0772
511,0.0666
512,0.0584
513,0.0594
514,0.0478
515,0.0524
516,0.0541
517,0.0541
518,0.0519
519,0.0442
520,0.0429
521,0.0539
522,0.0520
523,0.0534
524,0.0479
525,0.0589
526,0.0691
527,0.0656
528,0.0592
529,0.0590
530,0.0525
531,0.0579
532,0.0640
533,0.0649
534,0.0611
535,0.0480
536,0.0547
537,0.0630
538,0.0589
539,0.0622
540,0.0620
541,0.0685
542,0.0733
543,0.0659
544,0.0571
545,0.0691
546,0.0669
547,0.0627
548,0.0581
549,0.0549
550,0.0541
551,0.0519
552,0.0607
553,0.0597
554,0.0432
555,0.0430
556,0.0476
557,0.0558
558,0.0627
559,0.0576
560,0.0638
561,0.0871
562,0.0824
563,0.0748
564,0.0694
565,0.0674
566,0.0676
567,0.0633
568,0.0609
569,0.0664
570,0.0673
571,0.0601
572,0.0561
573,0.0549
574,0.0560
575,0.0486
576,0.0548
577,0.0743
578,0.0695
579,0.0631
580,0.0595
581,0.0629
582,0.0600
583,0.0491
584,0.0491
585,0.0640
586,0.0609
587,0.0546
588,0.0624
589,0.0746
590,0.0856
591,0.0698
