Distance_(pixels),Gray_Value
0,0.15731
1,0.13522
2,0.12191
3,0.12741
4,0.12288
5,0.12066
6,0.13754
7,0.15693
8,0.16078
9,0.13108
10,0.12143
11,0.11767
12,0.10455
13,0.11632
14,0.12905
15,0.14410
16,0.15577
17,0.12799
18,0.11815
19,0.12741
20,0.11410
21,0.11256
22,0.13339
23,0.14873
24,0.14082
25,0.12838
26,0.12577
27,0.13252
28,0.12828
29,0.12568
30,0.13677
31,0.15143
32,0.14284
33,0.13175
34,0.13194
35,0.12133
36,0.12307
37,0.11728
38,0.13272
39,0.14940
40,0.14246
41,0.11709
42,0.11989
43,0.11420
44,0.10600
45,0.10783
46,0.11574
47,0.14390
48,0.16966
49,0.13551
50,0.12394
51,0.11902
52,0.10330
53,0.10725
54,0.12818
55,0.14410
56,0.15972
57,0.12297
58,0.11777
59,0.11671
60,0.12220
61,0.13098
62,0.14140
63,0.13966
64,0.16975
65,0.13686
66,0.12481
67,0.12760
68,0.10407
69,0.10802
70,0.13706
71,0.13349
72,0.13619
73,0.12712
74,0.10754
75,0.10233
76,0.09317
77,0.09606
78,0.10880
79,0.12895
80,0.15432
81,0.12404
82,0.10311
83,0.10320
84,0.11690
85,0.11352
86,0.12018
87,0.14931
88,0.15615
89,0.11400
90,0.10127
91,0.09635
92,0.08237
93,0.11516
94,0.14053
95,0.13831
96,0.15384
97,0.13638
98,0.11921
99,0.11343
100,0.10639
101,0.11198
102,0.11236
103,0.15403
104,0.15847
105,0.12500
106,0.11265
107,0.10532
108,0.09394
109,0.10513
110,0.13378
111,0.14728
112,0.14786
113,0.13484
114,0.12259
115,0.11082
116,0.11719
117,0.12365
118,0.13262
119,0.11699
120,0.11960
121,0.10745
122,0.11545
123,0.11574
124,0.09799
125,0.08603
126,0.10484
127,0.10831
128,0.13889
129,0.13059
130,0.12915
131,0.11786
132,0.10282
133,0.10214
134,0.11044
135,0.12838
136,0.12741
137,0.10523
138,0.09944
139,0.09732
140,0.10253
141,0.10938
142,0.11555
143,0.13088
144,0.14603
145,0.11989
146,0.10503
147,0.10340
148,0.10494
149,0.10716
150,0.11275
151,0.13436
152,0.13223
153,0.11680
154,0.12905
155,0.10706
156,0.09992
157,0.11073
158,0.12471
159,0.14468
160,0.14352
161,0.11892
162,0.12230
163,0.12539
164,0.10147
165,0.09944
166,0.12259
167,0.12876
168,0.15056
169,0.11400
170,0.10610
171,0.11343
172,0.09645
173,0.09066
174,0.12085
175,0.11892
176,0.11622
177,0.09703
178,0.08671
179,0.09211
180,0.09809
181,0.09327
182,0.09481
183,0.10918
184,0.11844
185,0.08661
186,0.10311
187,0.11555
188,0.10388
189,0.10079
190,0.11458
191,0.13484
192,0.14178
193,0.11535
194,0.10455
195,0.10166
196,0.10021
197,0.10002
198,0.11265
199,0.12809
200,0.14371
201,0.12384
202,0.11381
203,0.10899
204,0.10783
205,0.11015
206,0.13387
207,0.16001
208,0.16628
209,0.14053
210,0.12616
211,0.11661
212,0.10938
213,0.11130
214,0.13166
215,0.16686
216,0.16281
217,0.12944
218,0.12539
219,0.12375
220,0.10860
221,0.11584
222,0.13600
223,0.14651
224,0.15847
225,0.13426
226,0.13108
227,0.13667
228,0.12249
229,0.12162
230,0.13764
231,0.15374
232,0.16184
233,0.11921
234,0.12442
235,0.14169
236,0.12953
237,0.11265
238,0.13252
239,0.15721
240,0.14400
241,0.11690
242,0.10233
243,0.09963
244,0.10475
245,0.09886
246,0.11208
247,0.13783
248,0.12606
249,0.11343
250,0.10619
251,0.10986
252,0.10320
253,0.09925
254,0.12230
255,0.12288
256,0.13137
257,0.12423
258,0.11574
259,0.11902
260,0.11912
261,0.11564
262,0.12085
263,0.12924
264,0.14130
265,0.14738
266,0.13233
267,0.11680
268,0.12076
269,0.10590
270,0.10725
271,0.13002
272,0.13416
273,0.11468
274,0.09606
275,0.08931
276,0.09780
277,0.10050
278,0.10639
279,0.13146
280,0.14226
281,0.12278
282,0.11728
283,0.11950
284,0.10137
285,0.10446
286,0.12490
287,0.13783
288,0.14410
289,0.12915
290,0.12365
291,0.11970
292,0.11806
293,0.12220
294,0.12105
295,0.13870
296,0.12596
297,0.11883
298,0.11786
299,0.10716
300,0.09838
301,0.11545
302,0.14005
303,0.15384
304,0.16262
305,0.14767
306,0.13040
307,0.11979
308,0.12780
309,0.12539
310,0.11786
311,0.15760
312,0.15490
313,0.14506
314,0.12722
315,0.11352
316,0.09722
317,0.09028
318,0.11429
319,0.13310
320,0.13619
321,0.11121
322,0.10320
323,0.10378
324,0.09992
325,0.09905
326,0.11912
327,0.13368
328,0.15123
329,0.12529
330,0.12269
331,0.12182
332,0.09491
333,0.09674
334,0.12423
335,0.12587
336,0.14554
337,0.12056
338,0.11034
339,0.12230
340,0.12568
341,0.12047
342,0.11883
343,0.11188
344,0.13079
345,0.12818
346,0.11892
347,0.10851
348,0.09905
349,0.09307
350,0.11883
351,0.13146
352,0.16001
353,0.14120
354,0.12558
355,0.11950
356,0.14101
357,0.13349
358,0.12375
359,0.15500
360,0.14448
361,0.12606
362,0.12432
363,0.11728
364,0.09385
365,0.09365
366,0.11613
367,0.11931
368,0.13715
369,0.12240
370,0.11671
371,0.11757
372,0.10455
373,0.10542
374,0.11343
375,0.13272
376,0.14516
377,0.11815
378,0.12124
379,0.12895
380,0.12413
381,0.11863
382,0.12500
383,0.13397
384,0.14371
385,0.14178
386,0.14294
387,0.13416
388,0.11806
389,0.11391
390,0.10706
391,0.12712
392,0.16049
393,0.13368
394,0.13821
395,0.14014
396,0.13870
397,0.14284
398,0.16831
399,0.16917
400,0.15837
401,0.13040
402,0.11786
403,0.11352
404,0.11960
405,0.12818
406,0.14506
407,0.16127
408,0.17216
409,0.12953
410,0.12539
411,0.12307
412,0.11970
413,0.12722
414,0.14419
415,0.14969
416,0.15258
417,0.12770
418,0.10957
419,0.10532
420,0.09336
421,0.10407
422,0.11728
423,0.13329
424,0.12944
425,0.10764
426,0.10436
427,0.10455
428,0.10870
429,0.09703
430,0.12375
431,0.11912
432,0.16155
433,0.13349
434,0.11921
435,0.11564
436,0.10041
437,0.09896
438,0.12703
439,0.13079
440,0.13571
441,0.12037
442,0.13358
443,0.12326
444,0.09269
445,0.08256
446,0.10523
447,0.12799
448,0.13831
449,0.12076
450,0.11516
451,0.11863
452,0.13349
453,0.11989
454,0.11680
455,0.12297
456,0.14796
457,0.12037
458,0.11680
459,0.11516
460,0.11507
461,0.10667
462,0.13011
463,0.14670
464,0.14361
465,0.11844
466,0.11613
467,0.11352
468,0.10880
469,0.10667
470,0.11400
471,0.11950
472,0.15943
473,0.13426
474,0.11362
475,0.11323
476,0.11526
477,0.11998
478,0.13223
479,0.15567
480,0.16059
481,0.14525
482,0.13484
483,0.12625
484,0.10552
485,0.09761
486,0.09857
487,0.10503
488,0.13927
489,0.11854
490,0.10243
491,0.09298
492,0.10754
493,0.10484
494,0.10667
495,0.12413
496,0.14882
497,0.13194
498,0.11613
499,0.11603
500,0.13358
501,0.13927
502,0.14236
503,0.14275
504,0.16734
505,0.13108
506,0.13262
507,0.13175
508,0.11584
509,0.11815
510,0.13831
511,0.15538
512,0.13831
513,0.10600
514,0.09433
515,0.09201
516,0.10204
517,0.09153
518,0.08980
519,0.10407
520,0.12452
521,0.11362
522,0.10465
523,0.09288
524,0.09375
525,0.09983
526,0.11526
527,0.15066
528,0.13696
529,0.10619
530,0.09288
531,0.11082
532,0.12230
533,0.10783
534,0.10735
535,0.12269
536,0.13426
537,0.10378
538,0.10793
539,0.11159
540,0.10571
541,0.11429
542,0.13397
543,0.14554
544,0.14333
545,0.12452
546,0.12047
547,0.11921
548,0.10590
