Distance_(pixels),Gray_Value
0,0.16416
1,0.14188
2,0.12307
3,0.12992
4,0.12500
5,0.11960
6,0.13744
7,0.15201
8,0.15625
9,0.12587
10,0.12153
11,0.11892
12,0.10513
13,0.11786
14,0.12847
15,0.14159
16,0.15876
17,0.12847
18,0.12172
19,0.12712
20,0.11738
21,0.11497
22,0.13609
23,0.15210
24,0.15037
25,0.12818
26,0.13262
27,0.13011
28,0.12587
29,0.12953
30,0.13792
31,0.15027
32,0.14371
33,0.13310
34,0.13175
35,0.12056
36,0.12018
37,0.12326
38,0.13088
39,0.14390
40,0.14448
41,0.12114
42,0.11796
43,0.11092
44,0.10446
45,0.10542
46,0.11468
47,0.14400
48,0.17564
49,0.13783
50,0.12452
51,0.12076
52,0.10735
53,0.11217
54,0.13542
55,0.14255
56,0.15905
57,0.12423
58,0.11892
59,0.11979
60,0.11786
61,0.12288
62,0.13397
63,0.13899
64,0.16493
65,0.13764
66,0.13127
67,0.12346
68,0.10513
69,0.11082
70,0.13349
71,0.13127
72,0.14304
73,0.13117
74,0.10696
75,0.09886
76,0.09587
77,0.09394
78,0.10629
79,0.13021
80,0.14988
81,0.12133
82,0.10532
83,0.10783
84,0.11458
85,0.11372
86,0.12076
87,0.15133
88,0.15355
89,0.11892
90,0.10571
91,0.09626
92,0.08738
93,0.11400
94,0.14381
95,0.14178
96,0.14863
97,0.13426
98,0.11275
99,0.11073
100,0.10629
101,0.10938
102,0.11458
103,0.15220
104,0.15789
105,0.12249
106,0.11468
107,0.10581
108,0.08873
109,0.09925
110,0.12240
111,0.14352
112,0.15750
113,0.14111
114,0.12886
115,0.11352
116,0.11873
117,0.12442
118,0.13223
119,0.12201
120,0.12616
121,0.11217
122,0.11314
123,0.11786
124,0.09703
125,0.08652
126,0.10677
127,0.11188
128,0.14429
129,0.13397
130,0.13455
131,0.12008
132,0.10629
133,0.10629
134,0.11275
135,0.12539
136,0.12809
137,0.10388
138,0.10185
139,0.09934
140,0.10368
141,0.11140
142,0.11998
143,0.13860
144,0.15326
145,0.12288
146,0.10368
147,0.10523
148,0.10320
149,0.10590
150,0.11188
151,0.13657
152,0.12973
153,0.12346
154,0.12452
155,0.10349
156,0.10291
157,0.10880
158,0.11979
159,0.13532
160,0.14381
161,0.11420
162,0.12384
163,0.13175
164,0.10725
165,0.10503
166,0.12442
167,0.12886
168,0.15027
169,0.11265
170,0.10860
171,0.11545
172,0.09848
173,0.09423
174,0.12162
175,0.11671
176,0.12326
177,0.09780
178,0.08806
179,0.09259
180,0.10098
181,0.09510
182,0.09578
183,0.11198
184,0.11333
185,0.08912
186,0.10426
187,0.11748
188,0.10417
189,0.10291
190,0.11381
191,0.13744
192,0.14149
193,0.11400
194,0.10340
195,0.10108
196,0.09742
197,0.10368
198,0.11333
199,0.12606
200,0.13995
201,0.12201
202,0.11410
203,0.10851
204,0.11044
205,0.11101
206,0.12731
207,0.15953
208,0.16088
209,0.14313
210,0.12307
211,0.12124
212,0.11381
213,0.11024
214,0.12751
215,0.16599
216,0.16040
217,0.12924
218,0.12162
219,0.11680
220,0.10590
221,0.11179
222,0.13358
223,0.14361
224,0.15442
225,0.13725
226,0.13860
227,0.13735
228,0.12616
229,0.12182
230,0.13908
231,0.15210
232,0.15567
233,0.11902
234,0.11854
235,0.13349
236,0.12413
237,0.10870
238,0.12770
239,0.15345
240,0.14554
241,0.11767
