Distance_(pixels),Gray_Value
0,0.16657
1,0.14381
2,0.12770
3,0.13329
4,0.12886
5,0.12191
6,0.13503
7,0.15683
8,0.15741
9,0.12857
10,0.12375
11,0.11989
12,0.10648
13,0.11372
14,0.12529
15,0.13821
16,0.15808
17,0.12867
18,0.12124
19,0.12751
20,0.12355
21,0.12066
22,0.13358
23,0.15326
24,0.15046
25,0.13079
26,0.13059
27,0.13474
28,0.13291
29,0.12886
30,0.13397
31,0.14979
32,0.15210
33,0.13792
34,0.13194
35,0.12095
36,0.12355
37,0.12857
38,0.13609
39,0.14728
40,0.14892
41,0.11950
42,0.11738
43,0.11420
44,0.10262
45,0.10658
46,0.11526
47,0.14516
48,0.17265
49,0.13638
50,0.12625
51,0.12307
52,0.10224
53,0.10629
54,0.12973
55,0.14603
56,0.15779
57,0.12519
58,0.11950
59,0.11989
60,0.12066
61,0.12461
62,0.13358
63,0.13850
64,0.16811
65,0.14014
66,0.13146
67,0.12905
68,0.10436
69,0.10880
70,0.13657
71,0.13638
72,0.14390
73,0.13561
74,0.11073
75,0.10581
76,0.09578
77,0.09597
78,0.10590
79,0.12645
80,0.15258
81,0.12490
82,0.10349
83,0.10465
84,0.11439
85,0.10938
86,0.11439
87,0.14805
88,0.16020
89,0.11584
90,0.10860
91,0.09317
92,0.08507
93,0.11044
94,0.14361
95,0.13397
96,0.14767
97,0.13465
98,0.11362
99,0.10995
100,0.10417
101,0.10880
102,0.11005
103,0.15056
104,0.15953
105,0.12413
106,0.11343
107,0.10754
108,0.09269
109,0.09809
110,0.12789
111,0.14275
112,0.15586
113,0.14130
114,0.12577
115,0.11458
116,0.11535
117,0.12568
118,0.13281
119,0.11622
120,0.12201
121,0.11169
122,0.11671
123,0.12027
124,0.10079
125,0.08912
126,0.11024
127,0.11198
128,0.14574
129,0.13619
130,0.13937
131,0.12510
132,0.10976
133,0.10870
134,0.11574
135,0.12674
136,0.13030
137,0.10802
138,0.10552
139,0.10368
140,0.10388
141,0.11468
142,0.12355
143,0.13725
144,0.14940
145,0.12529
146,0.10802
147,0.10831
148,0.10397
149,0.10831
150,0.11786
151,0.14217
152,0.13233
153,0.12153
154,0.12654
155,0.10204
156,0.09211
157,0.10340
158,0.12008
159,0.13937
160,0.13802
161,0.11777
162,0.12394
163,0.12934
164,0.10629
165,0.10233
166,0.12201
167,0.12664
168,0.15548
169,0.11642
170,0.10735
171,0.11458
172,0.09751
173,0.09346
174,0.12355
175,0.12230
176,0.12413
177,0.09848
178,0.08661
179,0.09182
180,0.09626
181,0.09240
182,0.09819
183,0.11111
184,0.11767
185,0.09057
186,0.10571
187,0.12095
188,0.10523
189,0.10060
190,0.11497
191,0.13590
192,0.14583
193,0.11738
194,0.10957
195,0.10340
196,0.09934
197,0.10397
198,0.11372
199,0.12780
200,0.14844
201,0.12712
202,0.11661
203,0.10889
204,0.10706
205,0.11082
206,0.13156
207,0.16474
208,0.17014
209,0.14892
210,0.13252
211,0.12471
212,0.11593
213,0.11275
214,0.13098
215,0.16715
216,0.16078
217,0.12452
218,0.12539
219,0.11844
220,0.10069
221,0.10976
222,0.13503
223,0.14448
224,0.15924
225,0.14082
226,0.14198
227,0.13870
228,0.12693
229,0.12828
230,0.14198
231,0.15992
232,0.15876
233,0.11979
234,0.11970
235,0.14178
236,0.12625
237,0.11111
238,0.13407
239,0.15683
240,0.14323
241,0.11786
242,0.10378
243,0.10417
244,0.10368
245,0.09877
246,0.10909
247,0.14477
248,0.13686
249,0.11777
250,0.10696
251,0.11516
252,0.10696
253,0.09790
254,0.12172
255,0.13542
256,0.13802
257,0.12510
258,0.11902
259,0.12085
260,0.12240
261,0.11748
262,0.12404
263,0.13455
264,0.15066
265,0.15210
266,0.13638
267,0.12297
268,0.12307
269,0.10687
270,0.11121
271,0.13860
272,0.13764
273,0.11468
274,0.09664
275,0.09317
276,0.10021
277,0.10079
278,0.10735
279,0.13108
280,0.14034
281,0.12577
282,0.12085
283,0.12442
284,0.10282
285,0.10301
286,0.12336
287,0.13358
288,0.14815
289,0.13677
290,0.13146
291,0.12558
292,0.12124
293,0.11699
294,0.12539
295,0.14024
296,0.13976
297,0.12616
298,0.12047
299,0.11362
300,0.09992
301,0.11507
302,0.13677
303,0.14950
304,0.16310
305,0.14371
306,0.12683
307,0.11979
308,0.12674
309,0.12558
310,0.12394
311,0.15799
312,0.16175
313,0.15162
314,0.13571
315,0.12442
316,0.10079
317,0.09433
318,0.11989
319,0.14313
320,0.14149
321,0.11275
322,0.10465
323,0.10282
324,0.10166
325,0.10118
326,0.12220
327,0.14053
328,0.16040
329,0.12828
330,0.12645
331,0.12703
332,0.10021
333,0.10301
334,0.13185
335,0.12674
336,0.14120
337,0.12288
338,0.11391
339,0.12365
340,0.12973
341,0.12056
342,0.11950
343,0.11651
344,0.14024
345,0.12625
346,0.11883
347,0.11169
348,0.09770
349,0.09259
350,0.12211
351,0.13059
352,0.16059
353,0.14689
354,0.12674
355,0.11806
356,0.13773
357,0.13426
358,0.12731
359,0.15586
360,0.15480
361,0.12944
362,0.12461
363,0.11709
364,0.09221
365,0.09674
366,0.11622
367,0.12191
368,0.14043
369,0.12394
370,0.12085
371,0.11777
372,0.10118
373,0.10397
374,0.10928
375,0.12500
376,0.14361
377,0.11632
378,0.11979
379,0.12838
380,0.12037
381,0.11825
382,0.12596
383,0.13040
384,0.14159
385,0.14255
386,0.14062
387,0.13127
388,0.12432
389,0.11738
390,0.10793
391,0.13021
392,0.15577
393,0.13735
394,0.13937
395,0.14101
396,0.14246
397,0.14979
398,0.16821
399,0.17149
400,0.16233
401,0.12963
402,0.11757
403,0.11034
404,0.11516
405,0.13011
406,0.15519
407,0.16782
408,0.18171
409,0.13985
410,0.12992
411,0.12751
412,0.11883
413,0.12905
414,0.14506
415,0.15066
416,0.15432
417,0.12876
418,0.10966
419,0.10610
420,0.09230
421,0.09877
422,0.11285
423,0.13108
424,0.13059
425,0.10600
426,0.10513
427,0.10475
428,0.10909
429,0.09983
430,0.12452
431,0.12693
432,0.16532
433,0.13281
434,0.12201
435,0.11584
436,0.10349
437,0.10484
438,0.13513
439,0.13764
440,0.14034
441,0.12886
442,0.13966
443,0.12606
444,0.09230
445,0.08430
446,0.10802
447,0.13175
448,0.13879
449,0.12182
450,0.11564
451,0.12278
452,0.13137
453,0.12056
454,0.11208
455,0.12172
456,0.14410
457,0.11854
458,0.11806
459,0.11873
460,0.11497
461,0.10677
462,0.13436
463,0.14998
464,0.14709
465,0.11777
466,0.11208
467,0.11024
468,0.10831
469,0.10610
470,0.11584
471,0.12172
472,0.15548
473,0.13889
474,0.11931
475,0.11362
476,0.11738
477,0.11574
478,0.13320
479,0.15808
480,0.15374
481,0.14130
482,0.13272
483,0.12944
484,0.10513
485,0.10060
486,0.10282
487,0.10523
488,0.13686
489,0.11468
490,0.10195
491,0.09462
492,0.10272
493,0.09838
494,0.10233
495,0.12654
496,0.14371
497,0.12828
498,0.11748
499,0.11970
500,0.13841
501,0.14159
502,0.14728
503,0.15046
504,0.17670
505,0.13329
506,0.13291
507,0.12924
508,0.11304
509,0.11574
510,0.13764
511,0.15258
512,0.13638
513,0.10725
514,0.09008
515,0.09076
516,0.09742
517,0.09288
518,0.09327
519,0.09751
520,0.12818
521,0.11478
522,0.11005
523,0.09770
524,0.09732
525,0.10079
526,0.11449
527,0.15172
528,0.13918
529,0.10745
530,0.09346
531,0.11362
532,0.11863
533,0.10532
534,0.10841
535,0.12220
536,0.14149
537,0.11073
538,0.10889
539,0.11111
540,0.10455
541,0.11439
542,0.13619
543,0.14796
544,0.14757
545,0.13127
546,0.12191
547,0.11844
548,0.10648
549,0.10581
550,0.09693
551,0.13011
552,0.14198
553,0.11034
554,0.09491
555,0.09211
556,0.10446
557,0.11449
558,0.12288
559,0.13927
560,0.15394
561,0.13821
562,0.12876
563,0.12201
564,0.11236
565,0.10802
566,0.11613
567,0.14506
