Distance_(pixels),Gray_Value
0,0.18343
1,0.15984
2,0.15078
3,0.15546
4,0.14103
5,0.14561
6,0.16520
7,0.18928
8,0.18733
9,0.15585
10,0.16764
11,0.16901
12,0.15994
13,0.14698
14,0.15439
15,0.18587
16,0.17680
17,0.17008
18,0.15458
19,0.15146
20,0.13869
21,0.13869
22,0.15136
23,0.15536
24,0.17027
25,0.15341
26,0.16248
27,0.16559
28,0.14513
29,0.14922
30,0.16355
31,0.17836
32,0.18197
33,0.17193
34,0.15507
35,0.15497
36,0.14483
37,0.15634
38,0.16374
39,0.16988
40,0.17973
41,0.14864
42,0.13499
43,0.13577
44,0.14094
45,0.13782
46,0.15078
47,0.16053
48,0.16920
49,0.13363
50,0.13324
51,0.14454
52,0.15214
53,0.14211
54,0.14649
55,0.14172
56,0.17865
57,0.17690
58,0.16023
59,0.14951
60,0.12700
61,0.12378
62,0.14493
63,0.16949
64,0.20634
65,0.18860
66,0.18548
67,0.18002
68,0.15058
69,0.14162
70,0.15604
71,0.16949
72,0.18333
73,0.15682
74,0.14454
75,0.12856
76,0.12378
77,0.12943
78,0.16179
79,0.16901
80,0.17602
81,0.16121
82,0.14464
83,0.14152
84,0.13372
85,0.13314
86,0.14318
87,0.15897
88,0.15750
89,0.14103
90,0.13713
91,0.14113
92,0.14825
93,0.13899
94,0.14025
95,0.17193
96,0.17154
97,0.15673
98,0.13392
99,0.14006
100,0.15448
101,0.14678
102,0.13938
103,0.16442
104,0.15673
105,0.12934
106,0.14864
107,0.16745
108,0.14610
109,0.13548
110,0.16062
111,0.17476
112,0.18275
113,0.15604
114,0.14669
115,0.13460
116,0.13168
117,0.13947
118,0.14288
119,0.15643
120,0.17934
121,0.16082
122,0.14795
123,0.15127
124,0.14834
125,0.13723
126,0.15370
127,0.16988
128,0.18450
129,0.16043
130,0.13626
131,0.13148
132,0.12388
133,0.12758
134,0.14805
135,0.15604
136,0.15750
137,0.15556
138,0.12388
139,0.12788
140,0.13255
141,0.13918
142,0.14805
143,0.15136
144,0.16423
145,0.14561
146,0.13752
147,0.14756
148,0.14825
149,0.13947
150,0.14912
151,0.15731
152,0.16862
153,0.14756
154,0.15224
155,0.14259
156,0.12904
157,0.12661
158,0.13324
159,0.15673
160,0.17018
161,0.14971
162,0.15029
163,0.15526
164,0.13899
165,0.14045
166,0.14600
167,0.15322
168,0.18489
169,0.15604
170,0.15185
171,0.17222
172,0.16637
173,0.16257
174,0.16608
175,0.17817
176,0.18021
